year,ethnicity,age_group,count,median_age
2011.0,nan,Unnamed: 3,,
2011.0,nan,Unnamed: 4,,
2011.0,nan,Unnamed: 5,,
2011.0,nan,Unnamed: 6,,
2011.0,nan,Unnamed: 7,,
2011.0,nan,Unnamed: 8,,
2011.0,nan,Unnamed: 9,,
2011.0,nan,Unnamed: 10,,
2011.0,亞洲人（非華人）,Unnamed: 3,23984.0,33.6
2011.0,亞洲人（非華人）,Unnamed: 4,25650.0,33.6
2011.0,亞洲人（非華人）,Unnamed: 5,152228.0,33.6
2011.0,亞洲人（非華人）,Unnamed: 6,103841.0,33.6
2011.0,亞洲人（非華人）,Unnamed: 7,41396.0,33.6
2011.0,亞洲人（非華人）,Unnamed: 8,13196.0,33.6
2011.0,亞洲人（非華人）,Unnamed: 9,5316.0,33.6
2011.0,亞洲人（非華人）,Unnamed: 10,365611.0,33.6
2011.0,Asian (other than Chinese),Unnamed: 3,6.6,
2011.0,Asian (other than Chinese),Unnamed: 4,7.0,
2011.0,Asian (other than Chinese),Unnamed: 5,41.6,
2011.0,Asian (other than Chinese),Unnamed: 6,28.4,
2011.0,Asian (other than Chinese),Unnamed: 7,11.3,
2011.0,Asian (other than Chinese),Unnamed: 8,3.6,
2011.0,Asian (other than Chinese),Unnamed: 9,1.5,
2011.0,Asian (other than Chinese),Unnamed: 10,100.0,
2011.0,菲律賓人,Unnamed: 3,2918.0,37.7
2011.0,菲律賓人,Unnamed: 4,4016.0,37.7
2011.0,菲律賓人,Unnamed: 5,45840.0,37.7
2011.0,菲律賓人,Unnamed: 6,48555.0,37.7
2011.0,菲律賓人,Unnamed: 7,25243.0,37.7
2011.0,菲律賓人,Unnamed: 8,5768.0,37.7
2011.0,菲律賓人,Unnamed: 9,678.0,37.7
2011.0,菲律賓人,Unnamed: 10,133018.0,37.7
2011.0,Filipino,Unnamed: 3,2.2,
2011.0,Filipino,Unnamed: 4,3.0,
2011.0,Filipino,Unnamed: 5,34.5,
2011.0,Filipino,Unnamed: 6,36.5,
2011.0,Filipino,Unnamed: 7,19.0,
2011.0,Filipino,Unnamed: 8,4.3,
2011.0,Filipino,Unnamed: 9,0.5,
2011.0,Filipino,Unnamed: 10,100.0,
2011.0,印尼人,Unnamed: 3,302.0,30.7
2011.0,印尼人,Unnamed: 4,12405.0,30.7
2011.0,印尼人,Unnamed: 5,85764.0,30.7
2011.0,印尼人,Unnamed: 6,31846.0,30.7
2011.0,印尼人,Unnamed: 7,2255.0,30.7
2011.0,印尼人,Unnamed: 8,483.0,30.7
2011.0,印尼人,Unnamed: 9,322.0,30.7
2011.0,印尼人,Unnamed: 10,133377.0,30.7
2011.0,Indonesian,Unnamed: 3,0.2,
2011.0,Indonesian,Unnamed: 4,9.3,
2011.0,Indonesian,Unnamed: 5,64.3,
2011.0,Indonesian,Unnamed: 6,23.9,
2011.0,Indonesian,Unnamed: 7,1.7,
2011.0,Indonesian,Unnamed: 8,0.4,
2011.0,Indonesian,Unnamed: 9,0.2,
2011.0,Indonesian,Unnamed: 10,100.0,
2011.0,南亞裔人士,Unnamed: 3,16824.0,31.2
2011.0,南亞裔人士,Unnamed: 4,7812.0,31.2
