ethnicity_cn,ethnicity_en,year,count,percentage
亞洲人（非華人）,Asian (other than Chinese),2011,365611.0,81.0
亞洲人（非華人）,Asian (other than Chinese),2016,457188.0,78.2
亞洲人（非華人）,Asian (other than Chinese),2021,487862.0,78.7
菲律賓人,Filipino,2011,133018.0,29.5
菲律賓人,Filipino,2016,184081.0,31.5
菲律賓人,Filipino,2021,201291.0,32.5
印尼人,Indonesian,2011,133377.0,29.6
印尼人,Indonesian,2016,153299.0,26.2
印尼人,Indonesian,2021,142065.0,22.9
南亞裔人士,South Asian,2011,65521.0,14.5
南亞裔人士,South Asian,2016,84875.0,14.5
南亞裔人士,South Asian,2021,101969.0,16.5
印度人,Indian,2011,28616.0,6.3
印度人,Indian,2016,36462.0,6.2
印度人,Indian,2021,42569.0,6.9
尼泊爾人,Nepalese,2011,16518.0,3.7
尼泊爾人,Nepalese,2016,25472.0,4.4
尼泊爾人,Nepalese,2021,29701.0,4.8
巴基斯坦人,Pakistani,2011,18042.0,4.0
巴基斯坦人,Pakistani,2016,18094.0,3.1
巴基斯坦人,Pakistani,2021,24385.0,3.9
其他南亞裔人士[1],Other South Asian[1],2011,2345.0,0.5
其他南亞裔人士[1],Other South Asian[1],2016,4847.0,0.8
其他南亞裔人士[1],Other South Asian[1],2021,5314.0,0.9
泰國人,Thai,2011,11213.0,2.5
泰國人,Thai,2016,10215.0,1.7
泰國人,Thai,2021,12972.0,2.1
日本人,Japanese,2011,12580.0,2.8
日本人,Japanese,2016,9976.0,1.7
日本人,Japanese,2021,10291.0,1.7
韓國人,Korean,2011,5209.0,1.2
韓國人,Korean,2016,6309.0,1.1
韓國人,Korean,2021,8700.0,1.4
其他亞洲人,Other Asian,2011,4693.0,1.0
其他亞洲人,Other Asian,2016,8433.0,1.4
其他亞洲人,Other Asian,2021,10574.0,1.7
白人,White,2011,55236.0,12.2
白人,White,2016,58209.0,10.0
白人,White,2021,61582.0,9.9
混血兒,Mixed,2011,29001.0,6.4
混血兒,Mixed,2016,65255.0,11.2
混血兒,Mixed,2021,66732.0,10.8
華人父或母,With Chinese parent,2011,24649.0,5.5
華人父或母,With Chinese parent,2016,53581.0,9.2
華人父或母,With Chinese parent,2021,54541.0,8.8
其他混血兒,Other mixed,2011,4352.0,1.0
其他混血兒,Other mixed,2016,11674.0,2.0
其他混血兒,Other mixed,2021,12191.0,2.0
其他[2],Others[2],2011,1335.0,0.3
其他[2],Others[2],2016,3731.0,0.6
其他[2],Others[2],2021,3392.0,0.5
所有少數族裔人士[3],All ethnic minorities[3],2011,451183.0,100.0
所有少數族裔人士[3],All ethnic minorities[3],2016,584383.0,100.0
所有少數族裔人士[3],All ethnic minorities[3],2021,619568.0,100.0
,撇除外籍家庭傭工後的所有少數族裔人士[3],2011,,
,撇除外籍家庭傭工後的所有少數族裔人士[3],2016,,
,撇除外籍家庭傭工後的所有少數族裔人士[3],2021,,
"All ethnic minorities, excluding foreign domestic helpers[3]",,2011,0.0,
"All ethnic minorities, excluding foreign domestic helpers[3]",,2016,0.0,
"All ethnic minorities, excluding foreign domestic helpers[3]",,2021,0.0,
全港人口,Whole population,2011,7071576.0,
全港人口,Whole population,2016,7336585.0,
全港人口,Whole population,2021,7413070.0,
,註釋：,2011,,
,註釋：,2016,,
,註釋：,2021,,
[1],[2],2011,,
[1],[2],2016,,
[1],[2],2021,,
[3],Notes:,2011,,
[3],Notes:,2016,,
[3],Notes:,2021,,
[1],[2],2011,,
[1],[2],2016,,
[1],[2],2021,,
