year,ethnicity_cn,ethnicity_en,age_group,number
2011,nan,亞洲人（非華人）,< 15,
2011,nan,亞洲人（非華人）,15 - 24,
2011,nan,亞洲人（非華人）,25 - 34,
2011,nan,亞洲人（非華人）,35 - 44,
2011,nan,亞洲人（非華人）,45 - 54,
2011,nan,亞洲人（非華人）,55 - 64,
2011,nan,亞洲人（非華人）,65+,
2011,nan,亞洲人（非華人）,"總計
Total",
2011,nan,亞洲人（非華人）,"年齡
中位數
Median 
age",
2011,Asian (other than Chinese),菲律賓人,< 15,6.6
2011,Asian (other than Chinese),菲律賓人,15 - 24,7.0
2011,Asian (other than Chinese),菲律賓人,25 - 34,41.6
2011,Asian (other than Chinese),菲律賓人,35 - 44,28.4
2011,Asian (other than Chinese),菲律賓人,45 - 54,11.3
2011,Asian (other than Chinese),菲律賓人,55 - 64,3.6
2011,Asian (other than Chinese),菲律賓人,65+,1.5
2011,Asian (other than Chinese),菲律賓人,"總計
Total",100.0
2011,Asian (other than Chinese),菲律賓人,"年齡
中位數
Median 
age",
2011,Filipino,印尼人,< 15,2.2
2011,Filipino,印尼人,15 - 24,3.0
2011,Filipino,印尼人,25 - 34,34.5
2011,Filipino,印尼人,35 - 44,36.5
2011,Filipino,印尼人,45 - 54,19.0
2011,Filipino,印尼人,55 - 64,4.3
2011,Filipino,印尼人,65+,0.5
2011,Filipino,印尼人,"總計
Total",100.0
2011,Filipino,印尼人,"年齡
中位數
Median 
age",
2011,Indonesian,南亞裔人士,< 15,0.2
2011,Indonesian,南亞裔人士,15 - 24,9.3
2011,Indonesian,南亞裔人士,25 - 34,64.3
2011,Indonesian,南亞裔人士,35 - 44,23.9
2011,Indonesian,南亞裔人士,45 - 54,1.7
2011,Indonesian,南亞裔人士,55 - 64,0.4
2011,Indonesian,南亞裔人士,65+,0.2
2011,Indonesian,南亞裔人士,"總計
Total",100.0
2011,Indonesian,南亞裔人士,"年齡
中位數
Median 
age",
2011,South Asian,印度人,< 15,25.7
2011,South Asian,印度人,15 - 24,11.9
2011,South Asian,印度人,25 - 34,23.3
2011,South Asian,印度人,35 - 44,20.4
2011,South Asian,印度人,45 - 54,9.3
2011,South Asian,印度人,55 - 64,4.9
2011,South Asian,印度人,65+,4.4
2011,South Asian,印度人,"總計
Total",100.0
2011,South Asian,印度人,"年齡
中位數
Median 
age",
2011,Indian,尼泊爾人,< 15,20.2
2011,Indian,尼泊爾人,15 - 24,10.4
2011,Indian,尼泊爾人,25 - 34,25.1
2011,Indian,尼泊爾人,35 - 44,20.5
2011,Indian,尼泊爾人,45 - 54,10.9
2011,Indian,尼泊爾人,55 - 64,6.1
2011,Indian,尼泊爾人,65+,6.8
2011,Indian,尼泊爾人,"總計
Total",100.0
2011,Indian,尼泊爾人,"年齡
中位數
Median 
age",
2011,Nepalese,巴基斯坦人,< 15,21.6
2011,Nepalese,巴基斯坦人,15 - 24,15.3
2011,Nepalese,巴基斯坦人,25 - 34,23.7
2011,Nepalese,巴基斯坦人,35 - 44,23.3
2011,Nepalese,巴基斯坦人,45 - 54,11.1
2011,Nepalese,巴基斯坦人,55 - 64,2.9
2011,Nepalese,巴基斯坦人,65+,2.1
2011,Nepalese,巴基斯坦人,"總計
Total",100.0
2011,Nepalese,巴基斯坦人,"年齡
中位數
Median 
age",
2011,Pakistani,其他南亞裔人士[2],< 15,39.6
2011,Pakistani,其他南亞裔人士[2],15 - 24,11.8
2011,Pakistani,其他南亞裔人士[2],25 - 34,20.4
2011,Pakistani,其他南亞裔人士[2],35 - 44,17.0
2011,Pakistani,其他南亞裔人士[2],45 - 54,4.5
2011,Pakistani,其他南亞裔人士[2],55 - 64,3.5
2011,Pakistani,其他南亞裔人士[2],65+,3.2
2011,Pakistani,其他南亞裔人士[2],"總計
Total",100.0
2011,Pakistani,其他南亞裔人士[2],"年齡
中位數
Median 
age",
2011,Other South Asian[2],泰國人,< 15,14.8
2011,Other South Asian[2],泰國人,15 - 24,8.4
2011,Other South Asian[2],泰國人,25 - 34,21.1
2011,Other South Asian[2],泰國人,35 - 44,25.2
2011,Other South Asian[2],泰國人,45 - 54,14.7
2011,Other South Asian[2],泰國人,55 - 64,14.8
2011,Other South Asian[2],泰國人,65+,1.1
2011,Other South Asian[2],泰國人,"總計
Total",100.0
2011,Other South Asian[2],泰國人,"年齡
中位數
Median 
age",
2011,Thai,日本人,< 15,3.5
2011,Thai,日本人,15 - 24,2.4
2011,Thai,日本人,25 - 34,13.7
2011,Thai,日本人,35 - 44,31.8
2011,Thai,日本人,45 - 54,30.4
2011,Thai,日本人,55 - 64,14.8
2011,Thai,日本人,65+,3.4
2011,Thai,日本人,"總計
Total",100.0
2011,Thai,日本人,"年齡
中位數
Median 
age",
2011,Japanese,韓國人,< 15,17.1
2011,Japanese,韓國人,15 - 24,3.0
2011,Japanese,韓國人,25 - 34,13.7
2011,Japanese,韓國人,35 - 44,30.9
2011,Japanese,韓國人,45 - 54,21.4
2011,Japanese,韓國人,55 - 64,9.9
2011,Japanese,韓國人,65+,3.9
2011,Japanese,韓國人,"總計
Total",100.0
2011,Japanese,韓國人,"年齡
中位數
Median 
age",
2011,Korean,其他亞洲人,< 15,17.2
2011,Korean,其他亞洲人,15 - 24,5.6
2011,Korean,其他亞洲人,25 - 34,18.4
2011,Korean,其他亞洲人,35 - 44,29.8
2011,Korean,其他亞洲人,45 - 54,16.4
2011,Korean,其他亞洲人,55 - 64,8.9
2011,Korean,其他亞洲人,65+,3.7
