year,ethnicity,marital_status,sex,percentage
2011,亞洲人（非華人）,Table 4.1,Table 4.1,23.0
2011,亞洲人（非華人）,Table 4.1,Table 4.1,35.6
2011,亞洲人（非華人）,Table 4.1,Table 4.1,73.9
2011,亞洲人（非華人）,"從未結婚
Never married","從未結婚
Never married",56.3
2011,亞洲人（非華人）,"從未結婚
Never married","從未結婚
Never married",3.1
2011,亞洲人（非華人）,"從未結婚
Never married","從未結婚
Never married",8.1
2011,亞洲人（非華人）,"已婚
Married","已婚
Married",100.0
2011,亞洲人（非華人）,"已婚
Married","已婚
Married",100.0
2011,菲律賓人,Table 4.1,Table 4.1,26.1
2011,菲律賓人,Table 4.1,Table 4.1,36.4
2011,菲律賓人,Table 4.1,Table 4.1,68.8
2011,菲律賓人,"從未結婚
Never married","從未結婚
Never married",54.0
2011,菲律賓人,"從未結婚
Never married","從未結婚
Never married",5.1
2011,菲律賓人,"從未結婚
Never married","從未結婚
Never married",9.6
2011,菲律賓人,"已婚
Married","已婚
Married",100.0
2011,菲律賓人,"已婚
Married","已婚
Married",100.0
2011,印尼人,Table 4.1,Table 4.1,29.2
2011,印尼人,Table 4.1,Table 4.1,40.4
2011,印尼人,Table 4.1,Table 4.1,68.2
2011,印尼人,"從未結婚
Never married","從未結婚
Never married",52.6
2011,印尼人,"從未結婚
Never married","從未結婚
Never married",2.6
2011,印尼人,"從未結婚
Never married","從未結婚
Never married",7.0
2011,印尼人,"已婚
Married","已婚
Married",100.0
2011,印尼人,"已婚
Married","已婚
Married",100.0
2011,南亞裔人士,Table 4.1,Table 4.1,23.7
2011,南亞裔人士,Table 4.1,Table 4.1,20.2
2011,南亞裔人士,Table 4.1,Table 4.1,73.6
2011,南亞裔人士,"從未結婚
Never married","從未結婚
Never married",74.6
2011,南亞裔人士,"從未結婚
Never married","從未結婚
Never married",2.7
2011,南亞裔人士,"從未結婚
Never married","從未結婚
Never married",5.2
2011,南亞裔人士,"已婚
Married","已婚
Married",100.0
2011,南亞裔人士,"已婚
Married","已婚
Married",100.0
2011,印度人,Table 4.1,Table 4.1,22.9
2011,印度人,Table 4.1,Table 4.1,20.9
2011,印度人,Table 4.1,Table 4.1,74.4
2011,印度人,"從未結婚
Never married","從未結婚
Never married",73.4
2011,印度人,"從未結婚
Never married","從未結婚
Never married",2.7
2011,印度人,"從未結婚
Never married","從未結婚
Never married",5.7
2011,印度人,"已婚
Married","已婚
Married",100.0
2011,印度人,"已婚
Married","已婚
Married",100.0
2011,尼泊爾人,Table 4.1,Table 4.1,20.3
2011,尼泊爾人,Table 4.1,Table 4.1,22.0
2011,尼泊爾人,Table 4.1,Table 4.1,75.3
2011,尼泊爾人,"從未結婚
Never married","從未結婚
Never married",73.1
2011,尼泊爾人,"從未結婚
Never married","從未結婚
Never married",4.3
2011,尼泊爾人,"從未結婚
Never married","從未結婚
Never married",4.8
2011,尼泊爾人,"已婚
Married","已婚
Married",100.0
2011,尼泊爾人,"已婚
Married","已婚
Married",100.0
2011,巴基斯坦人,Table 4.1,Table 4.1,26.5
2011,巴基斯坦人,Table 4.1,Table 4.1,15.8
2011,巴基斯坦人,Table 4.1,Table 4.1,72.1
2011,巴基斯坦人,"從未結婚
Never married","從未結婚
Never married",81.0
2011,巴基斯坦人,"從未結婚
Never married","從未結婚
Never married",1.4
2011,巴基斯坦人,"從未結婚
Never married","從未結婚
Never married",3.2
2011,巴基斯坦人,"已婚
Married","已婚
Married",100.0
2011,巴基斯坦人,"已婚
Married","已婚
Married",100.0
2011,其他南亞裔人士[1],Table 4.1,Table 4.1,39.9
2011,其他南亞裔人士[1],Table 4.1,Table 4.1,20.0
2011,其他南亞裔人士[1],Table 4.1,Table 4.1,59.7
2011,其他南亞裔人士[1],"從未結婚
Never married","從未結婚
Never married",71.0
2011,其他南亞裔人士[1],"從未結婚
Never married","從未結婚
Never married",0.4
2011,其他南亞裔人士[1],"從未結婚
Never married","從未結婚
Never married",9.0
2011,其他南亞裔人士[1],"已婚
Married","已婚
Married",100.0
2011,其他南亞裔人士[1],"已婚
Married","已婚
Married",100.0
2011,泰國人,Table 4.1,Table 4.1,25.2
2011,泰國人,Table 4.1,Table 4.1,13.3
2011,泰國人,Table 4.1,Table 4.1,73.4
2011,泰國人,"從未結婚
Never married","從未結婚
Never married",71.6
2011,泰國人,"從未結婚
Never married","從未結婚
Never married",1.4
2011,泰國人,"從未結婚
Never married","從未結婚
Never married",15.1
2011,泰國人,"已婚
Married","已婚
Married",100.0
2011,泰國人,"已婚
Married","已婚
Married",100.0
2011,日本人,Table 4.1,Table 4.1,15.6
2011,日本人,Table 4.1,Table 4.1,20.1
2011,日本人,Table 4.1,Table 4.1,81.4
2011,日本人,"從未結婚
Never married","從未結婚
Never married",77.1
2011,日本人,"從未結婚
Never married","從未結婚
Never married",3.0
2011,日本人,"從未結婚
Never married","從未結婚
Never married",2.8
2011,日本人,"已婚
Married","已婚
Married",100.0
2011,日本人,"已婚
Married","已婚
Married",100.0
2011,韓國人,Table 4.1,Table 4.1,17.5
2011,韓國人,Table 4.1,Table 4.1,20.5
2011,韓國人,Table 4.1,Table 4.1,81.7
2011,韓國人,"從未結婚
Never married","從未結婚
Never married",71.4
2011,韓國人,"從未結婚
Never married","從未結婚
Never married",0.8
2011,韓國人,"從未結婚
Never married","從未結婚
Never married",8.1
2011,韓國人,"已婚
Married","已婚
Married",100.0
2011,韓國人,"已婚
Married","已婚
Married",100.0
2011,其他亞洲人,Table 4.1,Table 4.1,29.5
2011,其他亞洲人,Table 4.1,Table 4.1,21.1
2011,其他亞洲人,Table 4.1,Table 4.1,64.2
2011,其他亞洲人,"從未結婚
Never married","從未結婚
Never married",70.4
2011,其他亞洲人,"從未結婚
Never married","從未結婚
Never married",6.3
2011,其他亞洲人,"從未結婚
Never married","從未結婚
Never married",8.5
2011,其他亞洲人,"已婚
Married","已婚
Married",100.0
2011,其他亞洲人,"已婚
Married","已婚
Married",100.0
2011,白人,Table 4.1,Table 4.1,29.1
2011,白人,Table 4.1,Table 4.1,27.0
2011,白人,Table 4.1,Table 4.1,64.8
2011,白人,"從未結婚
Never married","從未結婚
Never married",63.8
2011,白人,"從未結婚
Never married","從未結婚
Never married",6.1
2011,白人,"從未結婚
Never married","從未結婚
Never married",9.2
2011,白人,"已婚
Married","已婚
Married",100.0
2011,白人,"已婚
Married","已婚
Married",100.0
2011,混血兒,Table 4.1,Table 4.1,53.0
2011,混血兒,Table 4.1,Table 4.1,48.6
2011,混血兒,Table 4.1,Table 4.1,42.3
2011,混血兒,"從未結婚
Never married","從未結婚
Never married",38.6
2011,混血兒,"從未結婚
Never married","從未結婚
Never married",4.7
2011,混血兒,"從未結婚
Never married","從未結婚
Never married",12.8
2011,混血兒,"已婚
Married","已婚
Married",100.0
2011,混血兒,"已婚
Married","已婚
Married",100.0
2011,華人父或母,Table 4.1,Table 4.1,52.0
2011,華人父或母,Table 4.1,Table 4.1,48.6
2011,華人父或母,Table 4.1,Table 4.1,43.1
2011,華人父或母,"從未結婚
Never married","從未結婚
Never married",38.1
2011,華人父或母,"從未結婚
Never married","從未結婚
Never married",4.9
2011,華人父或母,"從未結婚
Never married","從未結婚
Never married",13.2
2011,華人父或母,"已婚
Married","已婚
Married",100.0
2011,華人父或母,"已婚
Married","已婚
Married",100.0
2011,其他混血兒,Table 4.1,Table 4.1,65.1
2011,其他混血兒,Table 4.1,Table 4.1,48.3
2011,其他混血兒,Table 4.1,Table 4.1,32.2
2011,其他混血兒,"從未結婚
Never married","從未結婚
Never married",41.4
2011,其他混血兒,"從未結婚
Never married","從未結婚
Never married",2.7
2011,其他混血兒,"從未結婚
Never married","從未結婚
Never married",10.3
2011,其他混血兒,"已婚
Married","已婚
Married",100.0
2011,其他混血兒,"已婚
Married","已婚
Married",100.0
2011,其他[2],Table 4.1,Table 4.1,31.4
2011,其他[2],Table 4.1,Table 4.1,30.4
2011,其他[2],Table 4.1,Table 4.1,64.0
2011,其他[2],"從未結婚
Never married","從未結婚
Never married",69.6
2011,其他[2],"從未結婚
Never married","從未結婚
Never married",4.6
2011,其他[2],"已婚
Married","已婚
Married",100.0
2011,其他[2],"已婚
Married","已婚
Married",100.0
2011,所有少數族裔人士,Table 4.1,Table 4.1,28.4
2011,所有少數族裔人士,Table 4.1,Table 4.1,35.5
2011,所有少數族裔人士,Table 4.1,Table 4.1,67.2
2011,所有少數族裔人士,"從未結婚
Never married","從未結婚
Never married",56.1
2011,所有少數族裔人士,"從未結婚
Never married","從未結婚
Never married",4.4
2011,所有少數族裔人士,"從未結婚
Never married","從未結婚
Never married",8.3
2011,所有少數族裔人士,"已婚
Married","已婚
Married",100.0
2011,所有少數族裔人士,"已婚
Married","已婚
Married",100.0
2011,全港人口,Table 4.1,Table 4.1,33.5
2011,全港人口,Table 4.1,Table 4.1,29.9
2011,全港人口,Table 4.1,Table 4.1,61.2
2011,全港人口,"從未結婚
Never married","從未結婚
Never married",54.8
2011,全港人口,"從未結婚
Never married","從未結婚
Never married",5.3
2011,全港人口,"從未結婚
Never married","從未結婚
Never married",15.3
2011,全港人口,"已婚
Married","已婚
Married",100.0
2011,全港人口,"已婚
Married","已婚
Married",100.0
