type_of_behaviour,gender,measure,value
unwanted physical contact,cisgender,percent,11.9
unwanted physical contact,cisgender,from,11.4
unwanted physical contact,cisgender,to,12.4
unwanted physical contact,transgender,percent,22.0
unwanted physical contact,transgender,from,6.4
unwanted physical contact,transgender,to,47.0
indecent exposure,cisgender,percent,3.8
indecent exposure,cisgender,from,3.4
indecent exposure,cisgender,to,4.1
unwanted comments about sex or gender,cisgender,percent,8.8
unwanted comments about sex or gender,cisgender,from,8.4
unwanted comments about sex or gender,cisgender,to,9.3
unwanted comments about sex or gender,transgender,percent,43.4
unwanted comments about sex or gender,transgender,from,21.0
unwanted comments about sex or gender,transgender,to,68.0
unwanted comments about sexual orientation or assumed sexual orientation,cisgender,percent,3.8
unwanted comments about sexual orientation or assumed sexual orientation,cisgender,from,3.5
unwanted comments about sexual orientation or assumed sexual orientation,cisgender,to,4.2
unwanted comments about sexual orientation or assumed sexual orientation,transgender,percent,36.5
unwanted comments about sexual orientation or assumed sexual orientation,transgender,from,18.8
unwanted comments about sexual orientation or assumed sexual orientation,transgender,to,57.3
unwanted sexual attention,cisgender,percent,15.3
unwanted sexual attention,cisgender,from,14.8
unwanted sexual attention,cisgender,to,15.9
unwanted sexual attention,transgender,percent,39.2
unwanted sexual attention,transgender,from,21.0
unwanted sexual attention,transgender,to,59.9
experienced unwanted sexual behaviour in public in the past 12 months,cisgender,percent,22.7
experienced unwanted sexual behaviour in public in the past 12 months,cisgender,from,22.1
experienced unwanted sexual behaviour in public in the past 12 months,cisgender,to,23.4
experienced unwanted sexual behaviour in public in the past 12 months,transgender,percent,57.6
experienced unwanted sexual behaviour in public in the past 12 months,transgender,from,37.1
experienced unwanted sexual behaviour in public in the past 12 months,transgender,to,76.5
threatening or aggressive emails or messages directed at you personally,cisgender,percent,8.9
threatening or aggressive emails or messages directed at you personally,cisgender,from,8.4
threatening or aggressive emails or messages directed at you personally,cisgender,to,9.4
threatening or aggressive emails or messages directed at you personally,transgender,percent,28.6
threatening or aggressive emails or messages directed at you personally,transgender,from,11.9
threatening or aggressive emails or messages directed at you personally,transgender,to,50.9
threatening or aggressive messages sent to a group or on social media,cisgender,percent,4.3
threatening or aggressive messages sent to a group or on social media,cisgender,from,3.9
threatening or aggressive messages sent to a group or on social media,cisgender,to,4.7
"posting or distributing, or threatening to post or distribute, intimate or sexually explicit images without consent",cisgender,percent,1.6
"posting or distributing, or threatening to post or distribute, intimate or sexually explicit images without consent",cisgender,from,1.3
"posting or distributing, or threatening to post or distribute, intimate or sexually explicit images without consent",cisgender,to,1.8
"pressure to send, share, or post sexually suggestive or explicit images or messages",cisgender,percent,2.7
"pressure to send, share, or post sexually suggestive or explicit images or messages",cisgender,from,2.5
"pressure to send, share, or post sexually suggestive or explicit images or messages",cisgender,to,3.0
"pressure to send, share, or post sexually suggestive or explicit images or messages",transgender,percent,20.3
"pressure to send, share, or post sexually suggestive or explicit images or messages",transgender,from,6.4
"pressure to send, share, or post sexually suggestive or explicit images or messages",transgender,to,42.1
being sent unwanted sexually suggestive or explicit images or messages,cisgender,percent,8.6
being sent unwanted sexually suggestive or explicit images or messages,cisgender,from,8.1
being sent unwanted sexually suggestive or explicit images or messages,cisgender,to,9.1
experienced unwanted sexual behaviour online in the past 12 months,cisgender,percent,16.0
experienced unwanted sexual behaviour online in the past 12 months,cisgender,from,15.4
experienced unwanted sexual behaviour online in the past 12 months,cisgender,to,16.7
experienced unwanted sexual behaviour online in the past 12 months,transgender,percent,41.6
experienced unwanted sexual behaviour online in the past 12 months,transgender,from,21.7
experienced unwanted sexual behaviour online in the past 12 months,transgender,to,63.8
changed username or blocked others because of harassment,cisgender,percent,13.5
changed username or blocked others because of harassment,cisgender,from,12.9
changed username or blocked others because of harassment,cisgender,to,14.1
changed username or blocked others because of harassment,transgender,percent,37.4
changed username or blocked others because of harassment,transgender,from,18.3
changed username or blocked others because of harassment,transgender,to,59.7
limited internet use or social media participation for protection,cisgender,percent,14.7
limited internet use or social media participation for protection,cisgender,from,14.2
limited internet use or social media participation for protection,cisgender,to,15.3
shut down or deleted an account because of harassment,cisgender,percent,3.4
shut down or deleted an account because of harassment,cisgender,from,3.2
shut down or deleted an account because of harassment,cisgender,to,3.7
took a protective measure online due to harassment in the past 12 months,cisgender,percent,23.5
took a protective measure online due to harassment in the past 12 months,cisgender,from,22.8
took a protective measure online due to harassment in the past 12 months,cisgender,to,24.2
took a protective measure online due to harassment in the past 12 months,transgender,percent,40.8
took a protective measure online due to harassment in the past 12 months,transgender,from,21.1
took a protective measure online due to harassment in the past 12 months,transgender,to,63.0
