region,age_group,cohort_type,metric,value
canada,19 to 49 years,linked cctlp tumour cohort,number,1210.0
canada,19 to 49 years,tumours with one or more surgical interv,number,695.0
canada,19 to 49 years,linked cctlp tumour cohort,percent,57.4
canada,50 to 69 years,linked cctlp tumour cohort,number,30550.0
canada,50 to 69 years,tumours with one or more surgical interv,number,13520.0
canada,50 to 69 years,tumours with one or more surgical interv,percent,44.2
canada,70 years and older,linked cctlp tumour cohort,number,20385.0
canada,70 years and older,linked cctlp tumour cohort,number,2255.0
canada,70 years and older,linked cctlp tumour cohort,percent,11.1
newfoundland and labrador,19 to 49 years,linked cctlp tumour cohort,number,25.0
newfoundland and labrador,19 to 49 years,tumours with one or more surgical interv,number,20.0
newfoundland and labrador,19 to 49 years,linked cctlp tumour cohort,percent,83.3
newfoundland and labrador,50 to 69 years,linked cctlp tumour cohort,number,865.0
newfoundland and labrador,50 to 69 years,tumours with one or more surgical interv,number,415.0
newfoundland and labrador,50 to 69 years,tumours with one or more surgical interv,percent,48.2
newfoundland and labrador,70 years and older,linked cctlp tumour cohort,number,455.0
newfoundland and labrador,70 years and older,linked cctlp tumour cohort,number,35.0
newfoundland and labrador,70 years and older,linked cctlp tumour cohort,percent,7.7
prince edward island,19 to 49 years,linked cctlp tumour cohort,number,
prince edward island,19 to 49 years,tumours with one or more surgical interv,number,
prince edward island,19 to 49 years,linked cctlp tumour cohort,percent,
prince edward island,50 to 69 years,linked cctlp tumour cohort,number,260.0
prince edward island,50 to 69 years,tumours with one or more surgical interv,number,60.0
prince edward island,50 to 69 years,tumours with one or more surgical interv,percent,23.1
prince edward island,70 years and older,linked cctlp tumour cohort,number,
prince edward island,70 years and older,linked cctlp tumour cohort,number,
prince edward island,70 years and older,linked cctlp tumour cohort,percent,
nova scotia,19 to 49 years,linked cctlp tumour cohort,number,55.0
nova scotia,19 to 49 years,tumours with one or more surgical interv,number,35.0
nova scotia,19 to 49 years,linked cctlp tumour cohort,percent,65.5
nova scotia,50 to 69 years,linked cctlp tumour cohort,number,1335.0
nova scotia,50 to 69 years,tumours with one or more surgical interv,number,625.0
nova scotia,50 to 69 years,tumours with one or more surgical interv,percent,46.7
nova scotia,70 years and older,linked cctlp tumour cohort,number,785.0
nova scotia,70 years and older,linked cctlp tumour cohort,number,115.0
nova scotia,70 years and older,linked cctlp tumour cohort,percent,14.8
new brunswick,19 to 49 years,linked cctlp tumour cohort,number,45.0
new brunswick,19 to 49 years,tumours with one or more surgical interv,number,25.0
new brunswick,19 to 49 years,linked cctlp tumour cohort,percent,52.3
new brunswick,50 to 69 years,linked cctlp tumour cohort,number,1260.0
new brunswick,50 to 69 years,tumours with one or more surgical interv,number,415.0
new brunswick,50 to 69 years,tumours with one or more surgical interv,percent,33.1
new brunswick,70 years and older,linked cctlp tumour cohort,number,635.0
new brunswick,70 years and older,linked cctlp tumour cohort,number,45.0
new brunswick,70 years and older,linked cctlp tumour cohort,percent,7.2
ontario,19 to 49 years,linked cctlp tumour cohort,number,625.0
ontario,19 to 49 years,tumours with one or more surgical interv,number,350.0
ontario,19 to 49 years,linked cctlp tumour cohort,percent,55.6
ontario,50 to 69 years,linked cctlp tumour cohort,number,15145.0
ontario,50 to 69 years,tumours with one or more surgical interv,number,6755.0
ontario,50 to 69 years,tumours with one or more surgical interv,percent,44.6
ontario,70 years and older,linked cctlp tumour cohort,number,10040.0
ontario,70 years and older,linked cctlp tumour cohort,number,980.0
ontario,70 years and older,linked cctlp tumour cohort,percent,9.7
manitoba,19 to 49 years,linked cctlp tumour cohort,number,35.0
manitoba,19 to 49 years,tumours with one or more surgical interv,number,15.0
manitoba,19 to 49 years,linked cctlp tumour cohort,percent,41.2
manitoba,50 to 69 years,linked cctlp tumour cohort,number,1110.0
manitoba,50 to 69 years,tumours with one or more surgical interv,number,480.0
manitoba,50 to 69 years,tumours with one or more surgical interv,percent,43.3
manitoba,70 years and older,linked cctlp tumour cohort,number,840.0
manitoba,70 years and older,linked cctlp tumour cohort,number,75.0
manitoba,70 years and older,linked cctlp tumour cohort,percent,8.7
saskatchewan,19 to 49 years,linked cctlp tumour cohort,number,40.0
saskatchewan,19 to 49 years,tumours with one or more surgical interv,number,20.0
