linked_cctlp_tumour_cohort,measure,value
canada,linked cctlp tumour cohort,49135.0
newfoundland and labrador,linked cctlp tumour cohort,1245.0
prince edward island,linked cctlp tumour cohort,360.0
nova scotia,linked cctlp tumour cohort,2680.0
new brunswick,linked cctlp tumour cohort,1950.0
ontario,linked cctlp tumour cohort,24205.0
manitoba,linked cctlp tumour cohort,2460.0
saskatchewan,linked cctlp tumour cohort,2200.0
alberta,linked cctlp tumour cohort,5425.0
british columbia,linked cctlp tumour cohort,8475.0
yukon,linked cctlp tumour cohort,50.0
canada,tumours with one or more surgical interventions,9380.0
newfoundland and labrador,tumours with one or more surgical interventions,195.0
prince edward island,tumours with one or more surgical interventions,50.0
nova scotia,tumours with one or more surgical interventions,535.0
new brunswick,tumours with one or more surgical interventions,490.0
ontario,tumours with one or more surgical interventions,4765.0
manitoba,tumours with one or more surgical interventions,560.0
saskatchewan,tumours with one or more surgical interventions,385.0
alberta,tumours with one or more surgical interventions,955.0
british columbia,tumours with one or more surgical interventions,1420.0
yukon,tumours with one or more surgical interventions,10.0
canada,Unnamed: 3,19.1
newfoundland and labrador,Unnamed: 3,15.6
prince edward island,Unnamed: 3,13.6
nova scotia,Unnamed: 3,20.0
new brunswick,Unnamed: 3,25.1
ontario,Unnamed: 3,19.7
manitoba,Unnamed: 3,22.9
saskatchewan,Unnamed: 3,17.5
alberta,Unnamed: 3,17.6
british columbia,Unnamed: 3,16.8
yukon,Unnamed: 3,19.6
