demographic_category,year,activity_type,percentage
total,2003,people who saw their friends a few times or more a week,56.0
total,2008,people who saw their friends a few times or more a week,48.0
total,2013,people who saw their friends a few times or more a week,44.0
total,2003,people who contacted their friends a few times or more a week,60.0
total,2008,people who contacted their friends a few times or more a week,58.0
total,2013,people who contacted their friends a few times or more a week,54.0
men,2003,people who saw their friends a few times or more a week,58.0
men,2008,people who saw their friends a few times or more a week,49.0
men,2013,people who saw their friends a few times or more a week,44.0
men,2003,people who contacted their friends a few times or more a week,57.0
men,2008,people who contacted their friends a few times or more a week,55.0
men,2013,people who contacted their friends a few times or more a week,50.0
women,2003,people who saw their friends a few times or more a week,53.0
women,2008,people who saw their friends a few times or more a week,46.0
women,2013,people who saw their friends a few times or more a week,43.0
women,2003,people who contacted their friends a few times or more a week,64.0
women,2008,people who contacted their friends a few times or more a week,61.0
women,2013,people who contacted their friends a few times or more a week,57.0
15 to 24 years,2003,people who saw their friends a few times or more a week,84.0
15 to 24 years,2008,people who saw their friends a few times or more a week,77.0
15 to 24 years,2013,people who saw their friends a few times or more a week,73.0
15 to 24 years,2003,people who contacted their friends a few times or more a week,89.0
15 to 24 years,2008,people who contacted their friends a few times or more a week,87.0
15 to 24 years,2013,people who contacted their friends a few times or more a week,76.0
25 to 34 years,2003,people who saw their friends a few times or more a week,57.0
25 to 34 years,2008,people who saw their friends a few times or more a week,46.0
25 to 34 years,2013,people who saw their friends a few times or more a week,45.0
25 to 34 years,2003,people who contacted their friends a few times or more a week,71.0
25 to 34 years,2008,people who contacted their friends a few times or more a week,69.0
25 to 34 years,2013,people who contacted their friends a few times or more a week,62.0
35 to 44 years,2003,people who saw their friends a few times or more a week,50.0
35 to 44 years,2008,people who saw their friends a few times or more a week,45.0
35 to 44 years,2013,people who saw their friends a few times or more a week,38.0
35 to 44 years,2003,people who contacted their friends a few times or more a week,57.0
35 to 44 years,2008,people who contacted their friends a few times or more a week,58.0
35 to 44 years,2013,people who contacted their friends a few times or more a week,54.0
45 to 54 years,2003,people who saw their friends a few times or more a week,48.0
45 to 54 years,2008,people who saw their friends a few times or more a week,42.0
45 to 54 years,2013,people who saw their friends a few times or more a week,36.0
45 to 54 years,2003,people who contacted their friends a few times or more a week,51.0
45 to 54 years,2008,people who contacted their friends a few times or more a week,49.0
45 to 54 years,2013,people who contacted their friends a few times or more a week,47.0
55 to 64 years,2003,people who saw their friends a few times or more a week,47.0
55 to 64 years,2008,people who saw their friends a few times or more a week,38.0
55 to 64 years,2013,people who saw their friends a few times or more a week,35.0
55 to 64 years,2003,people who contacted their friends a few times or more a week,47.0
55 to 64 years,2008,people who contacted their friends a few times or more a week,44.0
55 to 64 years,2013,people who contacted their friends a few times or more a week,44.0
65 to 74 years,2003,people who saw their friends a few times or more a week,50.0
65 to 74 years,2008,people who saw their friends a few times or more a week,38.0
65 to 74 years,2013,people who saw their friends a few times or more a week,36.0
65 to 74 years,2003,people who contacted their friends a few times or more a week,46.0
65 to 74 years,2008,people who contacted their friends a few times or more a week,41.0
65 to 74 years,2013,people who contacted their friends a few times or more a week,44.0
75 years and older,2003,people who saw their friends a few times or more a week,44.0
75 years and older,2008,people who saw their friends a few times or more a week,37.0
75 years and older,2013,people who saw their friends a few times or more a week,41.0
75 years and older,2003,people who contacted their friends a few times or more a week,40.0
75 years and older,2008,people who contacted their friends a few times or more a week,38.0
75 years and older,2013,people who contacted their friends a few times or more a week,40.0
newfoundland and labrador,2003,people who saw their friends a few times or more a week,75.0
newfoundland and labrador,2008,people who saw their friends a few times or more a week,61.0
newfoundland and labrador,2013,people who saw their friends a few times or more a week,57.0
newfoundland and labrador,2003,people who contacted their friends a few times or more a week,73.0
newfoundland and labrador,2008,people who contacted their friends a few times or more a week,63.0
newfoundland and labrador,2013,people who contacted their friends a few times or more a week,56.0
prince edward island,2003,people who saw their friends a few times or more a week,69.0
prince edward island,2008,people who saw their friends a few times or more a week,60.0
prince edward island,2013,people who saw their friends a few times or more a week,51.0
prince edward island,2003,people who contacted their friends a few times or more a week,65.0
prince edward island,2008,people who contacted their friends a few times or more a week,62.0
prince edward island,2013,people who contacted their friends a few times or more a week,55.0
nova scotia,2003,people who saw their friends a few times or more a week,68.0
nova scotia,2008,people who saw their friends a few times or more a week,54.0
nova scotia,2013,people who saw their friends a few times or more a week,48.0
nova scotia,2003,people who contacted their friends a few times or more a week,66.0
nova scotia,2008,people who contacted their friends a few times or more a week,62.0
nova scotia,2013,people who contacted their friends a few times or more a week,57.0
new brunswick,2003,people who saw their friends a few times or more a week,67.0
new brunswick,2008,people who saw their friends a few times or more a week,56.0
new brunswick,2013,people who saw their friends a few times or more a week,51.0
new brunswick,2003,people who contacted their friends a few times or more a week,64.0
new brunswick,2008,people who contacted their friends a few times or more a week,58.0
new brunswick,2013,people who contacted their friends a few times or more a week,53.0
quebec,2003,people who saw their friends a few times or more a week,49.0
quebec,2008,people who saw their friends a few times or more a week,45.0
quebec,2013,people who saw their friends a few times or more a week,42.0
quebec,2003,people who contacted their friends a few times or more a week,50.0
quebec,2008,people who contacted their friends a few times or more a week,50.0
quebec,2013,people who contacted their friends a few times or more a week,51.0
ontario,2003,people who saw their friends a few times or more a week,55.0
ontario,2008,people who saw their friends a few times or more a week,47.0
ontario,2013,people who saw their friends a few times or more a week,42.0
ontario,2003,people who contacted their friends a few times or more a week,63.0
ontario,2008,people who contacted their friends a few times or more a week,60.0
ontario,2013,people who contacted their friends a few times or more a week,54.0
manitoba,2003,people who saw their friends a few times or more a week,59.0
manitoba,2008,people who saw their friends a few times or more a week,49.0
manitoba,2013,people who saw their friends a few times or more a week,44.0
manitoba,2003,people who contacted their friends a few times or more a week,60.0
manitoba,2008,people who contacted their friends a few times or more a week,59.0
