flow,sector,amount
actual employer social contributions,non-financial corporations sector,-25.0
imputed employer social contributions,non-financial corporations sector,-25.0
actual employer social contributions,household sector,25.0
imputed employer social contributions,household sector,25.0
property income received,household sector,5.0
current transfers,household sector,-75.0
current transfers,household sector,20.0
household disposable income,household sector,-55.0
change in pension entitlements,household sector,55.0
property income received,financial corporations sector,-5.0
current transfers,financial corporations sector,75.0
current transfers,financial corporations sector,-20.0
change in pension entitlements,financial corporations sector,-55.0
