province_or_territory,estimate_type,value
newfoundland and labrador,revised estimate,2.59
prince edward island,revised estimate,2.47
nova scotia,revised estimate,1.95
new brunswick,revised estimate,2.03
quebec,revised estimate,1.93
ontario,revised estimate,2.59
manitoba,revised estimate,2.11
saskatchewan,revised estimate,2.18
alberta,revised estimate,3.13
british columbia,revised estimate,2.47
yukon,revised estimate,3.75
northwest territories,revised estimate,2.51
nunavut,revised estimate,4.92
newfoundland and labrador,previously published estimate,2.64
prince edward island,previously published estimate,2.5
nova scotia,previously published estimate,1.95
new brunswick,previously published estimate,2.01
quebec,previously published estimate,1.95
ontario,previously published estimate,2.62
manitoba,previously published estimate,2.1
saskatchewan,previously published estimate,2.28
alberta,previously published estimate,3.14
british columbia,previously published estimate,2.48
yukon,previously published estimate,3.69
northwest territories,previously published estimate,2.58
nunavut,previously published estimate,4.68
newfoundland and labrador,average absolute revision,0.32
prince edward island,average absolute revision,0.56
nova scotia,average absolute revision,0.25
new brunswick,average absolute revision,0.23
quebec,average absolute revision,0.19
ontario,average absolute revision,0.15
manitoba,average absolute revision,0.17
saskatchewan,average absolute revision,0.3
alberta,average absolute revision,0.36
british columbia,average absolute revision,0.17
yukon,average absolute revision,0.64
northwest territories,average absolute revision,0.54
nunavut,average absolute revision,1.47
