service_use_and_perceived_health_care_needs,disorder_category,section,percentage,confidence_interval_from,confidence_interval_to
received help,concurrent disorders,in past 12 months:,75.5,67.1,82.3
received help,mood/anxiety disorder only,in past 12 months:,66.5,62.3,70.6
received help,substance use disorder only,in past 12 months:,21.0,17.4,25.2
formal consultation,concurrent disorders,in past 12 months:,64.9,55.8,73.0
formal consultation,mood/anxiety disorder only,in past 12 months:,59.2,54.9,63.4
formal consultation,substance use disorder only,in past 12 months:,16.2,12.8,20.2
informal consultation,concurrent disorders,in past 12 months:,78.2,70.5,84.3
informal consultation,mood/anxiety disorder only,in past 12 months:,64.4,60.2,68.3
informal consultation,substance use disorder only,in past 12 months:,31.2,26.9,35.9
none,concurrent disorders,perceived health care needs,12.0,7.2,19.3
none,mood/anxiety disorder only,perceived health care needs,23.6,20.2,27.4
none,substance use disorder only,perceived health care needs,74.9,70.5,78.9
all needs met,concurrent disorders,perceived health care needs,44.4,35.4,53.7
all needs met,mood/anxiety disorder only,perceived health care needs,42.2,37.9,46.7
all needs met,substance use disorder only,perceived health care needs,14.9,11.9,18.5
partially met or not met,concurrent disorders,perceived health care needs,39.3,31.2,48.1
partially met or not met,mood/anxiety disorder only,perceived health care needs,32.1,28.2,36.3
partially met or not met,substance use disorder only,perceived health care needs,9.6,7.3,12.7
