province_and_territory,crime_type,crime_severity_index,percent_change_2015_to_2016
newfoundland and labrador,violent,72.6,8
prince edward island,violent,35.1,-16
nova scotia,violent,68.3,-3
new brunswick,violent,63.2,5
quebec,violent,64.7,-2
ontario,violent,63.6,7
manitoba,violent,152.7,10
saskatchewan,violent,146.1,7
alberta,violent,89.9,-8
british columbia,violent,74.9,-10
yukon,violent,229.1,9
northwest territories,violent,332.1,-9
nunavut,violent,407.7,5
newfoundland and labrador,non-violent,68.0,4
prince edward island,non-violent,53.3,1
nova scotia,non-violent,58.5,-2
new brunswick,non-violent,61.0,-4
quebec,non-violent,51.0,-3
ontario,non-violent,48.6,3
manitoba,non-violent,100.3,7
saskatchewan,non-violent,149.5,9
alberta,non-violent,106.9,1
british columbia,non-violent,100.3,2
yukon,non-violent,167.0,-4
northwest territories,non-violent,276.4,-9
nunavut,non-violent,241.6,4
