province_and_territory,crime_type,year_range,index_value,percent_change
alberta,total youth crime severity index,2006 to 2016,,-48.0
alberta,total youth crime severity index,2015 to 2016,57.0,-15.0
alberta,youth non-violent crime severity index,2015 to 2016,53.8,-13.0
alberta,youth violent crime severity index,2015 to 2016,61.1,-16.0
british columbia,total youth crime severity index,2006 to 2016,,-56.0
british columbia,total youth crime severity index,2015 to 2016,35.7,-9.0
british columbia,youth non-violent crime severity index,2015 to 2016,34.5,-10.0
british columbia,youth violent crime severity index,2015 to 2016,37.2,-8.0
manitoba,total youth crime severity index,2006 to 2016,,-38.0
manitoba,total youth crime severity index,2015 to 2016,113.1,-5.0
manitoba,youth non-violent crime severity index,2015 to 2016,102.3,-10.0
manitoba,youth violent crime severity index,2015 to 2016,127.5,0.0
new brunswick,total youth crime severity index,2006 to 2016,,-38.0
new brunswick,total youth crime severity index,2015 to 2016,55.7,-3.0
new brunswick,youth non-violent crime severity index,2015 to 2016,60.1,-2.0
new brunswick,youth violent crime severity index,2015 to 2016,49.0,-5.0
newfoundland and labrador,total youth crime severity index,2006 to 2016,,-43.0
newfoundland and labrador,total youth crime severity index,2015 to 2016,59.3,-2.0
newfoundland and labrador,youth non-violent crime severity index,2015 to 2016,67.0,0.0
newfoundland and labrador,youth violent crime severity index,2015 to 2016,47.9,-6.0
northwest territories,total youth crime severity index,2006 to 2016,,-48.0
northwest territories,total youth crime severity index,2015 to 2016,266.8,-10.0
northwest territories,youth non-violent crime severity index,2015 to 2016,349.0,-3.0
northwest territories,youth violent crime severity index,2015 to 2016,149.0,-28.0
nova scotia,total youth crime severity index,2006 to 2016,,-41.0
nova scotia,total youth crime severity index,2015 to 2016,77.5,8.0
nova scotia,youth non-violent crime severity index,2015 to 2016,72.3,-2.0
nova scotia,youth violent crime severity index,2015 to 2016,84.4,25.0
nunavut,total youth crime severity index,2006 to 2016,,-26.0
nunavut,total youth crime severity index,2015 to 2016,296.3,-10.0
nunavut,youth non-violent crime severity index,2015 to 2016,369.5,-8.0
nunavut,youth violent crime severity index,2015 to 2016,191.0,-17.0
ontario,total youth crime severity index,2006 to 2016,,-46.0
ontario,total youth crime severity index,2015 to 2016,52.7,4.0
ontario,youth non-violent crime severity index,2015 to 2016,40.9,-5.0
ontario,youth violent crime severity index,2015 to 2016,69.1,14.0
prince edward island,total youth crime severity index,2006 to 2016,,-70.0
prince edward island,total youth crime severity index,2015 to 2016,30.7,-12.0
prince edward island,youth non-violent crime severity index,2015 to 2016,34.5,-9.0
prince edward island,youth violent crime severity index,2015 to 2016,25.2,-18.0
quebec,total youth crime severity index,2006 to 2016,,-11.0
quebec,total youth crime severity index,2015 to 2016,56.4,4.0
quebec,youth non-violent crime severity index,2015 to 2016,43.0,-8.0
quebec,youth violent crime severity index,2015 to 2016,75.0,16.0
saskatchewan,total youth crime severity index,2006 to 2016,,-36.0
saskatchewan,total youth crime severity index,2015 to 2016,170.2,-9.0
saskatchewan,youth non-violent crime severity index,2015 to 2016,176.7,-10.0
saskatchewan,youth violent crime severity index,2015 to 2016,160.0,-8.0
yukon,total youth crime severity index,2006 to 2016,,-30.0
yukon,total youth crime severity index,2015 to 2016,191.9,-28.0
yukon,youth non-violent crime severity index,2015 to 2016,196.5,-42.0
yukon,youth violent crime severity index,2015 to 2016,184.1,15.0
