type_of_formal_employer_support,year,percentage
any type of support,2013,55.0
use of facilities or equipment,2013,27.0
paid time off or time to spend volunteering,2013,20.0
approval to change work hours or reduce work activities,2013,34.0
recognition or letter of thanks,2013,19.0
other,2013,3.0
"donated prizes, gift certificates",2013,1.0
donated financially to the organization,2013,1.0
donated t-shirts or company goods,2013,1.0
"sponsored an event, paid entry fee or membership fee",2013,1.0
any type of support,2010,57.0
use of facilities or equipment,2010,30.0
paid time off or time to spend volunteering,2010,20.0
approval to change work hours or reduce work activities,2010,35.0
recognition or letter of thanks,2010,24.0
other,2010,4.0
"donated prizes, gift certificates",2010,2.0
donated financially to the organization,2010,1.0
donated t-shirts or company goods,2010,1.0
"sponsored an event, paid entry fee or membership fee",2010,1.0
