farm_area_category,land_tenure,agricultural_region,measure,value
farms under 130 acres,,agricultural region 1,number,273.0
farms under 130 acres,,,percent,30.7
farms under 130 acres,,agricultural region 3,number,241.0
farms under 130 acres,,,percent,40.4
farms under 130 acres,,agricultural region 4,number,202.0
farms under 130 acres,,,percent,51.3
farms under 130 acres,,total new brunswick,number,996.0
farms under 130 acres,,,percent,38.1
farms between 130 and 399 acres,,agricultural region 1,number,297.0
farms between 130 and 399 acres,,,percent,33.4
farms between 130 and 399 acres,,agricultural region 3,number,201.0
farms between 130 and 399 acres,,,percent,33.7
farms between 130 and 399 acres,,agricultural region 4,number,99.0
farms between 130 and 399 acres,,,percent,25.1
farms between 130 and 399 acres,,total new brunswick,number,855.0
farms between 130 and 399 acres,,,percent,32.7
"farms between 400 and 1,119 acres",,agricultural region 1,number,244.0
"farms between 400 and 1,119 acres",,,percent,27.4
"farms between 400 and 1,119 acres",,agricultural region 3,number,129.0
"farms between 400 and 1,119 acres",,,percent,21.6
"farms between 400 and 1,119 acres",,agricultural region 4,number,74.0
"farms between 400 and 1,119 acres",,,percent,18.8
"farms between 400 and 1,119 acres",,total new brunswick,number,618.0
"farms between 400 and 1,119 acres",,,percent,23.7
"farms between 1,120 and 2,879 acres",,agricultural region 1,number,63.0
"farms between 1,120 and 2,879 acres",,,percent,7.1
"farms between 1,120 and 2,879 acres",,agricultural region 3,number,24.0
"farms between 1,120 and 2,879 acres",,,percent,4.0
"farms between 1,120 and 2,879 acres",,agricultural region 4,number,15.0
"farms between 1,120 and 2,879 acres",,,percent,3.8
"farms between 1,120 and 2,879 acres",,total new brunswick,number,122.0
"farms between 1,120 and 2,879 acres",,,percent,4.7
"farms 2,880 acres and over",,agricultural region 1,number,12.0
"farms 2,880 acres and over",,,percent,1.3
"farms 2,880 acres and over",,agricultural region 3,number,2.0
"farms 2,880 acres and over",,,percent,0.3
"farms 2,880 acres and over",,agricultural region 4,number,4.0
"farms 2,880 acres and over",,,percent,1.0
"farms 2,880 acres and over",,total new brunswick,number,20.0
"farms 2,880 acres and over",,,percent,0.8
,area owned,agricultural region 1,number,852.0
,area owned,,percent,95.8
,area owned,agricultural region 3,number,579.0
,area owned,,percent,97.0
,area owned,agricultural region 4,number,353.0
,area owned,,percent,89.6
,area owned,,percent,95.4
,area leased from governments,agricultural region 1,number,28.0
,area leased from governments,,percent,3.1
,area leased from governments,agricultural region 3,number,17.0
,area leased from governments,,percent,2.8
,area leased from governments,agricultural region 4,number,64.0
,area leased from governments,,percent,16.2
,area leased from governments,total new brunswick,number,119.0
,area leased from governments,,percent,4.6
,area rented or leased from others,agricultural region 1,number,279.0
,area rented or leased from others,,percent,31.4
,area rented or leased from others,agricultural region 3,number,132.0
,area rented or leased from others,,percent,22.1
,area rented or leased from others,agricultural region 4,number,75.0
,area rented or leased from others,,percent,19.0
,area rented or leased from others,total new brunswick,number,628.0
,area rented or leased from others,,percent,24.1
,area crop-shared from others,agricultural region 1,number,13.0
,area crop-shared from others,,percent,1.5
,area crop-shared from others,agricultural region 3,number,8.0
,area crop-shared from others,,percent,1.3
,area crop-shared from others,agricultural region 4,number,4.0
,area crop-shared from others,,percent,1.0
,area crop-shared from others,total new brunswick,number,32.0
,area crop-shared from others,,percent,1.2
,land area used through other arrangements,agricultural region 1,number,119.0
,land area used through other arrangements,,percent,13.4
,land area used through other arrangements,agricultural region 3,number,78.0
,land area used through other arrangements,,percent,13.1
,land area used through other arrangements,agricultural region 4,number,39.0
,land area used through other arrangements,,percent,9.9
,land area used through other arrangements,total new brunswick,number,352.0
,land area used through other arrangements,,percent,13.5
,total area of land used by others,agricultural region 1,number,119.0
,total area of land used by others,,percent,13.4
,total area of land used by others,agricultural region 3,number,31.0
,total area of land used by others,,percent,5.2
,total area of land used by others,agricultural region 4,number,16.0
,total area of land used by others,,percent,4.1
,total area of land used by others,total new brunswick,number,229.0
,total area of land used by others,,percent,8.8
