age_group,gender,education_level,count
16-19 years old,,Total,770958
16-19 years old,,never attended school,1191
16-19 years old,,Preschool education,460
16-19 years old,,Elementary School,27740
16-19 years old,,Junior high school,396001
16-19 years old,,High School,262535
16-19 years old,,College (Associate's Degree),68986
16-19 years old,,University undergraduate,13945
16-19 years old,,Master's,86
16-19 years old,,Doctorate,14
20-24 years old,,Total,3861073
20-24 years old,,never attended school,4671
20-24 years old,,Preschool education,821
20-24 years old,,Elementary School,96060
20-24 years old,,Junior high school,1256869
20-24 years old,,High School,936113
20-24 years old,,College (Associate's Degree),990363
20-24 years old,,University undergraduate,560759
20-24 years old,,Master's,14901
20-24 years old,,Doctorate,516
25-29 years old,,Total,6981094
25-29 years old,,never attended school,9235
25-29 years old,,Preschool education,1019
25-29 years old,,Elementary School,198343
25-29 years old,,Junior high school,2268886
25-29 years old,,High School,1477554
25-29 years old,,College (Associate's Degree),1489970
25-29 years old,,University undergraduate,1380121
25-29 years old,,Master's,149129
25-29 years old,,Doctorate,6837
30-34 years old,,Total,10009284
30-34 years old,,never attended school,19206
30-34 years old,,Preschool education,1461
30-34 years old,,Elementary School,431109
30-34 years old,,Junior high school,3900037
30-34 years old,,High School,2062200
30-34 years old,,College (Associate's Degree),1743249
30-34 years old,,University undergraduate,1621296
30-34 years old,,Master's,209739
30-34 years old,,Doctorate,20987
35-39 years old,,Total,8097572
35-39 years old,,never attended school,27654
35-39 years old,,Preschool education,1244
35-39 years old,,Elementary School,522120
35-39 years old,,Junior high school,3579500
35-39 years old,,High School,1496492
35-39 years old,,College (Associate's Degree),1116135
35-39 years old,,University undergraduate,1170790
35-39 years old,,Master's,161969
35-39 years old,,Doctorate,21668
40-44 years old,,Total,7565087
40-44 years old,,never attended school,45657
40-44 years old,,Preschool education,1618
40-44 years old,,Elementary School,874104
40-44 years old,,Junior high school,3634758
40-44 years old,,High School,1374567
40-44 years old,,College (Associate's Degree),815752
40-44 years old,,University undergraduate,712979
40-44 years old,,Master's,88754
40-44 years old,,Doctorate,16898
45-49 years old,,Total,8940917
45-49 years old,,never attended school,85736
45-49 years old,,Preschool education,3019
45-49 years old,,Elementary School,1629052
45-49 years old,,Junior high school,4560693
