age_group,sex,main_source_of_livelihood,value
Total,Total,Population aged 15 and above,114261590
Total,Male,Population aged 15 and above,57861957
Total,Female,Population aged 15 and above,56399633
Total,Male,Labor income,39351185
Total,Female,Labor income,26821861
Total,Male,Pension / Retirement Allowance,5004420
Total,Female,Pension / Retirement Allowance,6520655
Total,Male,Minimum living allowance,979954
Total,Female,Minimum living allowance,772359
Total,Male,Unemployment Insurance Benefits,24489
Total,Female,Unemployment Insurance Benefits,17459
Total,Male,Property income,467538
Total,Female,Property income,414030
Total,Male,Family support from other members,9182235
Total,Female,Family support from other members,18758159
Total,Male,Other,2852136
Total,Female,Other,3095110
Under 45 years old,Total,Population aged 15 and above,55545868
Under 45 years old,Male,Population aged 15 and above,28769662
Under 45 years old,Female,Population aged 15 and above,26776206
Under 45 years old,Male,Labor income,21753109
Under 45 years old,Female,Labor income,15922572
Under 45 years old,Male,Pension / Retirement Allowance,1446
Under 45 years old,Female,Pension / Retirement Allowance,1539
Under 45 years old,Male,Minimum living allowance,145913
Under 45 years old,Female,Minimum living allowance,107832
Under 45 years old,Male,Unemployment Insurance Benefits,10722
Under 45 years old,Female,Unemployment Insurance Benefits,10162
Under 45 years old,Male,Property income,163621
Under 45 years old,Female,Property income,154026
Under 45 years old,Male,Family support from other members,5362440
Under 45 years old,Female,Family support from other members,9140971
Under 45 years old,Male,Other,1332411
Under 45 years old,Female,Other,1439104
45-49 years old,Total,Population aged 15 and above,11286279
45-49 years old,Male,Population aged 15 and above,5774455
45-49 years old,Female,Population aged 15 and above,5511824
45-49 years old,Male,Labor income,5199419
45-49 years old,Female,Labor income,3865282
45-49 years old,Male,Pension / Retirement Allowance,3808
45-49 years old,Female,Pension / Retirement Allowance,69269
45-49 years old,Male,Minimum living allowance,68701
45-49 years old,Female,Minimum living allowance,45858
45-49 years old,Male,Unemployment Insurance Benefits,4501
45-49 years old,Female,Unemployment Insurance Benefits,5557
45-49 years old,Male,Property income,56353
45-49 years old,Female,Property income,53210
45-49 years old,Male,Family support from other members,173864
45-49 years old,Female,Family support from other members,1164808
45-49 years old,Male,Other,267809
45-49 years old,Female,Other,307840
45,Total,Population aged 15 and above,2006712
45,Male,Population aged 15 and above,1029558
45,Female,Population aged 15 and above,977154
45,Male,Labor income,935842
45,Female,Labor income,711338
45,Male,Pension / Retirement Allowance,375
45,Female,Pension / Retirement Allowance,4556
45,Male,Minimum living allowance,10976
45,Female,Minimum living allowance,7566
45,Male,Unemployment Insurance Benefits,727
45,Female,Unemployment Insurance Benefits,783
45,Male,Property income,9497
45,Female,Property income,9046
45,Male,Family support from other members,26305
45,Female,Family support from other members,191233
45,Male,Other,45836
45,Female,Other,52632
46,Total,Population aged 15 and above,2197494
46,Male,Population aged 15 and above,1123949
46,Female,Population aged 15 and above,1073545
46,Male,Labor income,1017936
46,Female,Labor income,772867
46,Male,Pension / Retirement Allowance,471
46,Female,Pension / Retirement Allowance,7290
46,Male,Minimum living allowance,12634
46,Female,Minimum living allowance,8579
46,Male,Unemployment Insurance Benefits,816
46,Female,Unemployment Insurance Benefits,841
46,Male,Property income,10631
46,Female,Property income,10017
46,Male,Family support from other members,30401
46,Female,Family support from other members,215292
46,Male,Other,51060
46,Female,Other,58659
47,Total,Population aged 15 and above,2298050
47,Male,Population aged 15 and above,1176498
47,Female,Population aged 15 and above,1121552
47,Male,Labor income,1060223
47,Female,Labor income,793837
47,Male,Pension / Retirement Allowance,709
47,Female,Pension / Retirement Allowance,10836
47,Male,Minimum living allowance,13943
47,Female,Minimum living allowance,9389
47,Male,Unemployment Insurance Benefits,886
47,Female,Unemployment Insurance Benefits,1085
47,Male,Property income,11459
47,Female,Property income,10673
47,Male,Family support from other members,34637
47,Female,Family support from other members,232819
47,Male,Other,54641
47,Female,Other,62913
48,Total,Population aged 15 and above,2354836
48,Male,Population aged 15 and above,1202544
48,Female,Population aged 15 and above,1152292
48,Male,Labor income,1078545
48,Female,Labor income,796269
48,Male,Pension / Retirement Allowance,942
48,Female,Pension / Retirement Allowance,15779
48,Male,Minimum living allowance,14981
48,Female,Minimum living allowance,9848
48,Male,Unemployment Insurance Benefits,966
48,Female,Unemployment Insurance Benefits,1325
48,Male,Property income,12101
48,Female,Property income,11465
48,Male,Family support from other members,38273
48,Female,Family support from other members,252062
48,Male,Other,56736
48,Female,Other,65544
