year,economy_type,area,investment_amount
1978.0,Urban,Urban,1.78
1979.0,Urban,Urban,1.55
1980.0,Urban,Urban,3.12
1981.0,Urban,Urban,3.27
1982.0,Urban,Urban,4.38
1983.0,Urban,Urban,3.76
1984.0,Urban,Urban,5.01
1985.0,Urban,Urban,8.64
1986.0,Urban,Urban,11.95
1987.0,Urban,Urban,17.84
1988.0,Urban,Urban,35.46
1989.0,Urban,Urban,19.68
1990.0,Urban,Urban,18.63
1991.0,Urban,Urban,25.06
1992.0,Urban,Urban,42.27
1993.0,Urban,Urban,49.9
1994.0,Urban,Urban,56.42
1995.0,Urban,Urban,51.62
1996.0,Urban,Urban,79.79
1997.0,Urban,Urban,60.15
1998.0,Urban,Urban,66.7
1999.0,Urban,Urban,82.72
2000.0,Urban,Urban,108.63
2001.0,Urban,Urban,134.92
2002.0,Urban,Urban,196.78
2003.0,Urban,Urban,321.79
2004.0,Urban,Urban,383.83
2005.0,Urban,Urban,620.23
2006.0,Urban,Urban,713.49
2007.0,Urban,Urban,857.34
2008.0,Urban,Urban,1333.2312
2009.0,Urban,Urban,1717.74
2010.0,Urban,Urban,1841.4004
2012.0,Urban,Urban,0.0
1978.0,Rural,Rural,3.98
1979.0,Rural,Rural,10.41
1980.0,Rural,Rural,11.47
1981.0,Rural,Rural,17.28
1982.0,Rural,Rural,17.46
1983.0,Rural,Rural,26.48
1984.0,Rural,Rural,44.43
1985.0,Rural,Rural,58.51
1986.0,Rural,Rural,52.32
1987.0,Rural,Rural,56.05
1988.0,Rural,Rural,64.83
1989.0,Rural,Rural,62.0
1990.0,Rural,Rural,67.47
1991.0,Rural,Rural,85.73
1992.0,Rural,Rural,54.19
1993.0,Rural,Rural,83.05
1994.0,Rural,Rural,92.3
1995.0,Rural,Rural,113.13
1996.0,Rural,Rural,166.14
1997.0,Rural,Rural,198.68
1998.0,Rural,Rural,227.0
1999.0,Rural,Rural,228.43
2000.0,Rural,Rural,254.11
2001.0,Rural,Rural,263.35
2002.0,Rural,Rural,285.64
2003.0,Rural,Rural,296.03
2004.0,Rural,Rural,116.36
2005.0,Rural,Rural,1491.55
2006.0,Rural,Rural,1186.2
2007.0,Rural,Rural,1141.34
2008.0,Rural,Rural,1304.0237
2009.0,Rural,Rural,1586.71
2010.0,Rural,Rural,1822.9909
2012.0,Rural,Rural,0.0
