title,year,album,country,peak_chart_position
"\Butterfly\""""",2000,The Gift of Game,US,1
"\Butterfly\""""",2000,The Gift of Game,US Alt.,1
"\Butterfly\""""",2000,The Gift of Game,US Main. Rock,21
"\Butterfly\""""",2000,The Gift of Game,AUS,4
"\Butterfly\""""",2000,The Gift of Game,AUT,1
"\Butterfly\""""",2000,The Gift of Game,FIN,2
"\Butterfly\""""",2000,The Gift of Game,GER,1
"\Butterfly\""""",2000,The Gift of Game,NLD,8
"\Butterfly\""""",2000,The Gift of Game,SWI,1
"\Butterfly\""""",2000,The Gift of Game,UK,3
"\Revolving Door\""""",2001,The Gift of Game,AUS,76
"\Revolving Door\""""",2001,The Gift of Game,AUT,29
"\Revolving Door\""""",2001,The Gift of Game,FIN,19
"\Revolving Door\""""",2001,The Gift of Game,GER,26
"\Revolving Door\""""",2001,The Gift of Game,NLD,71
"\Revolving Door\""""",2001,The Gift of Game,SWI,43
"\Revolving Door\""""",2001,The Gift of Game,UK,23
"\Drowning\""""",2002,Darkhorse,US Alt.,24
"\Drowning\""""",2002,Darkhorse,US Main. Rock,24
"\Drowning\""""",2002,Darkhorse,AUT,45
"\Drowning\""""",2002,Darkhorse,GER,45
"\Drowning\""""",2002,Darkhorse,UK,50
