year,entrant,chassis,engine,tyres,driver,race_location,race_result,points,wcc_position
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,1,AUS,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,1,Ret,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,1,7,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,1,AUS,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,1,4,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,1,Ret,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,1,AUS,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,1,5,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,1,7,20,4th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,2,BRA,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,2,6,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,2,4,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,2,BRA,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,2,Ret,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,2,7,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,2,BRA,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,2,2,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,2,Ret,20,4th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,3,ARG,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,3,7,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,3,4,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,3,SMR,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,3,5,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,3,Ret,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,3,SMR,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,3,11,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,3,9,20,4th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,4,SMR,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,4,Ret,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,4,Ret,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,4,MON,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,4,5,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,4,6,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,4,GBR,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,4,7,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,4,9,20,4th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,5,ESP,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,5,Ret,33,5th
