region,year,population
World,1965,3334874000
Africa,1965,313744000
Asia,1965,1899424000
Europe,1965,634026000
Latin America,1965,250452000
Northern America,1965,219570000
Oceania,1965,17657000
World,1960,3021475000
Africa,1960,277398000
Asia,1960,1701336000
Europe,1960,604401000
Latin America,1960,218300000
Northern America,1960,204152000
Oceania,1960,15888000
World,1960,313399000
Africa,1960,36346000
Asia,1960,198088000
Europe,1960,29625000
Latin America,1960,1270000
Northern America,1960,15418000
Oceania,1960,1769000
World,1970,3692492000
Africa,1970,357283000
Asia,1970,2143118000
Europe,1970,655855000
Latin America,1970,284856000
Northern America,1970,231937000
Oceania,1970,19443000
World,1970,357618000
Africa,1970,43539000
Asia,1970,243694000
Europe,1970,21829000
Latin America,1970,34404000
Northern America,1970,12367000
Oceania,1970,1786000
