position,driver,car_number,car_model,secondary_car_model,entrant,race_round,points
1,Greg Crick,3,Dodge Viper,GTS ACR,Crickcars.com,1,98.0
1,Greg Crick,3,Dodge Viper,GTS ACR,Crickcars.com,2,108.0
1,Greg Crick,3,Dodge Viper,GTS ACR,Crickcars.com,3,91.0
1,Greg Crick,3,Dodge Viper,GTS ACR,Crickcars.com,4,72.0
1,Greg Crick,3,Dodge Viper,GTS ACR,Crickcars.com,5,98.0
1,Greg Crick,3,Dodge Viper,GTS ACR,Crickcars.com,6,96.0
1,Greg Crick,3,Dodge Viper,GTS ACR,Crickcars.com,7,60.0
1,Greg Crick,3,Dodge Viper,GTS ACR,Crickcars.com,8,90.0
2,Bryce Washington,1,Porsche 996 GT3 Cup,Car,ADRAD Radiator Experts,1,85.0
2,Bryce Washington,1,Porsche 996 GT3 Cup,Car,ADRAD Radiator Experts,2,79.5
2,Bryce Washington,1,Porsche 996 GT3 Cup,Car,ADRAD Radiator Experts,3,104.0
2,Bryce Washington,1,Porsche 996 GT3 Cup,Car,ADRAD Radiator Experts,4,42.0
2,Bryce Washington,1,Porsche 996 GT3 Cup,Car,ADRAD Radiator Experts,5,102.0
2,Bryce Washington,1,Porsche 996 GT3 Cup,Car,ADRAD Radiator Experts,6,84.0
2,Bryce Washington,1,Porsche 996 GT3 Cup,Car,ADRAD Radiator Experts,7,75.0
2,Bryce Washington,1,Porsche 996 GT3 Cup,Car,ADRAD Radiator Experts,8,79.5
3,James Koundouris,69,Porsche 996 GT3 Cup,Car,"Dare Shots
Supabarn Supermarkets",1,76.0
3,James Koundouris,69,Porsche 996 GT3 Cup,Car,"Dare Shots
Supabarn Supermarkets",2,28.5
3,James Koundouris,69,Porsche 996 GT3 Cup,Car,"Dare Shots
Supabarn Supermarkets",3,78.0
3,James Koundouris,69,Porsche 996 GT3 Cup,Car,"Dare Shots
Supabarn Supermarkets",4,84.0
3,James Koundouris,69,Porsche 996 GT3 Cup,Car,"Dare Shots
Supabarn Supermarkets",5,69.0
3,James Koundouris,69,Porsche 996 GT3 Cup,Car,"Dare Shots
Supabarn Supermarkets",6,30.0
3,James Koundouris,69,Porsche 996 GT3 Cup,Car,"Dare Shots
Supabarn Supermarkets",7,96.0
3,James Koundouris,69,Porsche 996 GT3 Cup,Car,"Dare Shots
Supabarn Supermarkets",8,63.0
4,Theo Koundouris,19,Porsche 996 GT3 Cup,Car,"Dare Shots
Supabarn Supermarkets",1,74.0
4,Theo Koundouris,19,Porsche 996 GT3 Cup,Car,"Dare Shots
Supabarn Supermarkets",2,57.0
4,Theo Koundouris,19,Porsche 996 GT3 Cup,Car,"Dare Shots
Supabarn Supermarkets",3,55.0
4,Theo Koundouris,19,Porsche 996 GT3 Cup,Car,"Dare Shots
Supabarn Supermarkets",5,79.0
4,Theo Koundouris,19,Porsche 996 GT3 Cup,Car,"Dare Shots
Supabarn Supermarkets",6,75.0
4,Theo Koundouris,19,Porsche 996 GT3 Cup,Car,"Dare Shots
Supabarn Supermarkets",7,84.0
4,Theo Koundouris,19,Porsche 996 GT3 Cup,Car,"Dare Shots
Supabarn Supermarkets",8,63.0
5,Sven Burchartz,90,Porsche 996 GT3,,Cargraphic AG,1,32.0
5,Sven Burchartz,90,Porsche 996 GT3,,Cargraphic AG,2,18.0
5,Sven Burchartz,90,Porsche 996 GT3,,Cargraphic AG,4,63.0
5,Sven Burchartz,90,Porsche 996 GT3,,Cargraphic AG,5,57.0
5,Sven Burchartz,90,Porsche 996 GT3,,Cargraphic AG,6,69.0
5,Sven Burchartz,90,Porsche 996 GT3,,Cargraphic AG,7,114.0
5,Sven Burchartz,90,Porsche 996 GT3,,Cargraphic AG,8,85.5
6,David Wall,38,Porsche 996 GT3 RSR,,RDS,1,32.0
6,David Wall,38,Porsche 996 GT3 RSR,,RDS,2,37.5
6,David Wall,38,Porsche 996 GT3 RSR,,RDS,3,63.0
6,David Wall,38,Porsche 996 GT3 RSR,,RDS,5,80.0
6,David Wall,38,Porsche 996 GT3 RSR,,RDS,6,33.0
6,David Wall,38,Porsche 996 GT3 RSR,,RDS,8,117.0
7,John Teulan,88,Ferrari 360 Challenge,Ferrari F430 Challenge,Industry Central - Stahlwille,1,47.0
7,John Teulan,88,Ferrari 360 Challenge,Ferrari F430 Challenge,Industry Central - Stahlwille,2,48.0
7,John Teulan,88,Ferrari 360 Challenge,Ferrari F430 Challenge,Industry Central - Stahlwille,3,61.0
7,John Teulan,88,Ferrari 360 Challenge,Ferrari F430 Challenge,Industry Central - Stahlwille,4,77.0
7,John Teulan,88,Ferrari 360 Challenge,Ferrari F430 Challenge,Industry Central - Stahlwille,6,48.0
7,John Teulan,88,Ferrari 360 Challenge,Ferrari F430 Challenge,Industry Central - Stahlwille,7,48.0
7,John Teulan,88,Ferrari 360 Challenge,Ferrari F430 Challenge,Industry Central - Stahlwille,8,19.5
8,Max Twigg,18,Porsche 996 GT3,,"Twigg Waste Management
Luxton Plan",1,45.0
8,Max Twigg,18,Porsche 996 GT3,,"Twigg Waste Management
Luxton Plan",2,33.0
8,Max Twigg,18,Porsche 996 GT3,,"Twigg Waste Management
Luxton Plan",3,51.0
8,Max Twigg,18,Porsche 996 GT3,,"Twigg Waste Management
Luxton Plan",4,14.0
8,Max Twigg,18,Porsche 996 GT3,,"Twigg Waste Management
Luxton Plan",5,37.0
8,Max Twigg,18,Porsche 996 GT3,,"Twigg Waste Management
Luxton Plan",6,57.0
8,Max Twigg,18,Porsche 996 GT3,,"Twigg Waste Management
Luxton Plan",8,66.0
9,D'Arcy Russell,7,Dodge Viper,GTS ACR,Dupont,1,34.0
9,D'Arcy Russell,7,Dodge Viper,GTS ACR,Dupont,2,31.5
9,D'Arcy Russell,7,Dodge Viper,GTS ACR,Dupont,4,23.0
9,D'Arcy Russell,7,Dodge Viper,GTS ACR,Dupont,6,117.0
9,D'Arcy Russell,7,Dodge Viper,GTS ACR,Dupont,8,60.0
10,David Reynolds,6,Porsche 996 GT3 Cup,Car Porsche 996 GT3,"Bob Jane T-marts
Cargraphics",2,90.0
10,David Reynolds,6,Porsche 996 GT3 Cup,Car Porsche 996 GT3,"Bob Jane T-marts
Cargraphics",6,69.0
10,David Reynolds,6,Porsche 996 GT3 Cup,Car Porsche 996 GT3,"Bob Jane T-marts
Cargraphics",8,85.5
11,Allan Simonsen,4,Ferrari 360 GT Porsche,996 GT3 Cup Car,"Consolidated Chemical Company
Dare Shots
Supabarn Supermarkets",1,104.0
11,Allan Simonsen,4,Ferrari 360 GT Porsche,996 GT3 Cup Car,"Consolidated Chemical Company
Dare Shots
Supabarn Supermarkets",4,102.0
11,Allan Simonsen,4,Ferrari 360 GT Porsche,996 GT3 Cup Car,"Consolidated Chemical Company
Dare Shots
Supabarn Supermarkets",6,30.0
12,Paul Bolinowsky,45,Porsche 996 GT3,,Bolin Racing,1,24.0
12,Paul Bolinowsky,45,Porsche 996 GT3,,Bolin Racing,2,30.0
12,Paul Bolinowsky,45,Porsche 996 GT3,,Bolin Racing,6,42.0
12,Paul Bolinowsky,45,Porsche 996 GT3,,Bolin Racing,7,54.0
12,Paul Bolinowsky,45,Porsche 996 GT3,,Bolin Racing,8,45.0
13,Dave Stevens,43,Porsche 996 GT3 Cup,Car Ferrari F430 Challenge,"Bennanit
Secure Telecom",2,37.5
13,Dave Stevens,43,Porsche 996 GT3 Cup,Car Ferrari F430 Challenge,"Bennanit
Secure Telecom",4,45.0
13,Dave Stevens,43,Porsche 996 GT3 Cup,Car Ferrari F430 Challenge,"Bennanit
Secure Telecom",5,72.0
13,Dave Stevens,43,Porsche 996 GT3 Cup,Car Ferrari F430 Challenge,"Bennanit
Secure Telecom",6,36.0
14,Paul Tressider,23,Porsche 996 GT3 Cup,Car,Wynn Tressider Management,1,29.0
14,Paul Tressider,23,Porsche 996 GT3 Cup,Car,Wynn Tressider Management,2,22.5
14,Paul Tressider,23,Porsche 996 GT3 Cup,Car,Wynn Tressider Management,3,49.0
14,Paul Tressider,23,Porsche 996 GT3 Cup,Car,Wynn Tressider Management,6,45.0
14,Paul Tressider,23,Porsche 996 GT3 Cup,Car,Wynn Tressider Management,8,43.5
15,Mark Eddy,12,Porsche 996 GT3R,,Quarterback Shirts,1,41.0
15,Mark Eddy,12,Porsche 996 GT3R,,Quarterback Shirts,2,15.0
15,Mark Eddy,12,Porsche 996 GT3R,,Quarterback Shirts,6,63.0
15,Mark Eddy,12,Porsche 996 GT3R,,Quarterback Shirts,8,52.5
16,Damien Flack,55,Porsche 996 GT3 Cup,Car,Roock,3,69.0
16,Damien Flack,55,Porsche 996 GT3 Cup,Car,Roock,4,12.0
16,Damien Flack,55,Porsche 996 GT3 Cup,Car,Roock,6,54.0
16,Damien Flack,55,Porsche 996 GT3 Cup,Car,Roock,8,25.5
17,Matthew Turnbull,13,Porsche 996 GT3 Cup,Car,PROMAT,1,43.0
17,Matthew Turnbull,13,Porsche 996 GT3 Cup,Car,PROMAT,2,49.5
17,Matthew Turnbull,13,Porsche 996 GT3 Cup,Car,PROMAT,3,38.0
17,Matthew Turnbull,13,Porsche 996 GT3 Cup,Car,PROMAT,5,27.0
18,Bill Pye,44,Porsche 996 GT3 Cup,Car,"AutoHaus Hamilton
Property Solutions Group",2,58.5
18,Bill Pye,44,Porsche 996 GT3 Cup,Car,"AutoHaus Hamilton
Property Solutions Group",6,39.0
18,Bill Pye,44,Porsche 996 GT3 Cup,Car,"AutoHaus Hamilton
Property Solutions Group",8,43.5
19,Anthony Skinner,46,Porsche 996 GT3,,Travelplan Ski Holiday,1,52.0
19,Anthony Skinner,46,Porsche 996 GT3,,Travelplan Ski Holiday,2,18.0
19,Anthony Skinner,46,Porsche 996 GT3,,Travelplan Ski Holiday,7,69.0
20,Andrew Luxton,17,Porsche 996 GT3 Cup,Car,"Luxton Plant
Twigg Waste Management",6,57.0
20,Andrew Luxton,17,Porsche 996 GT3 Cup,Car,"Luxton Plant
Twigg Waste Management",8,66.0
21,John Kaias,77,Porsche 996 GT3 Cup,Car,"ABCOR
Preston General Engine",1,53.0
21,John Kaias,77,Porsche 996 GT3 Cup,Car,"ABCOR
Preston General Engine",2,25.5
21,John Kaias,77,Porsche 996 GT3 Cup,Car,"ABCOR
Preston General Engine",4,42.0
22,Ian Palmer,20,Honda NSX,,"Instant Fountains
Paluky Ho",1,25.0
22,Ian Palmer,20,Honda NSX,,"Instant Fountains
Paluky Ho",3,33.0
22,Ian Palmer,20,Honda NSX,,"Instant Fountains
Paluky Ho",4,53.0
23,Ross Lilley,51,Porsche 996 GT3 Cup,Car,Loala Furniture International,1,29.0
23,Ross Lilley,51,Porsche 996 GT3 Cup,Car,Loala Furniture International,2,36.0
23,Ross Lilley,51,Porsche 996 GT3 Cup,Car,Loala Furniture International,5,46.0
24,Kevin Miller,2,Ferrari F430,,Property Solutions Group,7,63.0
24,Kevin Miller,2,Ferrari F430,,Property Solutions Group,8,36.0
25,Shaun Juniper,30,Porsche 996 GT3 Cup,Car,Juniper Racing,5,43.0
25,Shaun Juniper,30,Porsche 996 GT3 Cup,Car,Juniper Racing,6,51.0
26,Peter Hackett,5,Lamborghini Diablo GTR,,Team Lamborghini Australia,2,91.5
27,Marc Cini,9,Porsche 996 GT3 Cup,Car,Hallmarc,2,45.0
27,Marc Cini,9,Porsche 996 GT3 Cup,Car,Hallmarc,8,42.0
28,Graeme Cook,91,Porsche 996 GT3 Cup,Car,Container Solutions,1,27.0
28,Graeme Cook,91,Porsche 996 GT3 Cup,Car,Container Solutions,5,58.0
29,Ash Samadi,55,Porsche 996 GT3 Cup,Car,Rook,1,54.0
29,Ash Samadi,55,Porsche 996 GT3 Cup,Car,Rook,8,25.5
30,Greg Ward,14,Porsche 996 GT3 Cup,Car,Greg Ward,4,48.0
30,Greg Ward,14,Porsche 996 GT3 Cup,Car,Greg Ward,8,30.0
31,Peter Lucas,99,Lotus Elise,Motorsport 200,Urban Developments,1,10.0
31,Peter Lucas,99,Lotus Elise,Motorsport 200,Urban Developments,5,42.0
31,Peter Lucas,99,Lotus Elise,Motorsport 200,Urban Developments,8,24.0
32,Stuart Kostera,70,Porsche 996 GT3 Cup,Car,PHR Scuderia,4,73.0
33,Paul Ryan,22,Lotus Exige,,"Steel Force
Choice Petroleum",7,45.0
33,Paul Ryan,22,Lotus Exige,,"Steel Force
Choice Petroleum",8,27.0
34,Justin Levis,78,Lotus Elise,Motorsport 200 Porsche 996 GT3 Cup Car,"CUE
AutoHaus Hamilton",2,24.0
34,Justin Levis,78,Lotus Elise,Motorsport 200 Porsche 996 GT3 Cup Car,"CUE
AutoHaus Hamilton",6,39.0
35,Dean Lindstrom,7,Dodge Viper,GTS ACR,Dupont,8,60.0
36,Maher Algadri,70,Porsche 996 GT3 Cup,Car,PHR Scuderia,3,51.0
37,Andre Morriss,6,Lotus Exige,,Witches Chase Cheese Co,7,42.0
37,Andre Morriss,6,Lotus Exige,,Witches Chase Cheese Co,8,9.0
38,Paul Pizzati,45,Porsche 996 GT3,,Bolin Racing,8,45.0
39,Neil Bryson,25,Ferrari 360 Challenge,,Betterdeal.com.au,4,18.0
39,Neil Bryson,25,Ferrari 360 Challenge,,Betterdeal.com.au,5,25.0
40,Christian D'Agostin,45,Porsche 996 GT3,,Bolin Racing,6,42.0
41,Dean Fiore,9,Porsche 996 GT3 Cup,Car,Hallmarc,8,42.0
42,Blake Lynn,32,Porsche 996 GT3,,Lynn Building Supplies,8,36.0
43,Malcolm Lynn,32,Porsche 996 GT3,,Lynn Building Supplies,8,36.0
44,Claude Giorgi,29,Porsche 996 GT3 Cup,Car,Buildwise,5,32.0
45,David Giugni,14,Porsche 996 GT3 Cup,Car,Ech Ridge Wines,8,30.0
46,Garth Rainsbury,66,Ferrari 360 Challenge,,Speed Energy Drink,1,24.0
47,Scott Bargwanna,99,Lotus Elise,Motorsport 200,Urban Developments,8,24.0
48,Tim Poulton,56,Lotus Exige,,Urban Arrangement,8,13.5
49,Angela Coradine,86,Lotus Elise,,Urban Arrangement,8,12.0
50,Glenn Townsend,86,Lotus Elise,,Urban Arrangement,8,12.0
51,Andrew Fisher,6,Lotus Exige,,Witches Chase Cheese Co,8,9.0
52,Geoff Munday,10,Ford Mustang,,Jim Beam Racing,1,8.0
