season,team,games_played,statistic_type,statistic_value
2014,tampa bay buccaneers,8,Unnamed: 3,0.0
2015,tampa bay buccaneers,16,Unnamed: 3,0.0
2016,tampa bay buccaneers,7,Unnamed: 3,2.0
2017,tampa bay buccaneers,16,Unnamed: 3,0.0
2014,tampa bay buccaneers,8,rushing,66.0
2015,tampa bay buccaneers,16,rushing,107.0
2016,tampa bay buccaneers,7,rushing,51.0
2017,tampa bay buccaneers,16,rushing,21.0
2014,tampa bay buccaneers,8,Unnamed: 5,185.0
2015,tampa bay buccaneers,16,Unnamed: 5,529.0
2016,tampa bay buccaneers,7,Unnamed: 5,149.0
2017,tampa bay buccaneers,16,Unnamed: 5,95.0
2014,tampa bay buccaneers,8,Unnamed: 6,2.8
2015,tampa bay buccaneers,16,Unnamed: 6,4.9
2016,tampa bay buccaneers,7,Unnamed: 6,2.9
2017,tampa bay buccaneers,16,Unnamed: 6,4.5
2014,tampa bay buccaneers,8,Unnamed: 7,20.0
2015,tampa bay buccaneers,16,Unnamed: 7,59.0
2016,tampa bay buccaneers,7,Unnamed: 7,23.0
2017,tampa bay buccaneers,16,Unnamed: 7,21.0
2014,tampa bay buccaneers,8,Unnamed: 8,1.0
2015,tampa bay buccaneers,16,Unnamed: 8,0.0
2016,tampa bay buccaneers,7,Unnamed: 8,1.0
2017,tampa bay buccaneers,16,Unnamed: 8,0.0
2014,tampa bay buccaneers,8,receiving,19.0
2015,tampa bay buccaneers,16,receiving,51.0
2016,tampa bay buccaneers,7,receiving,24.0
2017,tampa bay buccaneers,16,receiving,35.0
2014,tampa bay buccaneers,8,Unnamed: 10,190.0
2015,tampa bay buccaneers,16,Unnamed: 10,561.0
2016,tampa bay buccaneers,7,Unnamed: 10,190.0
2017,tampa bay buccaneers,16,Unnamed: 10,249.0
2014,tampa bay buccaneers,8,Unnamed: 11,10.0
2015,tampa bay buccaneers,16,Unnamed: 11,11.0
2016,tampa bay buccaneers,7,Unnamed: 11,7.9
2017,tampa bay buccaneers,16,Unnamed: 11,7.1
2014,tampa bay buccaneers,8,Unnamed: 12,24.0
2015,tampa bay buccaneers,16,Unnamed: 12,56.0
2016,tampa bay buccaneers,7,Unnamed: 12,33.0
2017,tampa bay buccaneers,16,Unnamed: 12,25.0
2014,tampa bay buccaneers,8,Unnamed: 13,0.0
2015,tampa bay buccaneers,16,Unnamed: 13,4.0
2016,tampa bay buccaneers,7,Unnamed: 13,1.0
2017,tampa bay buccaneers,16,Unnamed: 13,1.0
2014,tampa bay buccaneers,8,fumbles,2.0
2015,tampa bay buccaneers,16,fumbles,2.0
2016,tampa bay buccaneers,7,fumbles,1.0
2017,tampa bay buccaneers,16,fumbles,1.0
2014,tampa bay buccaneers,8,Unnamed: 15,1.0
2015,tampa bay buccaneers,16,Unnamed: 15,2.0
2016,tampa bay buccaneers,7,Unnamed: 15,1.0
2017,tampa bay buccaneers,16,Unnamed: 15,1.0
