country,gender,applicant_role,demographic_segment,percentage
ethiopia,women,principal applicants,N/A,3.0
ethiopia,women,secondary applicants,N/A,3.6
ethiopia,women,total,N/A,6.6
ethiopia,women,total,segment_1,34.9
ethiopia,women,total,segment_2,58.0
ethiopia,women,total,segment_3,0.5
somalia,women,principal applicants,N/A,1.0
somalia,women,secondary applicants,N/A,1.1
somalia,women,total,N/A,2.1
somalia,women,total,segment_1,21.3
somalia,women,total,segment_2,75.1
somalia,women,total,segment_3,1.5
eritrea,women,principal applicants,N/A,1.1
eritrea,women,secondary applicants,N/A,2.0
eritrea,women,total,N/A,3.1
eritrea,women,total,segment_1,23.9
eritrea,women,total,segment_2,72.9
eritrea,women,total,segment_3,0.1
sudan,women,principal applicants,N/A,4.2
sudan,women,secondary applicants,N/A,6.3
sudan,women,total,N/A,10.6
sudan,women,total,segment_1,23.9
sudan,women,total,segment_2,65.0
sudan,women,total,segment_3,0.6
south sudan,women,principal applicants,N/A,0.0
south sudan,women,secondary applicants,N/A,0.4
south sudan,women,total,N/A,0.4
south sudan,women,total,segment_1,14.5
south sudan,women,total,segment_2,85.1
south sudan,women,total,segment_3,0.0
burundi,women,principal applicants,N/A,3.9
burundi,women,secondary applicants,N/A,9.5
burundi,women,total,N/A,13.4
burundi,women,total,segment_1,16.8
burundi,women,total,segment_2,64.6
burundi,women,total,segment_3,5.2
kenya,women,principal applicants,N/A,33.0
kenya,women,secondary applicants,N/A,22.6
kenya,women,total,N/A,55.6
kenya,women,total,segment_1,23.8
kenya,women,total,segment_2,18.1
kenya,women,total,segment_3,2.5
zimbabwe,women,principal applicants,N/A,8.5
zimbabwe,women,secondary applicants,N/A,9.0
zimbabwe,women,total,N/A,17.5
zimbabwe,women,total,segment_1,12.8
zimbabwe,women,total,segment_2,59.0
zimbabwe,women,total,segment_3,10.7
rwanda,women,principal applicants,N/A,6.4
rwanda,women,secondary applicants,N/A,7.4
rwanda,women,total,N/A,13.8
rwanda,women,total,segment_1,16.1
rwanda,women,total,segment_2,67.4
rwanda,women,total,segment_3,2.7
democratic republic of the congo,women,principal applicants,N/A,6.1
democratic republic of the congo,women,secondary applicants,N/A,4.4
democratic republic of the congo,women,total,N/A,10.5
democratic republic of the congo,women,total,segment_1,16.1
democratic republic of the congo,women,total,segment_2,67.9
democratic republic of the congo,women,total,segment_3,5.5
cameroon,women,principal applicants,N/A,37.0
cameroon,women,secondary applicants,N/A,30.5
cameroon,women,total,N/A,67.4
cameroon,women,total,segment_1,22.8
