team,season,season_index,metric,value
,,1,apps,0
,,1,goals,0
,,2,apps,0
,,2,goals,0
,,3,apps,0
,,3,goals,0
,,4,apps,0
,,4,goals,0
alessandria,1958-59,1,apps,1
alessandria,1958-59,1,goals,0
alessandria,1958-59,2,apps,0
alessandria,1958-59,2,goals,0
alessandria,1958-59,3,apps,0
alessandria,1958-59,3,goals,0
alessandria,1958-59,4,apps,0
alessandria,1958-59,4,goals,0
alessandria,1959-60,1,apps,25
alessandria,1959-60,1,goals,6
alessandria,1959-60,2,apps,0
alessandria,1959-60,2,goals,0
alessandria,1959-60,3,apps,0
alessandria,1959-60,3,goals,0
alessandria,1959-60,4,apps,0
alessandria,1959-60,4,goals,0
milan,1960-61,1,apps,30
milan,1960-61,1,goals,6
milan,1960-61,2,apps,1
milan,1960-61,2,goals,0
milan,1960-61,3,apps,0
milan,1960-61,3,goals,0
milan,1960-61,4,apps,2
milan,1960-61,4,goals,0
milan,1961-62,1,apps,27
milan,1961-62,1,goals,10
milan,1961-62,2,apps,1
milan,1961-62,2,goals,0
milan,1961-62,3,apps,2
milan,1961-62,3,goals,0
milan,1961-62,4,apps,0
milan,1961-62,4,goals,0
milan,1962-63,1,apps,27
milan,1962-63,1,goals,9
milan,1962-63,2,apps,0
milan,1962-63,2,goals,0
milan,1962-63,3,apps,7
milan,1962-63,3,goals,2
milan,1962-63,4,apps,0
milan,1962-63,4,goals,0
milan,1963-64,1,apps,27
milan,1963-64,1,goals,7
milan,1963-64,2,apps,1
milan,1963-64,2,goals,0
milan,1963-64,3,apps,2
milan,1963-64,3,goals,1
milan,1963-64,4,apps,2
milan,1963-64,4,goals,0
milan,1964-65,1,apps,29
milan,1964-65,1,goals,2
milan,1964-65,2,apps,0
milan,1964-65,2,goals,0
milan,1964-65,3,apps,0
milan,1964-65,3,goals,0
milan,1964-65,4,apps,0
milan,1964-65,4,goals,0
milan,1965-66,1,apps,31
milan,1965-66,1,goals,7
milan,1965-66,2,apps,1
milan,1965-66,2,goals,0
milan,1965-66,3,apps,4
milan,1965-66,3,goals,1
milan,1965-66,4,apps,0
milan,1965-66,4,goals,0
milan,1966-67,1,apps,34
milan,1966-67,1,goals,12
milan,1966-67,2,apps,6
milan,1966-67,2,goals,7
milan,1966-67,3,apps,2
milan,1966-67,3,goals,0
milan,1966-67,4,apps,1
milan,1966-67,4,goals,0
milan,1967-68,1,apps,29
milan,1967-68,1,goals,11
milan,1967-68,2,apps,5
milan,1967-68,2,goals,3
milan,1967-68,3,apps,10
milan,1967-68,3,goals,1
milan,1967-68,4,apps,0
milan,1967-68,4,goals,0
milan,1968-69,1,apps,28
milan,1968-69,1,goals,3
milan,1968-69,2,apps,4
milan,1968-69,2,goals,1
milan,1968-69,3,apps,7
milan,1968-69,3,goals,2
milan,1968-69,4,apps,0
milan,1968-69,4,goals,0
milan,1969-70,1,apps,25
milan,1969-70,1,goals,8
milan,1969-70,2,apps,3
milan,1969-70,2,goals,1
milan,1969-70,3,apps,3
milan,1969-70,3,goals,2
milan,1969-70,4,apps,2
milan,1969-70,4,goals,1
milan,1970-71,1,apps,26
milan,1970-71,1,goals,6
milan,1970-71,2,apps,10
milan,1970-71,2,goals,7
milan,1970-71,3,apps,0
milan,1970-71,3,goals,0
milan,1970-71,4,apps,0
milan,1970-71,4,goals,0
milan,1971-72,1,apps,23
milan,1971-72,1,goals,3
milan,1971-72,2,apps,6
milan,1971-72,2,goals,2
milan,1971-72,3,apps,8
milan,1971-72,3,goals,4
milan,1971-72,4,apps,0
milan,1971-72,4,goals,0
milan,1972-73,1,apps,28
milan,1972-73,1,goals,17
milan,1972-73,2,apps,6
milan,1972-73,2,goals,3
milan,1972-73,3,apps,9
milan,1972-73,3,goals,0
milan,1972-73,4,apps,0
milan,1972-73,4,goals,0
milan,1973-74,1,apps,26
milan,1973-74,1,goals,6
milan,1973-74,2,apps,5
milan,1973-74,2,goals,1
milan,1973-74,3,apps,8
milan,1973-74,3,goals,0
milan,1973-74,4,apps,0
milan,1973-74,4,goals,0
milan,1974-75,1,apps,27
milan,1974-75,1,goals,3
milan,1974-75,2,apps,4
milan,1974-75,2,goals,0
milan,1974-75,3,apps,0
milan,1974-75,3,goals,0
milan,1974-75,4,apps,0
milan,1974-75,4,goals,0
milan,1975-76,1,apps,14
milan,1975-76,1,goals,1
milan,1975-76,2,apps,5
milan,1975-76,2,goals,1
milan,1975-76,3,apps,3
milan,1975-76,3,goals,0
milan,1975-76,4,apps,0
milan,1975-76,4,goals,0
milan,1976-77,1,apps,27
milan,1976-77,1,goals,4
milan,1976-77,2,apps,7
milan,1976-77,2,goals,0
milan,1976-77,3,apps,5
milan,1976-77,3,goals,0
milan,1976-77,4,apps,0
milan,1976-77,4,goals,0
milan,1977-78,1,apps,30
milan,1977-78,1,goals,6
milan,1977-78,2,apps,5
milan,1977-78,2,goals,1
milan,1977-78,3,apps,1
milan,1977-78,3,goals,0
milan,1977-78,4,apps,0
milan,1977-78,4,goals,0
milan,1978-79,1,apps,13
milan,1978-79,1,goals,1
milan,1978-79,2,apps,4
milan,1978-79,2,goals,1
milan,1978-79,3,apps,5
milan,1978-79,3,goals,0
milan,1978-79,4,apps,0
milan,1978-79,4,goals,0
