industry,ownership_origin,metric_type,percentage
construction of buildings,immigrant-owned,block_1,2.2
construction of buildings,canadian-born-owned,block_1,4.3
construction of buildings,immigrant-owned,block_2,3.2
construction of buildings,canadian-born-owned,block_2,2.8
specialty trade contractors,immigrant-owned,block_1,4.8
specialty trade contractors,canadian-born-owned,block_1,8.6
specialty trade contractors,immigrant-owned,block_2,6.3
specialty trade contractors,canadian-born-owned,block_2,6.3
manufacturing,immigrant-owned,block_1,3.9
manufacturing,canadian-born-owned,block_1,5.4
manufacturing,immigrant-owned,block_2,1.6
manufacturing,canadian-born-owned,block_2,1.3
wholesale trade,immigrant-owned,block_1,5.3
wholesale trade,canadian-born-owned,block_1,5.4
wholesale trade,immigrant-owned,block_2,1.1
wholesale trade,canadian-born-owned,block_2,1.0
retail trade,immigrant-owned,block_1,11.2
retail trade,canadian-born-owned,block_1,9.6
retail trade,immigrant-owned,block_2,6.0
retail trade,canadian-born-owned,block_2,4.5
truck transportation,immigrant-owned,block_1,6.8
truck transportation,canadian-born-owned,block_1,3.1
truck transportation,immigrant-owned,block_2,3.8
truck transportation,canadian-born-owned,block_2,1.9
transit and ground passenger transportation,immigrant-owned,block_1,0.2
transit and ground passenger transportation,canadian-born-owned,block_1,0.3
transit and ground passenger transportation,immigrant-owned,block_2,5.2
transit and ground passenger transportation,canadian-born-owned,block_2,1.0
lessors of real estate,immigrant-owned,block_1,1.2
lessors of real estate,canadian-born-owned,block_1,1.8
lessors of real estate,immigrant-owned,block_2,17.0
lessors of real estate,canadian-born-owned,block_2,16.3
offices of real estate agents and brokers,immigrant-owned,block_1,0.5
offices of real estate agents and brokers,canadian-born-owned,block_1,0.7
offices of real estate agents and brokers,immigrant-owned,block_2,2.0
offices of real estate agents and brokers,canadian-born-owned,block_2,2.0
"accounting, tax preparation, bookkeeping and payroll services",immigrant-owned,block_1,0.9
"accounting, tax preparation, bookkeeping and payroll services",canadian-born-owned,block_1,1.5
"accounting, tax preparation, bookkeeping and payroll services",immigrant-owned,block_2,2.1
"accounting, tax preparation, bookkeeping and payroll services",canadian-born-owned,block_2,3.4
"architectural, engineering and related services",immigrant-owned,block_1,2.1
"architectural, engineering and related services",canadian-born-owned,block_1,2.2
"architectural, engineering and related services",immigrant-owned,block_2,0.8
"architectural, engineering and related services",canadian-born-owned,block_2,0.7
computer systems design and related services,immigrant-owned,block_1,6.2
computer systems design and related services,canadian-born-owned,block_1,2.8
computer systems design and related services,immigrant-owned,block_2,1.1
computer systems design and related services,canadian-born-owned,block_2,0.7
"management, scientific and technical consulting services",immigrant-owned,block_1,2.7
"management, scientific and technical consulting services",canadian-born-owned,block_1,3.6
"management, scientific and technical consulting services",immigrant-owned,block_2,4.4
"management, scientific and technical consulting services",canadian-born-owned,block_2,4.0
services to buildings and dwellings,immigrant-owned,block_1,1.6
services to buildings and dwellings,canadian-born-owned,block_1,1.8
services to buildings and dwellings,immigrant-owned,block_2,12.5
services to buildings and dwellings,canadian-born-owned,block_2,9.0
offices of physicians,immigrant-owned,block_1,3.9
offices of physicians,canadian-born-owned,block_1,2.8
offices of physicians,immigrant-owned,block_2,1.3
offices of physicians,canadian-born-owned,block_2,2.1
offices of dentists,immigrant-owned,block_1,1.4
offices of dentists,canadian-born-owned,block_1,1.2
offices of dentists,immigrant-owned,block_2,0.5
offices of dentists,canadian-born-owned,block_2,0.6
child day-care services,immigrant-owned,block_1,0.4
child day-care services,canadian-born-owned,block_1,0.3
child day-care services,immigrant-owned,block_2,6.7
child day-care services,canadian-born-owned,block_2,4.4
food services and drinking places,immigrant-owned,block_1,10.1
food services and drinking places,canadian-born-owned,block_1,4.3
food services and drinking places,immigrant-owned,block_2,1.0
food services and drinking places,canadian-born-owned,block_2,0.7
all other industries,immigrant-owned,block_1,34.6
all other industries,canadian-born-owned,block_1,40.5
all other industries,immigrant-owned,block_2,23.5
all other industries,canadian-born-owned,block_2,37.2
