subgroup,section,indicator_id,measure_type,value
men,,1,percent,40.6
men,,1,ci_from,34.6
men,,1,ci_to,46.8
men,,2,percent,32.2
men,,2,ci_from,26.3
men,,2,ci_to,38.8
men,,3,percent,47.3
men,,3,ci_from,41.0
men,,3,ci_to,53.8
men,,4,percent,25.5
men,,4,ci_from,20.8
men,,4,ci_to,30.8
women,,1,percent,68.7
women,,1,ci_from,63.5
women,,1,ci_to,73.5
women,,2,percent,40.5
women,,2,ci_from,34.8
women,,2,ci_to,46.4
women,,3,percent,45.3
women,,3,ci_from,39.5
women,,3,ci_to,51.2
women,,4,percent,50.4
women,,4,ci_from,44.4
women,,4,ci_to,56.4
15 to 24,age group,1,percent,79.7
15 to 24,age group,1,ci_from,71.7
15 to 24,age group,1,ci_to,85.9
15 to 24,age group,2,percent,45.2
15 to 24,age group,2,ci_from,36.2
15 to 24,age group,2,ci_to,54.6
15 to 24,age group,3,percent,40.8
15 to 24,age group,3,ci_from,32.0
15 to 24,age group,3,ci_to,50.2
15 to 24,age group,4,percent,30.4
15 to 24,age group,4,ci_from,23.4
15 to 24,age group,4,ci_to,38.5
25 to 34,age group,1,percent,59.0
25 to 34,age group,1,ci_from,50.2
25 to 34,age group,1,ci_to,67.4
25 to 34,age group,2,percent,38.5
25 to 34,age group,2,ci_from,30.3
25 to 34,age group,2,ci_to,47.4
25 to 34,age group,3,percent,50.3
25 to 34,age group,3,ci_from,40.9
25 to 34,age group,3,ci_to,59.6
25 to 34,age group,4,percent,44.5
25 to 34,age group,4,ci_from,35.8
25 to 34,age group,4,ci_to,53.5
35 to 44,age group,1,percent,48.0
35 to 44,age group,1,ci_from,38.9
35 to 44,age group,1,ci_to,57.4
35 to 44,age group,2,percent,39.5
35 to 44,age group,2,ci_from,30.6
35 to 44,age group,2,ci_to,49.1
35 to 44,age group,3,percent,58.3
35 to 44,age group,3,ci_from,49.1
35 to 44,age group,3,ci_to,67.0
35 to 44,age group,4,percent,50.8
