mental_health_indicator,estimate_type,percent,subpopulation_id
positive,percent,88.9,1
negative,percent,10.7,1
ever seriously contemplated suicide,percent,14.9,1
diagnosed mood or anxiety disorder,percent,16.4,1
mood disorder,percent,9.5,1
anxiety disorder,percent,12.5,1
positive,percent,80.3,2
negative,percent,19.7,2
ever seriously contemplated suicide,percent,29.9,2
diagnosed mood or anxiety disorder,percent,29.6,2
mood disorder,percent,20.6,2
anxiety disorder,percent,23.4,2
positive,percent,58.9,3
negative,percent,40.9,3
ever seriously contemplated suicide,percent,46.3,3
diagnosed mood or anxiety disorder,percent,50.8,3
mood disorder,percent,36.2,3
anxiety disorder,percent,41.6,3
positive,percent,54.6,4
negative,percent,45.4,4
ever seriously contemplated suicide,percent,58.7,4
diagnosed mood or anxiety disorder,percent,40.9,4
mood disorder,percent,31.1,4
anxiety disorder,percent,30.4,4
positive,percent,67.8,5
negative,percent,32.1,5
ever seriously contemplated suicide,percent,40.1,5
diagnosed mood or anxiety disorder,percent,41.1,5
mood disorder,percent,29.1,5
anxiety disorder,percent,33.1,5
