context,behaviour,metric_type,ci_bound,subgroup,value
public places,unwanted physical contact,percent,,subgroup_a,11.9
public places,unwanted physical contact,95% confidence interval,from,subgroup_a,11.4
public places,unwanted physical contact,95% confidence interval,to,subgroup_a,12.4
public places,unwanted physical contact,percent,,subgroup_b,22.0
public places,unwanted physical contact,95% confidence interval,from,subgroup_b,6.4
public places,unwanted physical contact,95% confidence interval,to,subgroup_b,47.0
public places,indecent exposure,percent,,subgroup_a,3.8
public places,indecent exposure,95% confidence interval,from,subgroup_a,3.4
public places,indecent exposure,95% confidence interval,to,subgroup_a,4.1
public places,indecent exposure,percent,,subgroup_b,
public places,indecent exposure,95% confidence interval,from,subgroup_b,
public places,indecent exposure,95% confidence interval,to,subgroup_b,
public places,unwanted comments about sex or gender,percent,,subgroup_a,8.8
public places,unwanted comments about sex or gender,95% confidence interval,from,subgroup_a,8.4
public places,unwanted comments about sex or gender,95% confidence interval,to,subgroup_a,9.3
public places,unwanted comments about sex or gender,percent,,subgroup_b,43.4
public places,unwanted comments about sex or gender,95% confidence interval,from,subgroup_b,21.0
public places,unwanted comments about sex or gender,95% confidence interval,to,subgroup_b,68.0
public places,unwanted comments about sexual orientation or assumed sexual orientation,percent,,subgroup_a,3.8
public places,unwanted comments about sexual orientation or assumed sexual orientation,95% confidence interval,from,subgroup_a,3.5
public places,unwanted comments about sexual orientation or assumed sexual orientation,95% confidence interval,to,subgroup_a,4.2
public places,unwanted comments about sexual orientation or assumed sexual orientation,percent,,subgroup_b,36.5
public places,unwanted comments about sexual orientation or assumed sexual orientation,95% confidence interval,from,subgroup_b,18.8
public places,unwanted comments about sexual orientation or assumed sexual orientation,95% confidence interval,to,subgroup_b,57.3
public places,unwanted sexual attention,percent,,subgroup_a,15.3
public places,unwanted sexual attention,95% confidence interval,from,subgroup_a,14.8
public places,unwanted sexual attention,95% confidence interval,to,subgroup_a,15.9
public places,unwanted sexual attention,percent,,subgroup_b,39.2
public places,unwanted sexual attention,95% confidence interval,from,subgroup_b,21.0
public places,unwanted sexual attention,95% confidence interval,to,subgroup_b,59.9
online,threatening or aggressive emails or messages directed at you personally,percent,,subgroup_a,8.9
online,threatening or aggressive emails or messages directed at you personally,95% confidence interval,from,subgroup_a,8.4
online,threatening or aggressive emails or messages directed at you personally,95% confidence interval,to,subgroup_a,9.4
online,threatening or aggressive emails or messages directed at you personally,percent,,subgroup_b,28.6
online,threatening or aggressive emails or messages directed at you personally,95% confidence interval,from,subgroup_b,11.9
online,threatening or aggressive emails or messages directed at you personally,95% confidence interval,to,subgroup_b,50.9
online,threatening or aggressive messages sent to a group or on social media,percent,,subgroup_a,4.3
online,threatening or aggressive messages sent to a group or on social media,95% confidence interval,from,subgroup_a,3.9
online,threatening or aggressive messages sent to a group or on social media,95% confidence interval,to,subgroup_a,4.7
online,threatening or aggressive messages sent to a group or on social media,percent,,subgroup_b,
online,threatening or aggressive messages sent to a group or on social media,95% confidence interval,from,subgroup_b,
online,threatening or aggressive messages sent to a group or on social media,95% confidence interval,to,subgroup_b,
online,"posting or distributing, or threatening to post or distribute, intimate or sexually explicit images without consent",percent,,subgroup_a,1.6
online,"posting or distributing, or threatening to post or distribute, intimate or sexually explicit images without consent",95% confidence interval,from,subgroup_a,1.3
online,"posting or distributing, or threatening to post or distribute, intimate or sexually explicit images without consent",95% confidence interval,to,subgroup_a,1.8
online,"posting or distributing, or threatening to post or distribute, intimate or sexually explicit images without consent",percent,,subgroup_b,
online,"posting or distributing, or threatening to post or distribute, intimate or sexually explicit images without consent",95% confidence interval,from,subgroup_b,
online,"posting or distributing, or threatening to post or distribute, intimate or sexually explicit images without consent",95% confidence interval,to,subgroup_b,
online,"pressure to send, share, or post sexually suggestive or explicit images or messages",percent,,subgroup_a,2.7
online,"pressure to send, share, or post sexually suggestive or explicit images or messages",95% confidence interval,from,subgroup_a,2.5
online,"pressure to send, share, or post sexually suggestive or explicit images or messages",95% confidence interval,to,subgroup_a,3.0
online,"pressure to send, share, or post sexually suggestive or explicit images or messages",percent,,subgroup_b,20.3
online,"pressure to send, share, or post sexually suggestive or explicit images or messages",95% confidence interval,from,subgroup_b,6.4
online,"pressure to send, share, or post sexually suggestive or explicit images or messages",95% confidence interval,to,subgroup_b,42.1
online,being sent unwanted sexually suggestive or explicit images or messages,percent,,subgroup_a,8.6
online,being sent unwanted sexually suggestive or explicit images or messages,95% confidence interval,from,subgroup_a,8.1
online,being sent unwanted sexually suggestive or explicit images or messages,95% confidence interval,to,subgroup_a,9.1
online,being sent unwanted sexually suggestive or explicit images or messages,percent,,subgroup_b,
online,being sent unwanted sexually suggestive or explicit images or messages,95% confidence interval,from,subgroup_b,
online,being sent unwanted sexually suggestive or explicit images or messages,95% confidence interval,to,subgroup_b,
online,changed username or blocked others because of harassment,percent,,subgroup_a,13.5
online,changed username or blocked others because of harassment,95% confidence interval,from,subgroup_a,12.9
online,changed username or blocked others because of harassment,95% confidence interval,to,subgroup_a,14.1
online,changed username or blocked others because of harassment,percent,,subgroup_b,37.4
online,changed username or blocked others because of harassment,95% confidence interval,from,subgroup_b,18.3
online,changed username or blocked others because of harassment,95% confidence interval,to,subgroup_b,59.7
online,limited internet use or social media participation for protection,percent,,subgroup_a,14.7
