country,age_group,year,education_level,participation_rate
canada,aged 25 to 54,1997,less_than_high_school,76.2
canada,aged 25 to 54,2000,less_than_high_school,77.9
canada,aged 25 to 54,2007,less_than_high_school,81.5
canada,aged 25 to 54,2015,less_than_high_school,81.3
canada,aged 25 to 44,1997,less_than_high_school,77.8
canada,aged 25 to 44,2000,less_than_high_school,79.4
canada,aged 25 to 44,2007,less_than_high_school,82.0
canada,aged 25 to 44,2015,less_than_high_school,80.9
canada,aged 45 to 54,1997,less_than_high_school,72.3
canada,aged 45 to 54,2000,less_than_high_school,74.8
canada,aged 45 to 54,2007,less_than_high_school,80.8
canada,aged 45 to 54,2015,less_than_high_school,82.0
united states,aged 25 to 54,1997,less_than_high_school,76.7
united states,aged 25 to 54,2000,less_than_high_school,76.8
united states,aged 25 to 54,2007,less_than_high_school,75.5
united states,aged 25 to 54,2015,less_than_high_school,73.9
united states,aged 25 to 44,1997,less_than_high_school,77.0
united states,aged 25 to 44,2000,less_than_high_school,76.9
united states,aged 25 to 44,2007,less_than_high_school,75.1
united states,aged 25 to 44,2015,less_than_high_school,74.0
united states,aged 45 to 54,1997,less_than_high_school,76.1
united states,aged 45 to 54,2000,less_than_high_school,76.6
united states,aged 45 to 54,2007,less_than_high_school,76.2
united states,aged 45 to 54,2015,less_than_high_school,73.7
canada,aged 25 to 54,1997,high_school,66.6
canada,aged 25 to 54,2000,high_school,68.9
canada,aged 25 to 54,2007,high_school,72.3
canada,aged 25 to 54,2015,high_school,68.0
canada,aged 25 to 44,1997,high_school,68.2
canada,aged 25 to 44,2000,high_school,70.8
canada,aged 25 to 44,2007,high_school,72.3
canada,aged 25 to 44,2015,high_school,65.2
canada,aged 45 to 54,1997,high_school,63.5
canada,aged 45 to 54,2000,high_school,65.6
canada,aged 45 to 54,2007,high_school,72.3
canada,aged 45 to 54,2015,high_school,71.8
united states,aged 25 to 54,1997,high_school,69.7
united states,aged 25 to 54,2000,high_school,70.1
united states,aged 25 to 54,2007,high_school,67.0
united states,aged 25 to 54,2015,high_school,62.3
united states,aged 25 to 44,1997,high_school,70.3
united states,aged 25 to 44,2000,high_school,70.7
united states,aged 25 to 44,2007,high_school,66.4
united states,aged 25 to 44,2015,high_school,61.5
united states,aged 45 to 54,1997,high_school,68.2
united states,aged 45 to 54,2000,high_school,68.9
united states,aged 45 to 54,2007,high_school,68.0
united states,aged 45 to 54,2015,high_school,63.6
canada,aged 25 to 54,1997,some_postsecondary,81.0
canada,aged 25 to 54,2000,some_postsecondary,81.9
canada,aged 25 to 54,2007,some_postsecondary,84.9
canada,aged 25 to 54,2015,some_postsecondary,84.4
canada,aged 25 to 44,1997,some_postsecondary,82.0
canada,aged 25 to 44,2000,some_postsecondary,82.5
canada,aged 25 to 44,2007,some_postsecondary,85.1
canada,aged 25 to 44,2015,some_postsecondary,84.0
canada,aged 45 to 54,1997,some_postsecondary,78.0
canada,aged 45 to 54,2000,some_postsecondary,80.1
canada,aged 45 to 54,2007,some_postsecondary,84.7
canada,aged 45 to 54,2015,some_postsecondary,85.0
united states,aged 25 to 54,1997,some_postsecondary,80.6
united states,aged 25 to 54,2000,some_postsecondary,80.4
united states,aged 25 to 54,2007,some_postsecondary,79.2
united states,aged 25 to 54,2015,some_postsecondary,76.1
united states,aged 25 to 44,1997,some_postsecondary,80.5
united states,aged 25 to 44,2000,some_postsecondary,80.3
united states,aged 25 to 44,2007,some_postsecondary,78.9
united states,aged 25 to 44,2015,some_postsecondary,76.4
united states,aged 45 to 54,1997,some_postsecondary,81.0
united states,aged 45 to 54,2000,some_postsecondary,80.6
united states,aged 45 to 54,2007,some_postsecondary,79.8
united states,aged 45 to 54,2015,some_postsecondary,75.6
canada,aged 25 to 54,1997,bachelors_or_more,86.3
canada,aged 25 to 54,2000,bachelors_or_more,86.2
canada,aged 25 to 54,2007,bachelors_or_more,86.3
canada,aged 25 to 54,2015,bachelors_or_more,86.6
canada,aged 25 to 44,1997,bachelors_or_more,86.6
canada,aged 25 to 44,2000,bachelors_or_more,86.0
canada,aged 25 to 44,2007,bachelors_or_more,85.4
canada,aged 25 to 44,2015,bachelors_or_more,86.0
canada,aged 45 to 54,1997,bachelors_or_more,85.3
canada,aged 45 to 54,2000,bachelors_or_more,86.5
canada,aged 45 to 54,2007,bachelors_or_more,88.5
canada,aged 45 to 54,2015,bachelors_or_more,88.3
united states,aged 25 to 54,1997,bachelors_or_more,84.6
united states,aged 25 to 54,2000,bachelors_or_more,83.0
united states,aged 25 to 54,2007,bachelors_or_more,82.3
united states,aged 25 to 54,2015,bachelors_or_more,82.4
united states,aged 25 to 44,1997,bachelors_or_more,84.1
united states,aged 25 to 44,2000,bachelors_or_more,82.3
united states,aged 25 to 44,2007,bachelors_or_more,81.3
united states,aged 25 to 44,2015,bachelors_or_more,82.2
united states,aged 45 to 54,1997,bachelors_or_more,85.9
united states,aged 45 to 54,2000,bachelors_or_more,84.6
united states,aged 45 to 54,2007,bachelors_or_more,84.2
united states,aged 45 to 54,2015,bachelors_or_more,83.0
