club,season,competition,metric_type,value
,,,apps,apps
shrewsbury town,1999-2000,third division,apps,6
shrewsbury town,2000-01,third division,apps,26
shrewsbury town,2001-02,third division,apps,38
shrewsbury town,2002-03,third division,apps,36
shrewsbury town,2003-04,football conference,apps,34
shrewsbury town,2004-05,league two,apps,36
crewe alexandra,2005-06,championship,apps,26
crewe alexandra,2006-07,league one,apps,12
port vale,2006-07,league one,apps,8
port vale,2007-08,league one,apps,36
port vale,2008-09,league two,apps,15
yeovil town,2008-09,league one,apps,22
notts county,2009-10,league two,apps,42
notts county,2010-11,league one,apps,4
new york red bulls,2011,major league soccer,apps,23
lillestrøm sk,2012,tippeligaen,apps,7
portsmouth,2012-13,league one,apps,10
shrewsbury town,2012-13,league one,apps,15
hammarby if,2013,superettan,apps,6
forest green rovers,2013-14,conference national,apps,10
forest green rovers,2014-15,conference national,apps,10
solihull moors,2016-17,national league,apps,0
career total,,,apps,421
,,,goals,goals
shrewsbury town,1999-2000,third division,goals,1
shrewsbury town,2000-01,third division,goals,7
shrewsbury town,2001-02,third division,goals,22
shrewsbury town,2002-03,third division,goals,16
shrewsbury town,2003-04,football conference,goals,13
shrewsbury town,2004-05,league two,goals,6
crewe alexandra,2005-06,championship,goals,6
crewe alexandra,2006-07,league one,goals,3
port vale,2006-07,league one,goals,3
port vale,2007-08,league one,goals,9
port vale,2008-09,league two,goals,4
yeovil town,2008-09,league one,goals,3
notts county,2009-10,league two,goals,13
notts county,2010-11,league one,goals,0
new york red bulls,2011,major league soccer,goals,9
lillestrøm sk,2012,tippeligaen,goals,1
portsmouth,2012-13,league one,goals,2
shrewsbury town,2012-13,league one,goals,2
hammarby if,2013,superettan,goals,0
forest green rovers,2013-14,conference national,goals,0
forest green rovers,2014-15,conference national,goals,0
solihull moors,2016-17,national league,goals,0
career total,,,goals,120
,,,apps,apps
shrewsbury town,1999-2000,third division,apps,1
shrewsbury town,2000-01,third division,apps,0
shrewsbury town,2001-02,third division,apps,1
shrewsbury town,2002-03,third division,apps,4
shrewsbury town,2003-04,football conference,apps,2
shrewsbury town,2004-05,league two,apps,1
crewe alexandra,2005-06,championship,apps,0
crewe alexandra,2006-07,league one,apps,1
port vale,2006-07,league one,apps,0
port vale,2007-08,league one,apps,3
port vale,2008-09,league two,apps,0
yeovil town,2008-09,league one,apps,0
notts county,2009-10,league two,apps,6
notts county,2010-11,league one,apps,1
new york red bulls,2011,major league soccer,apps,0
lillestrøm sk,2012,tippeligaen,apps,0
portsmouth,2012-13,league one,apps,1
shrewsbury town,2012-13,league one,apps,0
hammarby if,2013,superettan,apps,0
forest green rovers,2013-14,conference national,apps,0
forest green rovers,2014-15,conference national,apps,1
solihull moors,2016-17,national league,apps,0
career total,,,apps,22
,,,goals,goals
shrewsbury town,1999-2000,third division,goals,0
shrewsbury town,2000-01,third division,goals,0
shrewsbury town,2001-02,third division,goals,0
shrewsbury town,2002-03,third division,goals,0
shrewsbury town,2003-04,football conference,goals,0
shrewsbury town,2004-05,league two,goals,0
crewe alexandra,2005-06,championship,goals,0
crewe alexandra,2006-07,league one,goals,0
port vale,2006-07,league one,goals,0
port vale,2007-08,league one,goals,1
port vale,2008-09,league two,goals,0
yeovil town,2008-09,league one,goals,0
notts county,2009-10,league two,goals,1
notts county,2010-11,league one,goals,1
new york red bulls,2011,major league soccer,goals,0
lillestrøm sk,2012,tippeligaen,goals,0
portsmouth,2012-13,league one,goals,0
shrewsbury town,2012-13,league one,goals,0
hammarby if,2013,superettan,goals,0
forest green rovers,2013-14,conference national,goals,0
forest green rovers,2014-15,conference national,goals,1
solihull moors,2016-17,national league,goals,0
career total,,,goals,4
,,,apps,apps
shrewsbury town,1999-2000,third division,apps,0
shrewsbury town,2000-01,third division,apps,0
shrewsbury town,2001-02,third division,apps,1
shrewsbury town,2002-03,third division,apps,1
shrewsbury town,2003-04,football conference,apps,0
shrewsbury town,2004-05,league two,apps,1
crewe alexandra,2005-06,championship,apps,0
crewe alexandra,2006-07,league one,apps,0
port vale,2006-07,league one,apps,0
port vale,2007-08,league one,apps,1
port vale,2008-09,league two,apps,1
yeovil town,2008-09,league one,apps,0
notts county,2009-10,league two,apps,1
notts county,2010-11,league one,apps,0
new york red bulls,2011,major league soccer,apps,2
lillestrøm sk,2012,tippeligaen,apps,0
portsmouth,2012-13,league one,apps,0
shrewsbury town,2012-13,league one,apps,0
hammarby if,2013,superettan,apps,0
forest green rovers,2013-14,conference national,apps,0
forest green rovers,2014-15,conference national,apps,0
solihull moors,2016-17,national league,apps,0
career total,,,apps,8
,,,goals,goals
shrewsbury town,1999-2000,third division,goals,0
shrewsbury town,2000-01,third division,goals,0
shrewsbury town,2001-02,third division,goals,0
shrewsbury town,2002-03,third division,goals,0
shrewsbury town,2003-04,football conference,goals,0
shrewsbury town,2004-05,league two,goals,1
crewe alexandra,2005-06,championship,goals,0
crewe alexandra,2006-07,league one,goals,0
port vale,2006-07,league one,goals,0
port vale,2007-08,league one,goals,1
port vale,2008-09,league two,goals,1
yeovil town,2008-09,league one,goals,0
notts county,2009-10,league two,goals,0
notts county,2010-11,league one,goals,0
new york red bulls,2011,major league soccer,goals,1
lillestrøm sk,2012,tippeligaen,goals,0
portsmouth,2012-13,league one,goals,0
shrewsbury town,2012-13,league one,goals,0
hammarby if,2013,superettan,goals,0
forest green rovers,2013-14,conference national,goals,0
forest green rovers,2014-15,conference national,goals,0
solihull moors,2016-17,national league,goals,0
career total,,,goals,4
,,,apps,apps
shrewsbury town,1999-2000,third division,apps,1
shrewsbury town,2000-01,third division,apps,1
shrewsbury town,2001-02,third division,apps,1
shrewsbury town,2002-03,third division,apps,6
shrewsbury town,2003-04,football conference,apps,5
shrewsbury town,2004-05,league two,apps,2
crewe alexandra,2005-06,championship,apps,0
crewe alexandra,2006-07,league one,apps,0
port vale,2006-07,league one,apps,0
port vale,2007-08,league one,apps,1
port vale,2008-09,league two,apps,1
yeovil town,2008-09,league one,apps,0
notts county,2009-10,league two,apps,0
notts county,2010-11,league one,apps,0
new york red bulls,2011,major league soccer,apps,0
lillestrøm sk,2012,tippeligaen,apps,0
portsmouth,2012-13,league one,apps,2
shrewsbury town,2012-13,league one,apps,0
hammarby if,2013,superettan,apps,0
forest green rovers,2013-14,conference national,apps,0
forest green rovers,2014-15,conference national,apps,0
solihull moors,2016-17,national league,apps,2
career total,,,apps,32
,,,goals,goals
shrewsbury town,1999-2000,third division,goals,0
shrewsbury town,2000-01,third division,goals,0
shrewsbury town,2001-02,third division,goals,0
shrewsbury town,2002-03,third division,goals,4
shrewsbury town,2003-04,football conference,goals,2
shrewsbury town,2004-05,league two,goals,1
crewe alexandra,2005-06,championship,goals,0
crewe alexandra,2006-07,league one,goals,0
port vale,2006-07,league one,goals,0
port vale,2007-08,league one,goals,1
port vale,2008-09,league two,goals,0
yeovil town,2008-09,league one,goals,0
notts county,2009-10,league two,goals,0
notts county,2010-11,league one,goals,0
new york red bulls,2011,major league soccer,goals,0
lillestrøm sk,2012,tippeligaen,goals,0
portsmouth,2012-13,league one,goals,1
shrewsbury town,2012-13,league one,goals,0
hammarby if,2013,superettan,goals,0
forest green rovers,2013-14,conference national,goals,0
forest green rovers,2014-15,conference national,goals,0
solihull moors,2016-17,national league,goals,1
career total,,,goals,10
