region,metric_type,value,numeric_value,lower_bound,upper_bound,numerator,denominator
newfoundland and labrador,point_estimate,0.2,0.2,,,,
prince edward island,point_estimate,2.4,2.4,,,,
nova scotia,point_estimate,-17.9,-17.9,,,,
new brunswiick,point_estimate,-11.0,-11.0,,,,
quebec,point_estimate,-14.6,-14.6,,,,
ontario,point_estimate,-20.0,-20.0,,,,
manitoba,point_estimate,-0.3,-0.3,,,,
saskatchewan,point_estimate,-21.1,-21.1,,,,
alberta,point_estimate,-51.0,-51.0,,,,
british columbia,point_estimate,-8.2,-8.2,,,,
yukon,point_estimate,-6.1,-6.1,,,,
northwest territories,point_estimate,-9.6,-9.6,,,,
nunavut,point_estimate,8.8,8.8,,,,
newfoundland and labrador,standard_error,6.2,6.2,,,,
prince edward island,standard_error,0.6,0.6,,,,
nova scotia,standard_error,28.2,28.2,,,,
new brunswiick,standard_error,11.2,11.2,,,,
quebec,standard_error,9.9,9.9,,,,
ontario,standard_error,12.8,12.8,,,,
manitoba,standard_error,4.0,4.0,,,,
saskatchewan,standard_error,17.3,17.3,,,,
alberta,standard_error,16.2,16.2,,,,
british columbia,standard_error,7.2,7.2,,,,
yukon,standard_error,9.1,9.1,,,,
northwest territories,standard_error,5.1,5.1,,,,
nunavut,standard_error,..,,,,,
newfoundland and labrador,confidence_interval,-4.2 to 4.6,,-4.2,4.6,,
prince edward island,confidence_interval,2.0 to 2.9,,2.0,2.9,,
nova scotia,confidence_interval,-60.1 to -2.4,,-60.1,-2.4,,
new brunswiick,confidence_interval,-25.7 to -0.5,,-25.7,-0.5,,
quebec,confidence_interval,-26.8 to -5.5,,-26.8,-5.5,,
ontario,confidence_interval,-38.1 to -8.5,,-38.1,-8.5,,
manitoba,confidence_interval,-3.1 to 2.5,,-3.1,2.5,,
saskatchewan,confidence_interval,-46.7 to -8.2,,-46.7,-8.2,,
alberta,confidence_interval,-68.7 to -30.1,,-68.7,-30.1,,
british columbia,confidence_interval,-16.7 to 0.2,,-16.7,0.2,,
yukon,confidence_interval,-12.5 to 0.3,,-12.5,0.3,,
northwest territories,confidence_interval,-12.5 to -3.7,,-12.5,-3.7,,
nunavut,confidence_interval,8.8 to 8.8,,8.8,8.8,,
newfoundland and labrador,coverage_ratio,1 out of 2,,,,1,2
prince edward island,coverage_ratio,0 out of 2,,,,0,2
nova scotia,coverage_ratio,4 out of 4,,,,4,4
new brunswiick,coverage_ratio,4 out of 4,,,,4,4
quebec,coverage_ratio,4 out of 4,,,,4,4
ontario,coverage_ratio,4 out of 4,,,,4,4
manitoba,coverage_ratio,1 out of 2,,,,1,2
saskatchewan,coverage_ratio,4 out of 4,,,,4,4
alberta,coverage_ratio,4 out of 4,,,,4,4
british columbia,coverage_ratio,3 out of 4,,,,3,4
yukon,coverage_ratio,1 out of 2,,,,1,2
northwest territories,coverage_ratio,3 out of 3,,,,3,3
nunavut,coverage_ratio,0 out of 1,,,,0,1
