institution,metric_id,value
north carolina agricultural and technical state u,all agencies,26793.3
florida a&m u,all agencies,19665.4
morehouse school of medicine,all agencies,18268.2
meharry medical c,all agencies,15309.7
howard u,all agencies,12825.4
north carolina central u,all agencies,12300.8
jackson state u,all agencies,11777.0
hampton u,all agencies,11431.1
tuskegee u,all agencies,10113.1
prairie view a&m u,all agencies,10100.0
morgan state u,all agencies,9035.7
tennessee state u,all agencies,8659.4
delaware state u,all agencies,8155.7
xavier u. louisiana,all agencies,7756.3
u. of the virgin islands,all agencies,7542.8
virginia state u,all agencies,7098.7
norfolk state u,all agencies,6933.5
alabama a&m u,all agencies,6678.8
"southern u. and a&m c., system office",all agencies,6422.3
"u. arkansas, pine bluff",all agencies,6036.2
all other hbcus,all agencies,84988.7
north carolina agricultural and technical state u,dod,1954.9
florida a&m u,dod,1395.5
morehouse school of medicine,dod,0.0
meharry medical c,dod,0.0
howard u,dod,1044.4
north carolina central u,dod,0.0
jackson state u,dod,2458.3
hampton u,dod,375.6
tuskegee u,dod,276.0
prairie view a&m u,dod,250.0
morgan state u,dod,350.0
tennessee state u,dod,581.3
delaware state u,dod,766.2
xavier u. louisiana,dod,91.1
u. of the virgin islands,dod,142.6
virginia state u,dod,572.2
norfolk state u,dod,1167.6
alabama a&m u,dod,1428.0
"southern u. and a&m c., system office",dod,0.0
"u. arkansas, pine bluff",dod,125.0
all other hbcus,dod,5220.3
north carolina agricultural and technical state u,doe,2053.9
florida a&m u,doe,4464.8
morehouse school of medicine,doe,0.0
meharry medical c,doe,0.0
howard u,doe,0.0
north carolina central u,doe,695.0
jackson state u,doe,486.0
hampton u,doe,747.0
tuskegee u,doe,0.0
prairie view a&m u,doe,0.0
morgan state u,doe,0.0
tennessee state u,doe,0.0
delaware state u,doe,0.0
xavier u. louisiana,doe,0.0
u. of the virgin islands,doe,0.0
virginia state u,doe,0.0
norfolk state u,doe,4311.2
alabama a&m u,doe,0.0
"southern u. and a&m c., system office",doe,0.0
"u. arkansas, pine bluff",doe,0.0
all other hbcus,doe,150.0
north carolina agricultural and technical state u,ed,446.6
florida a&m u,ed,740.6
morehouse school of medicine,ed,0.0
meharry medical c,ed,0.0
howard u,ed,250.0
north carolina central u,ed,250.0
jackson state u,ed,250.0
hampton u,ed,120.0
tuskegee u,ed,0.0
prairie view a&m u,ed,0.0
morgan state u,ed,0.0
tennessee state u,ed,0.0
delaware state u,ed,0.0
xavier u. louisiana,ed,0.0
u. of the virgin islands,ed,0.0
virginia state u,ed,416.7
norfolk state u,ed,0.0
alabama a&m u,ed,119.0
"southern u. and a&m c., system office",ed,700.7
"u. arkansas, pine bluff",ed,602.1
all other hbcus,ed,10289.4
north carolina agricultural and technical state u,hhs,1756.1
florida a&m u,hhs,3817.5
morehouse school of medicine,hhs,18268.2
meharry medical c,hhs,15309.7
howard u,hhs,9249.6
north carolina central u,hhs,7344.7
jackson state u,hhs,4838.8
hampton u,hhs,4608.7
tuskegee u,hhs,2386.1
prairie view a&m u,hhs,111.8
morgan state u,hhs,5419.0
tennessee state u,hhs,1748.3
delaware state u,hhs,2436.2
xavier u. louisiana,hhs,7277.5
u. of the virgin islands,hhs,278.8
virginia state u,hhs,0.0
norfolk state u,hhs,0.0
alabama a&m u,hhs,0.0
"southern u. and a&m c., system office",hhs,0.0
"u. arkansas, pine bluff",hhs,0.0
all other hbcus,hhs,13299.1
north carolina agricultural and technical state u,nasa,0.0
florida a&m u,nasa,0.0
morehouse school of medicine,nasa,0.0
meharry medical c,nasa,0.0
howard u,nasa,25.5
north carolina central u,nasa,0.0
jackson state u,nasa,0.0
hampton u,nasa,3964.8
tuskegee u,nasa,0.0
prairie view a&m u,nasa,0.0
morgan state u,nasa,1052.0
tennessee state u,nasa,0.0
delaware state u,nasa,0.0
xavier u. louisiana,nasa,0.0
u. of the virgin islands,nasa,0.0
virginia state u,nasa,0.0
norfolk state u,nasa,0.0
alabama a&m u,nasa,0.0
"southern u. and a&m c., system office",nasa,0.0
"u. arkansas, pine bluff",nasa,0.0
all other hbcus,nasa,148.2
north carolina agricultural and technical state u,nsf,14740.7
florida a&m u,nsf,6113.4
morehouse school of medicine,nsf,0.0
meharry medical c,nsf,0.0
howard u,nsf,2255.9
north carolina central u,nsf,2720.5
jackson state u,nsf,3743.9
hampton u,nsf,1393.9
tuskegee u,nsf,2915.1
prairie view a&m u,nsf,2805.5
morgan state u,nsf,797.8
tennessee state u,nsf,496.1
delaware state u,nsf,2648.7
xavier u. louisiana,nsf,387.7
u. of the virgin islands,nsf,5108.5
virginia state u,nsf,1788.0
norfolk state u,nsf,1454.8
alabama a&m u,nsf,437.4
"southern u. and a&m c., system office",nsf,3500.0
"u. arkansas, pine bluff",nsf,0.0
all other hbcus,nsf,25364.2
north carolina agricultural and technical state u,usda,4339.5
florida a&m u,usda,3013.6
morehouse school of medicine,usda,0.0
meharry medical c,usda,0.0
howard u,usda,0.0
north carolina central u,usda,0.0
jackson state u,usda,0.0
hampton u,usda,0.0
tuskegee u,usda,4411.9
prairie view a&m u,usda,5857.3
morgan state u,usda,0.0
tennessee state u,usda,5833.7
