disposition,inclusion_scope,offence_description,year,count
,include,offences against the administration of justice,4019,101748
,exclude,offences against the administration of justice,4019,147393
stayed/withdrawn,include,offences against the administration of justice,4019,26906
stayed/withdrawn,exclude,offences against the administration of justice,4019,85863
acquitted,include,offences against the administration of justice,4019,1900
acquitted,exclude,offences against the administration of justice,4019,12330
other,include,offences against the administration of justice,4019,1873
other,exclude,offences against the administration of justice,4019,4309
total cases,include,offences against the administration of justice,4019,132427
total cases,exclude,offences against the administration of justice,4019,249895
,include,offences against the administration of justice,4020,104274
,exclude,offences against the administration of justice,4020,143235
stayed/withdrawn,include,offences against the administration of justice,4020,28346
stayed/withdrawn,exclude,offences against the administration of justice,4020,85338
acquitted,include,offences against the administration of justice,4020,1927
acquitted,exclude,offences against the administration of justice,4020,11664
other,include,offences against the administration of justice,4020,1754
other,exclude,offences against the administration of justice,4020,3999
total cases,include,offences against the administration of justice,4020,136301
total cases,exclude,offences against the administration of justice,4020,244236
,include,offences against the administration of justice,4021,109953
,exclude,offences against the administration of justice,4021,145534
stayed/withdrawn,include,offences against the administration of justice,4021,31866
stayed/withdrawn,exclude,offences against the administration of justice,4021,88246
acquitted,include,offences against the administration of justice,4021,1890
acquitted,exclude,offences against the administration of justice,4021,10702
other,include,offences against the administration of justice,4021,1615
other,exclude,offences against the administration of justice,4021,3387
total cases,include,offences against the administration of justice,4021,145324
total cases,exclude,offences against the administration of justice,4021,247869
,include,offences against the administration of justice,4022,113960
,exclude,offences against the administration of justice,4022,149988
stayed/withdrawn,include,offences against the administration of justice,4022,29496
stayed/withdrawn,exclude,offences against the administration of justice,4022,87793
acquitted,include,offences against the administration of justice,4022,1920
acquitted,exclude,offences against the administration of justice,4022,10628
other,include,offences against the administration of justice,4022,1614
other,exclude,offences against the administration of justice,4022,3298
total cases,include,offences against the administration of justice,4022,146990
total cases,exclude,offences against the administration of justice,4022,251707
,include,offences against the administration of justice,4023,114826
,exclude,offences against the administration of justice,4023,151604
stayed/withdrawn,include,offences against the administration of justice,4023,30566
stayed/withdrawn,exclude,offences against the administration of justice,4023,94920
acquitted,include,offences against the administration of justice,4023,2161
acquitted,exclude,offences against the administration of justice,4023,11004
other,include,offences against the administration of justice,4023,1647
other,exclude,offences against the administration of justice,4023,3323
total cases,include,offences against the administration of justice,4023,149200
total cases,exclude,offences against the administration of justice,4023,260851
,include,offences against the administration of justice,4024,113599
,exclude,offences against the administration of justice,4024,147726
stayed/withdrawn,include,offences against the administration of justice,4024,33764
stayed/withdrawn,exclude,offences against the administration of justice,4024,97571
acquitted,include,offences against the administration of justice,4024,2308
acquitted,exclude,offences against the administration of justice,4024,10079
other,include,offences against the administration of justice,4024,1630
other,exclude,offences against the administration of justice,4024,3280
total cases,include,offences against the administration of justice,4024,151301
total cases,exclude,offences against the administration of justice,4024,258656
,include,offences against the administration of justice,4025,113400
,exclude,offences against the administration of justice,4025,138203
stayed/withdrawn,include,offences against the administration of justice,4025,30462
stayed/withdrawn,exclude,offences against the administration of justice,4025,94751
acquitted,include,offences against the administration of justice,4025,2437
acquitted,exclude,offences against the administration of justice,4025,10318
other,include,offences against the administration of justice,4025,1468
other,exclude,offences against the administration of justice,4025,3077
total cases,include,offences against the administration of justice,4025,147767
total cases,exclude,offences against the administration of justice,4025,246349
,include,offences against the administration of justice,4026,112914
,exclude,offences against the administration of justice,4026,136238
stayed/withdrawn,include,offences against the administration of justice,4026,30244
stayed/withdrawn,exclude,offences against the administration of justice,4026,90720
acquitted,include,offences against the administration of justice,4026,2482
acquitted,exclude,offences against the administration of justice,4026,10994
other,include,offences against the administration of justice,4026,1167
other,exclude,offences against the administration of justice,4026,2855
total cases,include,offences against the administration of justice,4026,146807
total cases,exclude,offences against the administration of justice,4026,240807
,include,offences against the administration of justice,4027,106380
,exclude,offences against the administration of justice,4027,121948
stayed/withdrawn,include,offences against the administration of justice,4027,29812
stayed/withdrawn,exclude,offences against the administration of justice,4027,84713
acquitted,include,offences against the administration of justice,4027,2520
acquitted,exclude,offences against the administration of justice,4027,11459
other,include,offences against the administration of justice,4027,1064
other,exclude,offences against the administration of justice,4027,2744
total cases,include,offences against the administration of justice,4027,139776
total cases,exclude,offences against the administration of justice,4027,220864
