year,song_title,country,chart_position
,let me be your fantasy,uk,1
1995,(everybody's got to learn sometime) i need your loving,uk,3
1996,so pure,uk,3
1996,take me to heaven,uk,15
2000,let me be your fantasy,uk,16
,let me be your fantasy,aus,54
1995,(everybody's got to learn sometime) i need your loving,aus,124
1996,so pure,aus,242
1996,take me to heaven,aus,
2000,let me be your fantasy,aus,
,let me be your fantasy,bel,27
1995,(everybody's got to learn sometime) i need your loving,bel,
1996,so pure,bel,
1996,take me to heaven,bel,
2000,let me be your fantasy,bel,
,let me be your fantasy,ger,31
1995,(everybody's got to learn sometime) i need your loving,ger,55
1996,so pure,ger,
1996,take me to heaven,ger,
2000,let me be your fantasy,ger,90
,let me be your fantasy,ire,6
1995,(everybody's got to learn sometime) i need your loving,ire,13
1996,so pure,ire,18
1996,take me to heaven,ire,
2000,let me be your fantasy,ire,
,let me be your fantasy,ndl,14
1995,(everybody's got to learn sometime) i need your loving,ndl,
1996,so pure,ndl,
1996,take me to heaven,ndl,
2000,let me be your fantasy,ndl,
,let me be your fantasy,swi,12
1995,(everybody's got to learn sometime) i need your loving,swi,
1996,so pure,swi,
1996,take me to heaven,swi,
2000,let me be your fantasy,swi,96
