group_category,group_label,education_level,percent
,men,college,47.9
,men,bachelor's,43.3
,men,master's,27.6
,men,doctorate,14.7
,women,college,70.7
,women,bachelor's,52.5
,women,master's,43.0
,women,doctorate,23.0
,younger than 25 years,college,62.1
,younger than 25 years,bachelor's,45.3
,younger than 25 years,master's,33.4
,younger than 25 years,doctorate,
,25 to 29 years,college,62.3
,25 to 29 years,bachelor's,50.5
,25 to 29 years,master's,47.0
,25 to 29 years,doctorate,33.7
age group,30 to 39 years,college,59.3
age group,30 to 39 years,bachelor's,47.7
age group,30 to 39 years,master's,33.8
age group,30 to 39 years,doctorate,19.9
age group,40 years and older,college,57.0
age group,40 years and older,bachelor's,40.0
age group,40 years and older,master's,25.2
age group,40 years and older,doctorate,14.4
age group,education,college,81.5
age group,education,bachelor's,92.0
age group,education,master's,24.0
age group,education,doctorate,9.2
age group,"visual and performing arts, and communications technologies",college,52.5
age group,"visual and performing arts, and communications technologies",bachelor's,30.3
age group,"visual and performing arts, and communications technologies",master's,23.5
age group,"visual and performing arts, and communications technologies",doctorate,14.6
age group,humanities,college,38.2
age group,humanities,bachelor's,18.7
age group,humanities,master's,32.4
age group,humanities,doctorate,9.3
field of study,social and behavioural sciences and law,college,81.9
field of study,social and behavioural sciences and law,bachelor's,28.6
field of study,social and behavioural sciences and law,master's,41.5
field of study,social and behavioural sciences and law,doctorate,41.6
field of study,"business, management and public administration",college,50.4
field of study,"business, management and public administration",bachelor's,29.7
field of study,"business, management and public administration",master's,34.2
field of study,"business, management and public administration",doctorate,7.6
field of study,physical and life sciences and technologies,college,53.1
field of study,physical and life sciences and technologies,bachelor's,26.8
field of study,physical and life sciences and technologies,master's,18.2
field of study,physical and life sciences and technologies,doctorate,10.9
field of study,"mathematics, computer and information sciences",college,52.7
field of study,"mathematics, computer and information sciences",bachelor's,47.3
field of study,"mathematics, computer and information sciences",master's,33.7
field of study,"mathematics, computer and information sciences",doctorate,18.3
field of study,"architecture, engineering and related technologies",college,42.1
field of study,"architecture, engineering and related technologies",bachelor's,64.6
field of study,"architecture, engineering and related technologies",master's,19.3
field of study,"architecture, engineering and related technologies",doctorate,14.3
field of study,"agriculture, natural resources and conservation",college,46.6
field of study,"agriculture, natural resources and conservation",bachelor's,41.8
field of study,"agriculture, natural resources and conservation",master's,41.3
field of study,"agriculture, natural resources and conservation",doctorate,14.0
field of study,health and related fields,college,88.2
field of study,health and related fields,bachelor's,84.3
field of study,health and related fields,master's,74.4
field of study,health and related fields,doctorate,18.1
field of study,"personal, protective and transportation services",college,51.9
field of study,"personal, protective and transportation services",bachelor's,50.8
field of study,"personal, protective and transportation services",master's,28.0
field of study,"personal, protective and transportation services",doctorate,
field of study,other fields,college,29.4
field of study,other fields,bachelor's,21.3
field of study,other fields,master's,47.4
field of study,other fields,doctorate,29.2
field of study,newfoundland and labrador,college,58.5
field of study,newfoundland and labrador,bachelor's,59.2
field of study,newfoundland and labrador,master's,21.9
field of study,newfoundland and labrador,doctorate,17.3
field of study,prince edward island,college,74.4
field of study,prince edward island,bachelor's,55.4
field of study,prince edward island,master's,36.0
field of study,prince edward island,doctorate,
field of study,nova scotia,college,89.3
field of study,nova scotia,bachelor's,49.4
field of study,nova scotia,master's,39.6
field of study,nova scotia,doctorate,20.3
field of study,new brunswick,college,88.9
field of study,new brunswick,bachelor's,44.4
field of study,new brunswick,master's,35.8
field of study,new brunswick,doctorate,26.7
province of study,quebec,college,66.6
province of study,quebec,bachelor's,49.6
province of study,quebec,master's,33.8
province of study,quebec,doctorate,26.0
province of study,ontario,college,57.2
province of study,ontario,bachelor's,45.3
province of study,ontario,master's,41.0
province of study,ontario,doctorate,15.0
province of study,manitoba,college,65.3
province of study,manitoba,bachelor's,53.6
province of study,manitoba,master's,38.6
province of study,manitoba,doctorate,13.3
province of study,saskatchewan,college,64.7
province of study,saskatchewan,bachelor's,55.3
province of study,saskatchewan,master's,30.4
province of study,saskatchewan,doctorate,14.7
province of study,alberta,college,59.0
province of study,alberta,bachelor's,54.2
province of study,alberta,master's,31.3
province of study,alberta,doctorate,14.3
province of study,british columbia,college,52.3
province of study,british columbia,bachelor's,49.6
province of study,british columbia,master's,37.7
province of study,british columbia,doctorate,18.9
province of study,yes,college,53.4
province of study,yes,bachelor's,39.1
province of study,yes,master's,29.8
province of study,yes,doctorate,14.7
province of study,no,college,62.7
province of study,no,bachelor's,51.2
province of study,no,master's,39.8
province of study,no,doctorate,21.2
province of study,yes,college,63.8
province of study,yes,bachelor's,57.7
province of study,yes,master's,45.8
province of study,yes,doctorate,23.7
province of study,no,college,60.4
province of study,no,bachelor's,48.5
province of study,no,master's,36.5
province of study,no,doctorate,18.6
province of study,yes,college,67.6
province of study,yes,bachelor's,49.4
province of study,yes,master's,41.5
province of study,yes,doctorate,16.5
immigrant status,no,college,58.5
immigrant status,no,bachelor's,48.5
immigrant status,no,master's,35.7
immigrant status,no,doctorate,19.1
