province_territory,measure,value
newfoundland and labrador,measure_revised estimate of the average growth in real gross domestic product,2.59
prince edward island,measure_revised estimate of the average growth in real gross domestic product,2.47
nova scotia,measure_revised estimate of the average growth in real gross domestic product,1.95
new brunswick,measure_revised estimate of the average growth in real gross domestic product,2.03
quebec,measure_revised estimate of the average growth in real gross domestic product,1.93
ontario,measure_revised estimate of the average growth in real gross domestic product,2.59
manitoba,measure_revised estimate of the average growth in real gross domestic product,2.11
saskatchewan,measure_revised estimate of the average growth in real gross domestic product,2.18
alberta,measure_revised estimate of the average growth in real gross domestic product,3.13
british columbia,measure_revised estimate of the average growth in real gross domestic product,2.47
yukon,measure_revised estimate of the average growth in real gross domestic product,3.75
northwest territories,measure_revised estimate of the average growth in real gross domestic product,2.51
nunavut,measure_revised estimate of the average growth in real gross domestic product,4.92
newfoundland and labrador,measure_previously published estimate of the average growth in real gross domestic product,2.64
prince edward island,measure_previously published estimate of the average growth in real gross domestic product,2.5
nova scotia,measure_previously published estimate of the average growth in real gross domestic product,1.95
new brunswick,measure_previously published estimate of the average growth in real gross domestic product,2.01
quebec,measure_previously published estimate of the average growth in real gross domestic product,1.95
ontario,measure_previously published estimate of the average growth in real gross domestic product,2.62
manitoba,measure_previously published estimate of the average growth in real gross domestic product,2.1
saskatchewan,measure_previously published estimate of the average growth in real gross domestic product,2.28
alberta,measure_previously published estimate of the average growth in real gross domestic product,3.14
british columbia,measure_previously published estimate of the average growth in real gross domestic product,2.48
yukon,measure_previously published estimate of the average growth in real gross domestic product,3.69
northwest territories,measure_previously published estimate of the average growth in real gross domestic product,2.58
nunavut,measure_previously published estimate of the average growth in real gross domestic product,4.68
newfoundland and labrador,measure_average absolute revision to real gross domestic product,0.32
prince edward island,measure_average absolute revision to real gross domestic product,0.56
nova scotia,measure_average absolute revision to real gross domestic product,0.25
new brunswick,measure_average absolute revision to real gross domestic product,0.23
quebec,measure_average absolute revision to real gross domestic product,0.19
ontario,measure_average absolute revision to real gross domestic product,0.15
manitoba,measure_average absolute revision to real gross domestic product,0.17
saskatchewan,measure_average absolute revision to real gross domestic product,0.3
alberta,measure_average absolute revision to real gross domestic product,0.36
british columbia,measure_average absolute revision to real gross domestic product,0.17
yukon,measure_average absolute revision to real gross domestic product,0.64
northwest territories,measure_average absolute revision to real gross domestic product,0.54
nunavut,measure_average absolute revision to real gross domestic product,1.47
