year,valuation_basis,category_id,value
2012,,1,30882.0
2013,,1,29072.0
2014,,1,30763.0
2012,constant fy 2009 $millions,1,29513.0
2013,constant fy 2009 $millions,1,27370.0
2014,constant fy 2009 $millions,1,28534.0
2012,,2,17907.0
2013,,2,16849.0
2014,,2,17481.0
2012,constant fy 2009 $millions,2,17113.0
2013,constant fy 2009 $millions,2,15862.0
2014,constant fy 2009 $millions,2,16215.0
2012,,3,5128.0
2013,,3,4926.0
2014,,3,4982.0
2012,constant fy 2009 $millions,3,4901.0
2013,constant fy 2009 $millions,3,4638.0
2014,constant fy 2009 $millions,3,4621.0
2012,,4,3647.0
2013,,4,3373.0
2014,,4,3696.0
2012,constant fy 2009 $millions,4,3485.0
2013,constant fy 2009 $millions,4,3175.0
2014,constant fy 2009 $millions,4,3428.0
2012,,5,1020.0
2013,,5,1056.0
2014,,5,1504.0
2012,constant fy 2009 $millions,5,1167.0
2013,constant fy 2009 $millions,5,1069.0
2014,constant fy 2009 $millions,5,1206.0
2012,,6,1221.0
2013,,6,1136.0
2014,,6,1300.0
2012,constant fy 2009 $millions,6,975.0
2013,constant fy 2009 $millions,6,994.0
2014,constant fy 2009 $millions,6,1395.0
2012,,7,971.0
2013,,7,885.0
2014,,7,951.0
2012,constant fy 2009 $millions,7,928.0
2013,constant fy 2009 $millions,7,833.0
2014,constant fy 2009 $millions,7,882.0
2012,,8,989.0
2013,,8,847.0
2014,,8,848.0
2012,constant fy 2009 $millions,8,945.0
2013,constant fy 2009 $millions,8,797.0
2014,constant fy 2009 $millions,8,787.0
