temporal_scope,category_group,item,measurement_context,metric_type,value
in past 12 months:,,received help,1,%,75.5
in past 12 months:,,received help,1,from,67.1
in past 12 months:,,received help,1,to,82.3
in past 12 months:,,received help,2,%,66.5
in past 12 months:,,received help,2,from,62.3
in past 12 months:,,received help,2,to,70.6
in past 12 months:,,received help,3,%,21.0
in past 12 months:,,received help,3,from,17.4
in past 12 months:,,received help,3,to,25.2
in past 12 months:,,formal consultation,1,%,64.9
in past 12 months:,,formal consultation,1,from,55.8
in past 12 months:,,formal consultation,1,to,73.0
in past 12 months:,,formal consultation,2,%,59.2
in past 12 months:,,formal consultation,2,from,54.9
in past 12 months:,,formal consultation,2,to,63.4
in past 12 months:,,formal consultation,3,%,16.2
in past 12 months:,,formal consultation,3,from,12.8
in past 12 months:,,formal consultation,3,to,20.2
in past 12 months:,,informal consultation,1,%,78.2
in past 12 months:,,informal consultation,1,from,70.5
in past 12 months:,,informal consultation,1,to,84.3
in past 12 months:,,informal consultation,2,%,64.4
in past 12 months:,,informal consultation,2,from,60.2
in past 12 months:,,informal consultation,2,to,68.3
in past 12 months:,,informal consultation,3,%,31.2
in past 12 months:,,informal consultation,3,from,26.9
in past 12 months:,,informal consultation,3,to,35.9
in past 12 months:,perceived health care needs,none,1,%,12.0
in past 12 months:,perceived health care needs,none,1,from,7.2
in past 12 months:,perceived health care needs,none,1,to,19.3
in past 12 months:,perceived health care needs,none,2,%,23.6
in past 12 months:,perceived health care needs,none,2,from,20.2
in past 12 months:,perceived health care needs,none,2,to,27.4
in past 12 months:,perceived health care needs,none,3,%,74.9
in past 12 months:,perceived health care needs,none,3,from,70.5
in past 12 months:,perceived health care needs,none,3,to,78.9
in past 12 months:,perceived health care needs,all needs met,1,%,44.4
in past 12 months:,perceived health care needs,all needs met,1,from,35.4
in past 12 months:,perceived health care needs,all needs met,1,to,53.7
in past 12 months:,perceived health care needs,all needs met,2,%,42.2
in past 12 months:,perceived health care needs,all needs met,2,from,37.9
in past 12 months:,perceived health care needs,all needs met,2,to,46.7
in past 12 months:,perceived health care needs,all needs met,3,%,14.9
in past 12 months:,perceived health care needs,all needs met,3,from,11.9
in past 12 months:,perceived health care needs,all needs met,3,to,18.5
in past 12 months:,perceived health care needs,partially met or not met,1,%,39.3
in past 12 months:,perceived health care needs,partially met or not met,1,from,31.2
in past 12 months:,perceived health care needs,partially met or not met,1,to,48.1
in past 12 months:,perceived health care needs,partially met or not met,2,%,32.1
in past 12 months:,perceived health care needs,partially met or not met,2,from,28.2
in past 12 months:,perceived health care needs,partially met or not met,2,to,36.3
in past 12 months:,perceived health care needs,partially met or not met,3,%,9.6
in past 12 months:,perceived health care needs,partially met or not met,3,from,7.3
in past 12 months:,perceived health care needs,partially met or not met,3,to,12.7
