section,item,education_attainment,years_of_schooling,world_region,cohort,metric_type,value
level of education at landing,no postsecondary-0 to 9 years of schooling,no postsecondary,0 to 9 years of schooling,,all immigrants,percent,14.1
level of education at landing,no postsecondary-10 to 12 years of schooling,no postsecondary,10 to 12 years of schooling,,all immigrants,percent,25.5
level of education at landing,no postsecondary-13 or more years of schooling,no postsecondary,13 or more years of schooling,,all immigrants,percent,11.3
level of education at landing,trade certificate,,,,all immigrants,percent,7.3
level of education at landing,college certificate or diploma,,,,all immigrants,percent,16.9
level of education at landing,bachelor's degree,,,,all immigrants,percent,20.9
level of education at landing,master's degree,,,,all immigrants,percent,3.4
level of education at landing,doctorate,,,,all immigrants,percent,0.7
level of education at landing,not stated,,,,all immigrants,percent,0.0
world area of birth,europe,,,europe,all immigrants,percent,7.8
world area of birth,africa and the middle east,,,africa and the middle east,all immigrants,percent,24.4
world area of birth,southern asia,,,southern asia,all immigrants,percent,24.8
world area of birth,eastern asia,,,eastern asia,all immigrants,percent,6.6
world area of birth,oceania and other asia,,,oceania and other asia,all immigrants,percent,5.7
world area of birth,south and central america,,,south and central america,all immigrants,percent,30.9
world area of birth,united states or other,,,united states or other,all immigrants,percent,0.0
level of education at landing,no postsecondary-0 to 9 years of schooling,no postsecondary,0 to 9 years of schooling,,landed 1980–1989,percent,39.8
level of education at landing,no postsecondary-10 to 12 years of schooling,no postsecondary,10 to 12 years of schooling,,landed 1980–1989,percent,27.7
level of education at landing,no postsecondary-13 or more years of schooling,no postsecondary,13 or more years of schooling,,landed 1980–1989,percent,8.3
level of education at landing,trade certificate,,,,landed 1980–1989,percent,3.3
level of education at landing,college certificate or diploma,,,,landed 1980–1989,percent,6.5
level of education at landing,bachelor's degree,,,,landed 1980–1989,percent,13.1
level of education at landing,master's degree,,,,landed 1980–1989,percent,0.9
level of education at landing,doctorate,,,,landed 1980–1989,percent,0.3
level of education at landing,not stated,,,,landed 1980–1989,percent,0.0
world area of birth,europe,,,europe,landed 1980–1989,percent,1.7
world area of birth,africa and the middle east,,,africa and the middle east,landed 1980–1989,percent,47.8
world area of birth,southern asia,,,southern asia,landed 1980–1989,percent,1.2
world area of birth,eastern asia,,,eastern asia,landed 1980–1989,percent,0.5
world area of birth,oceania and other asia,,,oceania and other asia,landed 1980–1989,percent,24.0
world area of birth,south and central america,,,south and central america,landed 1980–1989,percent,24.8
world area of birth,united states or other,,,united states or other,landed 1980–1989,percent,0.0
level of education at landing,no postsecondary-0 to 9 years of schooling,no postsecondary,0 to 9 years of schooling,,landed 1990–1999,percent,25.5
level of education at landing,no postsecondary-10 to 12 years of schooling,no postsecondary,10 to 12 years of schooling,,landed 1990–1999,percent,43.4
level of education at landing,no postsecondary-13 or more years of schooling,no postsecondary,13 or more years of schooling,,landed 1990–1999,percent,9.6
level of education at landing,trade certificate,,,,landed 1990–1999,percent,4.9
level of education at landing,college certificate or diploma,,,,landed 1990–1999,percent,8.5
level of education at landing,bachelor's degree,,,,landed 1990–1999,percent,6.5
level of education at landing,master's degree,,,,landed 1990–1999,percent,1.2
level of education at landing,doctorate,,,,landed 1990–1999,percent,0.3
level of education at landing,not stated,,,,landed 1990–1999,percent,0.0
world area of birth,europe,,,europe,landed 1990–1999,percent,1.1
world area of birth,africa and the middle east,,,africa and the middle east,landed 1990–1999,percent,62.3
world area of birth,southern asia,,,southern asia,landed 1990–1999,percent,2.1
world area of birth,eastern asia,,,eastern asia,landed 1990–1999,percent,0.0
world area of birth,oceania and other asia,,,oceania and other asia,landed 1990–1999,percent,28.7
world area of birth,south and central america,,,south and central america,landed 1990–1999,percent,5.7
world area of birth,united states or other,,,united states or other,landed 1990–1999,percent,0.1
world area of birth,europe,,,europe,landed 2000–2003,percent,5.2
world area of birth,africa and the middle east,,,africa and the middle east,landed 2000–2003,percent,22.4
world area of birth,southern asia,,,southern asia,landed 2000–2003,percent,26.1
world area of birth,eastern asia,,,eastern asia,landed 2000–2003,percent,14.2
world area of birth,oceania and other asia,,,oceania and other asia,landed 2000–2003,percent,4.5
world area of birth,south and central america,,,south and central america,landed 2000–2003,percent,27.6
world area of birth,united states or other,,,united states or other,landed 2000–2003,percent,0.0
