year,song,country,country_variant,value,album
,,uk,,uk,
,,au,,au,
,,ca,,ca,
,,us,,us,
,,us,mod,us mod,
1977,hold back the night,uk,,24,the pink parker
1977,hold back the night,au,,-,the pink parker
1977,hold back the night,ca,,-,the pink parker
1977,hold back the night,us,,58,the pink parker
1977,hold back the night,us,mod,-,the pink parker
1977,(let me get) sweet on you,uk,,24,
1977,(let me get) sweet on you,au,,-,
1977,(let me get) sweet on you,ca,,-,
1977,(let me get) sweet on you,us,,107,
1977,(let me get) sweet on you,us,mod,-,
1978,the new york shuffle,uk,,-,stick to me
1978,the new york shuffle,au,,49,stick to me
1978,the new york shuffle,ca,,-,stick to me
1978,the new york shuffle,us,,-,stick to me
1978,the new york shuffle,us,mod,-,stick to me
1978,"hey lord, don't ask me questions",uk,,32,the parkerilla
1978,"hey lord, don't ask me questions",au,,24,the parkerilla
1978,"hey lord, don't ask me questions",ca,,-,the parkerilla
1978,"hey lord, don't ask me questions",us,,-,the parkerilla
1978,"hey lord, don't ask me questions",us,mod,-,the parkerilla
1979,protection,uk,,-,squeezing out sparks
1979,protection,au,,46,squeezing out sparks
1979,protection,ca,,-,squeezing out sparks
1979,protection,us,,-,squeezing out sparks
1979,protection,us,mod,-,squeezing out sparks
1979,discovering japan,uk,,-,
1979,discovering japan,au,,-,
1979,discovering japan,ca,,-,
1979,discovering japan,us,,-,
1979,discovering japan,us,mod,-,
1979,local girls,uk,,-,
1979,local girls,au,,-,
1979,local girls,ca,,-,
1979,local girls,us,,-,
1979,local girls,us,mod,-,
1979,i want you back,uk,,-,non-lp
1979,i want you back,au,,46,non-lp
1979,i want you back,ca,,-,non-lp
1979,i want you back,us,,103,non-lp
1979,i want you back,us,mod,-,non-lp
1982,temporary beauty,uk,,50,another grey area
1982,temporary beauty,au,,-,another grey area
1982,temporary beauty,ca,,-,another grey area
1982,temporary beauty,us,,-,another grey area
1982,temporary beauty,us,mod,-,another grey area
1983,life gets better,uk,,-,the real macaw
1983,life gets better,au,,35,the real macaw
1983,life gets better,ca,,-,the real macaw
1983,life gets better,us,,94,the real macaw
1983,life gets better,us,mod,-,the real macaw
1985,wake up,uk,,-,steady nerves
1985,wake up,au,,-,steady nerves
1985,wake up,ca,,94,steady nerves
1985,wake up,us,,39,steady nerves
1985,wake up,us,mod,-,steady nerves
1988,get started. start a fire,uk,,-,the mona lisa's sister
1988,get started. start a fire,au,,-,the mona lisa's sister
1988,get started. start a fire,ca,,85,the mona lisa's sister
1988,get started. start a fire,us,,-,the mona lisa's sister
1988,get started. start a fire,us,mod,-,the mona lisa's sister
1988,don't let it break you down,uk,,-,
1988,don't let it break you down,au,,-,
1988,don't let it break you down,ca,,-,
1988,don't let it break you down,us,,-,
1988,don't let it break you down,us,mod,27,
1989,big man on paper,uk,,-,human soul
1989,big man on paper,au,,-,human soul
1989,big man on paper,ca,,-,human soul
1989,big man on paper,us,,-,human soul
1989,big man on paper,us,mod,18,human soul
