geographic_unit,administrative_scope,expenditure_category,measure_type,unit,value
newfoundland and labrador,provincial_and_territorial,total,expenditure_value,thousands_of_dollars,
newfoundland and labrador,provincial_and_territorial,total,percentage_change,percent,
newfoundland and labrador,provincial_and_territorial,provincial_total,expenditure_value,thousands_of_dollars,57702.0
newfoundland and labrador,provincial_and_territorial,provincial_total,percentage_change,percent,3.0
newfoundland and labrador,provincial_and_territorial,contract_policing,expenditure_value,thousands_of_dollars,77689.0
newfoundland and labrador,provincial_and_territorial,federal_and_international,expenditure_value,thousands_of_dollars,10630.0
newfoundland and labrador,provincial_and_territorial,operational_support,expenditure_value,thousands_of_dollars,8223.0
prince edward island,provincial_and_territorial,total,expenditure_value,thousands_of_dollars,13205.0
prince edward island,provincial_and_territorial,total,percentage_change,percent,5.1
prince edward island,provincial_and_territorial,provincial_total,expenditure_value,thousands_of_dollars,
prince edward island,provincial_and_territorial,provincial_total,percentage_change,percent,
prince edward island,provincial_and_territorial,contract_policing,expenditure_value,thousands_of_dollars,16117.0
prince edward island,provincial_and_territorial,federal_and_international,expenditure_value,thousands_of_dollars,2702.0
prince edward island,provincial_and_territorial,operational_support,expenditure_value,thousands_of_dollars,2099.0
nova scotia,provincial_and_territorial,total,expenditure_value,thousands_of_dollars,134078.0
nova scotia,provincial_and_territorial,total,percentage_change,percent,1.1
nova scotia,provincial_and_territorial,provincial_total,expenditure_value,thousands_of_dollars,
nova scotia,provincial_and_territorial,provincial_total,percentage_change,percent,
nova scotia,provincial_and_territorial,contract_policing,expenditure_value,thousands_of_dollars,130268.0
nova scotia,provincial_and_territorial,federal_and_international,expenditure_value,thousands_of_dollars,17231.0
nova scotia,provincial_and_territorial,operational_support,expenditure_value,thousands_of_dollars,13590.0
new brunswick,provincial_and_territorial,total,expenditure_value,thousands_of_dollars,67300.0
new brunswick,provincial_and_territorial,total,percentage_change,percent,-0.2
new brunswick,provincial_and_territorial,provincial_total,expenditure_value,thousands_of_dollars,
new brunswick,provincial_and_territorial,provincial_total,percentage_change,percent,
new brunswick,provincial_and_territorial,contract_policing,expenditure_value,thousands_of_dollars,111302.0
new brunswick,provincial_and_territorial,federal_and_international,expenditure_value,thousands_of_dollars,16952.0
new brunswick,provincial_and_territorial,operational_support,expenditure_value,thousands_of_dollars,23013.0
quebec,provincial_and_territorial,total,expenditure_value,thousands_of_dollars,1599561.0
quebec,provincial_and_territorial,total,percentage_change,percent,-0.4
quebec,provincial_and_territorial,provincial_total,expenditure_value,thousands_of_dollars,940474.0
quebec,provincial_and_territorial,provincial_total,percentage_change,percent,-3.5
quebec,provincial_and_territorial,contract_policing,expenditure_value,thousands_of_dollars,
quebec,provincial_and_territorial,federal_and_international,expenditure_value,thousands_of_dollars,118878.0
quebec,provincial_and_territorial,operational_support,expenditure_value,thousands_of_dollars,39809.0
ontario,provincial_and_territorial,total,expenditure_value,thousands_of_dollars,3809701.0
ontario,provincial_and_territorial,total,percentage_change,percent,2.7
ontario,provincial_and_territorial,provincial_total,expenditure_value,thousands_of_dollars,1187245.0
ontario,provincial_and_territorial,provincial_total,percentage_change,percent,5.9
ontario,provincial_and_territorial,contract_policing,expenditure_value,thousands_of_dollars,26.0
ontario,provincial_and_territorial,federal_and_international,expenditure_value,thousands_of_dollars,260896.0
ontario,provincial_and_territorial,operational_support,expenditure_value,thousands_of_dollars,50357.0
manitoba,provincial_and_territorial,total,expenditure_value,thousands_of_dollars,287359.0
manitoba,provincial_and_territorial,total,percentage_change,percent,0.4
manitoba,provincial_and_territorial,provincial_total,expenditure_value,thousands_of_dollars,
manitoba,provincial_and_territorial,provincial_total,percentage_change,percent,
manitoba,provincial_and_territorial,contract_policing,expenditure_value,thousands_of_dollars,166459.0
manitoba,provincial_and_territorial,federal_and_international,expenditure_value,thousands_of_dollars,14162.0
manitoba,provincial_and_territorial,operational_support,expenditure_value,thousands_of_dollars,28219.0
saskatchewan,provincial_and_territorial,total,expenditure_value,thousands_of_dollars,190228.0
saskatchewan,provincial_and_territorial,total,percentage_change,percent,6.0
saskatchewan,provincial_and_territorial,provincial_total,expenditure_value,thousands_of_dollars,
saskatchewan,provincial_and_territorial,provincial_total,percentage_change,percent,
saskatchewan,provincial_and_territorial,contract_policing,expenditure_value,thousands_of_dollars,202041.0
saskatchewan,provincial_and_territorial,federal_and_international,expenditure_value,thousands_of_dollars,15084.0
saskatchewan,provincial_and_territorial,operational_support,expenditure_value,thousands_of_dollars,19998.0
alberta,provincial_and_territorial,total,expenditure_value,thousands_of_dollars,907697.0
alberta,provincial_and_territorial,total,percentage_change,percent,3.9
alberta,provincial_and_territorial,provincial_total,expenditure_value,thousands_of_dollars,
alberta,provincial_and_territorial,provincial_total,percentage_change,percent,
alberta,provincial_and_territorial,contract_policing,expenditure_value,thousands_of_dollars,442995.0
alberta,provincial_and_territorial,federal_and_international,expenditure_value,thousands_of_dollars,36915.0
alberta,provincial_and_territorial,operational_support,expenditure_value,thousands_of_dollars,32474.0
british columbia,provincial_and_territorial,total,expenditure_value,thousands_of_dollars,516866.0
british columbia,provincial_and_territorial,total,percentage_change,percent,1.9
british columbia,provincial_and_territorial,provincial_total,expenditure_value,thousands_of_dollars,
british columbia,provincial_and_territorial,provincial_total,percentage_change,percent,
british columbia,provincial_and_territorial,contract_policing,expenditure_value,thousands_of_dollars,873743.0
british columbia,provincial_and_territorial,federal_and_international,expenditure_value,thousands_of_dollars,95311.0
british columbia,provincial_and_territorial,operational_support,expenditure_value,thousands_of_dollars,76600.0
yukon,provincial_and_territorial,total,expenditure_value,thousands_of_dollars,
yukon,provincial_and_territorial,total,percentage_change,percent,
yukon,provincial_and_territorial,provincial_total,expenditure_value,thousands_of_dollars,
yukon,provincial_and_territorial,provincial_total,percentage_change,percent,
yukon,provincial_and_territorial,contract_policing,expenditure_value,thousands_of_dollars,30666.0
yukon,provincial_and_territorial,federal_and_international,expenditure_value,thousands_of_dollars,1885.0
yukon,provincial_and_territorial,operational_support,expenditure_value,thousands_of_dollars,3593.0
northwest territories,provincial_and_territorial,total,expenditure_value,thousands_of_dollars,
northwest territories,provincial_and_territorial,total,percentage_change,percent,
northwest territories,provincial_and_territorial,provincial_total,expenditure_value,thousands_of_dollars,
northwest territories,provincial_and_territorial,provincial_total,percentage_change,percent,
northwest territories,provincial_and_territorial,contract_policing,expenditure_value,thousands_of_dollars,52690.0
northwest territories,provincial_and_territorial,federal_and_international,expenditure_value,thousands_of_dollars,2317.0
northwest territories,provincial_and_territorial,operational_support,expenditure_value,thousands_of_dollars,3470.0
nunavut,provincial_and_territorial,total,expenditure_value,thousands_of_dollars,
nunavut,provincial_and_territorial,total,percentage_change,percent,
nunavut,provincial_and_territorial,provincial_total,expenditure_value,thousands_of_dollars,
nunavut,provincial_and_territorial,provincial_total,percentage_change,percent,
nunavut,provincial_and_territorial,contract_policing,expenditure_value,thousands_of_dollars,47335.0
nunavut,provincial_and_territorial,federal_and_international,expenditure_value,thousands_of_dollars,1928.0
nunavut,provincial_and_territorial,operational_support,expenditure_value,thousands_of_dollars,4281.0
