city,metric_type,index_variant,time_delta,value
st. john's,number,,,207695.0
st. john's,index,A,,79.2
st. john's,percent_change,A,2015_to_2016,7.0
st. john's,percent_change,A,2006_to_2016,-14.0
st. john's,index,B,,88.9
st. john's,percent_change,B,2015_to_2016,11.0
st. john's,index,C,,75.5
st. john's,percent_change,C,2015_to_2016,5.0
halifax,number,,,426083.0
halifax,index,A,,61.0
halifax,percent_change,A,2015_to_2016,-4.0
halifax,percent_change,A,2006_to_2016,-50.0
halifax,index,B,,77.3
halifax,percent_change,B,2015_to_2016,-5.0
halifax,index,C,,55.0
halifax,percent_change,C,2015_to_2016,-3.0
moncton,number,,,157321.0
moncton,index,A,,75.7
moncton,percent_change,A,2015_to_2016,-4.0
moncton,percent_change,A,2006_to_2016,
moncton,index,B,,79.3
moncton,percent_change,B,2015_to_2016,7.0
moncton,index,C,,74.2
moncton,percent_change,C,2015_to_2016,-7.0
saint john,number,,,127930.0
saint john,index,A,,52.7
saint john,percent_change,A,2015_to_2016,-6.0
saint john,percent_change,A,2006_to_2016,
saint john,index,B,,63.8
saint john,percent_change,B,2015_to_2016,-3.0
saint john,index,C,,48.5
saint john,percent_change,C,2015_to_2016,-7.0
saguenay,number,,,167054.0
saguenay,index,A,,56.9
saguenay,percent_change,A,2015_to_2016,6.0
saguenay,percent_change,A,2006_to_2016,-2.0
saguenay,index,B,,67.7
saguenay,percent_change,B,2015_to_2016,10.0
saguenay,index,C,,52.9
saguenay,percent_change,C,2015_to_2016,4.0
quebec,number,,,800570.0
quebec,index,A,,45.2
quebec,percent_change,A,2015_to_2016,8.0
quebec,percent_change,A,2006_to_2016,-38.0
quebec,index,B,,51.5
quebec,percent_change,B,2015_to_2016,17.0
quebec,index,C,,42.8
quebec,percent_change,C,2015_to_2016,4.0
sherbrooke,number,,,199344.0
sherbrooke,index,A,,50.3
sherbrooke,percent_change,A,2015_to_2016,1.0
sherbrooke,percent_change,A,2006_to_2016,-38.0
sherbrooke,index,B,,55.6
sherbrooke,percent_change,B,2015_to_2016,25.0
sherbrooke,index,C,,48.2
sherbrooke,percent_change,C,2015_to_2016,-6.0
trois-rivieres,number,,,156649.0
trois-rivieres,index,A,,48.7
trois-rivieres,percent_change,A,2015_to_2016,-14.0
trois-rivieres,percent_change,A,2006_to_2016,-34.0
trois-rivieres,index,B,,46.2
trois-rivieres,percent_change,B,2015_to_2016,-23.0
trois-rivieres,index,C,,49.5
trois-rivieres,percent_change,C,2015_to_2016,-10.0
montreal,number,,,4102619.0
montreal,index,A,,57.8
montreal,percent_change,A,2015_to_2016,-5.0
montreal,percent_change,A,2006_to_2016,-44.0
montreal,index,B,,73.1
montreal,percent_change,B,2015_to_2016,-4.0
montreal,index,C,,52.1
montreal,percent_change,C,2015_to_2016,-5.0
gatineau,number,,,331114.0
gatineau,index,A,,56.7
gatineau,percent_change,A,2015_to_2016,6.0
gatineau,percent_change,A,2006_to_2016,-34.0
gatineau,index,B,,63.8
gatineau,percent_change,B,2015_to_2016,15.0
gatineau,index,C,,54.0
gatineau,percent_change,C,2015_to_2016,3.0
ottawa,number,,,1013615.0
ottawa,index,A,,51.3
ottawa,percent_change,A,2015_to_2016,10.0
ottawa,percent_change,A,2006_to_2016,-37.0
ottawa,index,B,,62.1
ottawa,percent_change,B,2015_to_2016,15.0
ottawa,index,C,,47.2
ottawa,percent_change,C,2015_to_2016,8.0
kingston,number,,,167773.0
kingston,index,A,,55.2
kingston,percent_change,A,2015_to_2016,-2.0
kingston,percent_change,A,2006_to_2016,-30.0
kingston,index,B,,38.5
kingston,percent_change,B,2015_to_2016,-29.0
kingston,index,C,,61.2
kingston,percent_change,C,2015_to_2016,7.0
peterborough,number,,,123555.0
peterborough,index,A,,55.1
peterborough,percent_change,A,2015_to_2016,0.0
peterborough,percent_change,A,2006_to_2016,-31.0
peterborough,index,B,,68.9
peterborough,percent_change,B,2015_to_2016,20.0
peterborough,index,C,,50.0
peterborough,percent_change,C,2015_to_2016,-7.0
