region,year,value
newfoundland and labrador,2017,13505
prince edward island,2017,9593
nova scotia,2017,11070
new brunswick,2017,8347
quebec,2017,11992
ontario,2017,9849
manitoba,2017,8630
saskatchewan,2017,4479
alberta,2017,-11134
british columbia,2017,2330
yukon,2017,-14652
northwest territories,2017,-10630
nunavut,2017,-6208
canada,2017,6888
newfoundland and labrador,2018,11531
prince edward island,2018,9632
nova scotia,2018,11027
new brunswick,2018,8671
quebec,2018,12961
ontario,2018,10650
manitoba,2018,8426
saskatchewan,2018,2573
alberta,2018,-8910
british columbia,2018,2898
yukon,2018,-13091
northwest territories,2018,-9373
nunavut,2018,-4262
canada,2018,7620
newfoundland and labrador,2019,10497
prince edward island,2019,10642
nova scotia,2019,11752
new brunswick,2019,9920
quebec,2019,14885
ontario,2019,13043
manitoba,2019,8583
saskatchewan,2019,3106
alberta,2019,-8581
british columbia,2019,3555
yukon,2019,-12022
northwest territories,2019,-7254
nunavut,2019,-4264
canada,2019,9165
newfoundland and labrador,2020,9577
prince edward island,2020,10824
nova scotia,2020,11428
new brunswick,2020,11120
quebec,2020,15785
ontario,2020,14850
manitoba,2020,9535
saskatchewan,2020,2869
alberta,2020,-7271
british columbia,2020,3989
yukon,2020,-10098
northwest territories,2020,-1685
nunavut,2020,-4746
canada,2020,10306
newfoundland and labrador,2021,8660
prince edward island,2021,12554
nova scotia,2021,12297
new brunswick,2021,12301
quebec,2021,16336
ontario,2021,16896
manitoba,2021,11936
saskatchewan,2021,4132
alberta,2021,-6281
british columbia,2021,5495
yukon,2021,-10762
northwest territories,2021,-10
nunavut,2021,-6555
canada,2021,11673
newfoundland and labrador,2022,9175
prince edward island,2022,12910
nova scotia,2022,12564
new brunswick,2022,12912
quebec,2022,17043
ontario,2022,17734
manitoba,2022,12832
saskatchewan,2022,3687
alberta,2022,-5874
british columbia,2022,5581
yukon,2022,-13436
northwest territories,2022,-1894
nunavut,2022,-11654
canada,2022,12215
