section,subgroup,metric,year,value
None,,percent,2013,2013.0
None,,percent,2010,2010.0
None,,percent,2007,2007.0
None,,percent,2004,2004.0
None,,mean number of hours,2013,2013.0
None,,mean number of hours,2010,2010.0
None,,mean number of hours,2007,2007.0
None,,mean number of hours,2004,2004.0
sex,men,percent,2013,42.0
sex,men,percent,2010,46.0
sex,men,percent,2007,45.0
sex,men,percent,2004,44.0
sex,men,mean number of hours,2013,164.0
sex,men,mean number of hours,2010,153.0
sex,men,mean number of hours,2007,168.0
sex,men,mean number of hours,2004,168.0
sex,women,percent,2013,45.0
sex,women,percent,2010,48.0
sex,women,percent,2007,47.0
sex,women,percent,2004,47.0
sex,women,mean number of hours,2013,145.0
sex,women,mean number of hours,2010,158.0
sex,women,mean number of hours,2007,164.0
sex,women,mean number of hours,2004,168.0
age group,15 to 19,percent,2013,66.0
age group,15 to 19,percent,2010,66.0
age group,15 to 19,percent,2007,65.0
age group,15 to 19,percent,2004,65.0
age group,15 to 19,mean number of hours,2013,110.0
age group,15 to 19,mean number of hours,2010,115.0
age group,15 to 19,mean number of hours,2007,116.0
age group,15 to 19,mean number of hours,2004,127.0
age group,20 to 24,percent,2013,42.0
age group,20 to 24,percent,2010,48.0
age group,20 to 24,percent,2007,47.0
age group,20 to 24,percent,2004,43.0
age group,20 to 24,mean number of hours,2013,147.0
age group,20 to 24,mean number of hours,2010,159.0
age group,20 to 24,mean number of hours,2007,182.0
age group,20 to 24,mean number of hours,2004,161.0
age group,25 to 34,percent,2013,42.0
age group,25 to 34,percent,2010,46.0
age group,25 to 34,percent,2007,40.0
age group,25 to 34,percent,2004,42.0
age group,25 to 34,mean number of hours,2013,126.0
age group,25 to 34,mean number of hours,2010,109.0
age group,25 to 34,mean number of hours,2007,133.0
age group,25 to 34,mean number of hours,2004,137.0
age group,35 to 44,percent,2013,48.0
age group,35 to 44,percent,2010,54.0
age group,35 to 44,percent,2007,52.0
age group,35 to 44,percent,2004,51.0
age group,35 to 44,mean number of hours,2013,122.0
age group,35 to 44,mean number of hours,2010,136.0
age group,35 to 44,mean number of hours,2007,158.0
age group,35 to 44,mean number of hours,2004,152.0
age group,45 to 54,percent,2013,45.0
age group,45 to 54,percent,2010,45.0
age group,45 to 54,percent,2007,48.0
age group,45 to 54,percent,2004,47.0
age group,45 to 54,mean number of hours,2013,150.0
age group,45 to 54,mean number of hours,2010,168.0
age group,45 to 54,mean number of hours,2007,169.0
age group,45 to 54,mean number of hours,2004,176.0
age group,55 to 64,percent,2013,41.0
age group,55 to 64,percent,2010,41.0
age group,55 to 64,percent,2007,40.0
age group,55 to 64,percent,2004,42.0
age group,55 to 64,mean number of hours,2013,203.0
age group,55 to 64,mean number of hours,2010,201.0
age group,55 to 64,mean number of hours,2007,206.0
age group,55 to 64,mean number of hours,2004,202.0
age group,65 to 74,percent,2013,38.0
age group,65 to 74,percent,2010,40.0
age group,65 to 74,percent,2007,40.0
age group,65 to 74,percent,2004,39.0
age group,65 to 74,mean number of hours,2013,231.0
age group,65 to 74,mean number of hours,2010,236.0
age group,65 to 74,mean number of hours,2007,216.0
age group,65 to 74,mean number of hours,2004,250.0
age group,75 years and older,percent,2013,27.0
age group,75 years and older,percent,2010,31.0
age group,75 years and older,percent,2007,29.0
age group,75 years and older,percent,2004,23.0
age group,75 years and older,mean number of hours,2013,196.0
age group,75 years and older,mean number of hours,2010,198.0
age group,75 years and older,mean number of hours,2007,222.0
age group,75 years and older,mean number of hours,2004,234.0
marital status,married or common-law,percent,2013,44.0
marital status,married or common-law,percent,2010,47.0
marital status,married or common-law,percent,2007,47.0
marital status,married or common-law,percent,2004,46.0
marital status,married or common-law,mean number of hours,2013,156.0
marital status,married or common-law,mean number of hours,2010,160.0
marital status,married or common-law,mean number of hours,2007,168.0
marital status,married or common-law,mean number of hours,2004,172.0
marital status,"single, never married",percent,2013,47.0
marital status,"single, never married",percent,2010,51.0
marital status,"single, never married",percent,2007,48.0
marital status,"single, never married",percent,2004,48.0
marital status,"single, never married",mean number of hours,2013,139.0
marital status,"single, never married",mean number of hours,2010,134.0
marital status,"single, never married",mean number of hours,2007,153.0
marital status,"single, never married",mean number of hours,2004,148.0
marital status,separated or divorced,percent,2013,37.0
marital status,separated or divorced,percent,2010,42.0
marital status,separated or divorced,percent,2007,39.0
marital status,separated or divorced,percent,2004,43.0
marital status,separated or divorced,mean number of hours,2013,167.0
marital status,separated or divorced,mean number of hours,2010,183.0
marital status,separated or divorced,mean number of hours,2007,197.0
marital status,separated or divorced,mean number of hours,2004,199.0
marital status,widowed,percent,2013,27.0
marital status,widowed,percent,2010,32.0
marital status,widowed,percent,2007,31.0
marital status,widowed,percent,2004,28.0
marital status,widowed,mean number of hours,2013,228.0
marital status,widowed,mean number of hours,2010,204.0
marital status,widowed,mean number of hours,2007,179.0
marital status,widowed,mean number of hours,2004,201.0
level of education,less than high school,percent,2013,39.0
level of education,less than high school,percent,2010,37.0
level of education,less than high school,percent,2007,39.0
level of education,less than high school,percent,2004,37.0
level of education,less than high school,mean number of hours,2013,159.0
level of education,less than high school,mean number of hours,2010,148.0
level of education,less than high school,mean number of hours,2007,136.0
level of education,less than high school,mean number of hours,2004,140.0
level of education,high school diploma,percent,2013,37.0
level of education,high school diploma,percent,2010,47.0
level of education,high school diploma,percent,2007,44.0
level of education,high school diploma,percent,2004,45.0
level of education,high school diploma,mean number of hours,2013,142.0
level of education,high school diploma,mean number of hours,2010,171.0
level of education,high school diploma,mean number of hours,2007,152.0
level of education,high school diploma,mean number of hours,2004,163.0
level of education,post-secondary diploma or certificate,percent,2013,42.0
level of education,post-secondary diploma or certificate,percent,2010,45.0
level of education,post-secondary diploma or certificate,percent,2007,47.0
level of education,post-secondary diploma or certificate,percent,2004,46.0
level of education,post-secondary diploma or certificate,mean number of hours,2013,142.0
level of education,post-secondary diploma or certificate,mean number of hours,2010,140.0
level of education,post-secondary diploma or certificate,mean number of hours,2007,168.0
level of education,post-secondary diploma or certificate,mean number of hours,2004,172.0
level of education,university degree,percent,2013,55.0
level of education,university degree,percent,2010,58.0
level of education,university degree,percent,2007,57.0
level of education,university degree,percent,2004,59.0
level of education,university degree,mean number of hours,2013,170.0
level of education,university degree,mean number of hours,2010,160.0
level of education,university degree,mean number of hours,2007,187.0
level of education,university degree,mean number of hours,2004,180.0
labour force participation,employed,percent,2013,46.0
labour force participation,employed,percent,2010,50.0
labour force participation,employed,percent,2007,50.0
labour force participation,employed,percent,2004,50.0
labour force participation,employed,mean number of hours,2013,133.0
labour force participation,employed,mean number of hours,2010,139.0
labour force participation,employed,mean number of hours,2007,150.0
labour force participation,employed,mean number of hours,2004,152.0
labour force participation,unemployed,percent,2013,45.0
labour force participation,unemployed,percent,2010,34.0
labour force participation,unemployed,percent,2007,38.0
labour force participation,unemployed,percent,2004,42.0
labour force participation,unemployed,mean number of hours,2013,182.0
labour force participation,unemployed,mean number of hours,2010,132.0
labour force participation,unemployed,mean number of hours,2007,205.0
labour force participation,unemployed,mean number of hours,2004,236.0
labour force participation,not in the labour force,percent,2013,38.0
labour force participation,not in the labour force,percent,2010,44.0
labour force participation,not in the labour force,percent,2007,44.0
labour force participation,not in the labour force,percent,2004,43.0
labour force participation,not in the labour force,mean number of hours,2013,191.0
labour force participation,not in the labour force,mean number of hours,2010,189.0
labour force participation,not in the labour force,mean number of hours,2007,190.0
labour force participation,not in the labour force,mean number of hours,2004,199.0
presence of children in the household,no child,percent,2013,38.0
presence of children in the household,no child,percent,2010,41.0
presence of children in the household,no child,percent,2007,39.0
presence of children in the household,no child,percent,2004,40.0
presence of children in the household,no child,mean number of hours,2013,169.0
presence of children in the household,no child,mean number of hours,2010,175.0
presence of children in the household,no child,mean number of hours,2007,184.0
presence of children in the household,no child,mean number of hours,2004,191.0
presence of children in the household,pre-school aged children only,percent,2013,37.0
presence of children in the household,pre-school aged children only,percent,2010,45.0
presence of children in the household,pre-school aged children only,percent,2007,41.0
presence of children in the household,pre-school aged children only,percent,2004,43.0
presence of children in the household,pre-school aged children only,mean number of hours,2013,122.0
presence of children in the household,pre-school aged children only,mean number of hours,2010,87.0
presence of children in the household,pre-school aged children only,mean number of hours,2007,110.0
presence of children in the household,pre-school aged children only,mean number of hours,2004,126.0
presence of children in the household,both pre-school and school-aged children,percent,2013,52.0
presence of children in the household,both pre-school and school-aged children,percent,2010,56.0
presence of children in the household,both pre-school and school-aged children,percent,2007,54.0
presence of children in the household,both pre-school and school-aged children,percent,2004,53.0
presence of children in the household,both pre-school and school-aged children,mean number of hours,2013,121.0
presence of children in the household,both pre-school and school-aged children,mean number of hours,2010,122.0
presence of children in the household,both pre-school and school-aged children,mean number of hours,2007,147.0
presence of children in the household,both pre-school and school-aged children,mean number of hours,2004,141.0
presence of children in the household,school-aged children only,percent,2013,59.0
presence of children in the household,school-aged children only,percent,2010,59.0
presence of children in the household,school-aged children only,percent,2007,62.0
presence of children in the household,school-aged children only,percent,2004,59.0
presence of children in the household,school-aged children only,mean number of hours,2013,139.0
presence of children in the household,school-aged children only,mean number of hours,2010,146.0
presence of children in the household,school-aged children only,mean number of hours,2007,153.0
presence of children in the household,school-aged children only,mean number of hours,2004,142.0
religious attendance,weekly,percent,2013,59.0
religious attendance,weekly,percent,2010,65.0
religious attendance,weekly,percent,2007,66.0
religious attendance,weekly,percent,2004,62.0
religious attendance,weekly,mean number of hours,2013,215.0
religious attendance,weekly,mean number of hours,2010,202.0
religious attendance,weekly,mean number of hours,2007,232.0
religious attendance,weekly,mean number of hours,2004,230.0
religious attendance,other,percent,2013,40.0
religious attendance,other,percent,2010,44.0
religious attendance,other,percent,2007,43.0
religious attendance,other,percent,2004,43.0
religious attendance,other,mean number of hours,2013,133.0
religious attendance,other,mean number of hours,2010,141.0
religious attendance,other,mean number of hours,2007,142.0
religious attendance,other,mean number of hours,2004,147.0
birthplace,canada,percent,2013,45.0
birthplace,canada,percent,2010,49.0
birthplace,canada,percent,2007,47.0
birthplace,canada,percent,2004,46.0
