support_type,cohort,percentage
any type of support,A,55.0
use of facilities or equipment,A,27.0
paid time off or time to spend volunteering,A,20.0
approval to change work hours or reduce work activities,A,34.0
recognition or letter of thanks,A,19.0
other,A,3.0
"donated prizes, gift certificates",A,1.0
donated financially to the organization,A,1.0
donated t-shirts or company goods,A,1.0
"sponsored an event, paid entry fee or membership fee",A,1.0
provided transportation,A,0.0
any type of support,B,57.0
use of facilities or equipment,B,30.0
paid time off or time to spend volunteering,B,20.0
approval to change work hours or reduce work activities,B,35.0
recognition or letter of thanks,B,24.0
other,B,4.0
"donated prizes, gift certificates",B,2.0
donated financially to the organization,B,1.0
donated t-shirts or company goods,B,1.0
"sponsored an event, paid entry fee or membership fee",B,1.0
provided transportation,B,
