reason,cohort,count
financial costs,9,18
did not know how to become involved,9,24
gave enough time already,9,24
health problems or not physically able,9,25
no interest,9,29
no one asked,9,49
prefer to give money instead,9,54
inability to make long-term commitment,9,62
did not have the time,9,66
financial costs,7,17
did not know how to become involved,7,22
gave enough time already,7,17
health problems or not physically able,7,26
no interest,7,27
no one asked,7,45
prefer to give money instead,7,52
inability to make long-term commitment,7,62
did not have the time,7,67
financial costs,8,18
did not know how to become involved,8,24
gave enough time already,8,15
health problems or not physically able,8,27
no interest,8,26
no one asked,8,44
prefer to give money instead,8,53
inability to make long-term commitment,8,62
did not have the time,8,68
financial costs,6,15
did not know how to become involved,6,22
gave enough time already,6,15
health problems or not physically able,6,26
no interest,6,23
no one asked,6,40
prefer to give money instead,6,49
inability to make long-term commitment,6,58
did not have the time,6,67
