activity,cohort,value
health-related or personal care,59,49
"shopping, driving to store or appointment",59,45
paperwork,59,27
"teaching, coaching or tutoring",59,15
other,59,22
health-related or personal care,61,53
"shopping, driving to store or appointment",61,47
paperwork,61,29
"teaching, coaching or tutoring",61,17
other,61,24
health-related or personal care,60,53
"shopping, driving to store or appointment",60,47
paperwork,60,29
"teaching, coaching or tutoring",60,16
other,60,25
health-related or personal care,60,50
"shopping, driving to store or appointment",60,46
paperwork,60,28
"teaching, coaching or tutoring",60,16
other,60,24
