aboriginal_identity,population_scope,number,percent
nan,Aboriginal identity population,0,0.0
nan,Total Canadian population,0,0.0
first nations,Aboriginal identity population,4135,26.2
first nations,Total Canadian population,977230,58.4
metis,Aboriginal identity population,10960,69.5
metis,Total Canadian population,587545,35.1
inuit,Aboriginal identity population,115,0.7
inuit,Total Canadian population,65025,3.9
multiple aboriginal identities,Aboriginal identity population,300,1.9
multiple aboriginal identities,Total Canadian population,21310,1.3
aboriginal identities not included elsewhere,Aboriginal identity population,255,1.6
aboriginal identities not included elsewhere,Total Canadian population,22670,1.4
