occupation,category,percent
mine service workers and operators in oil and gas drilling,1,0.01
central control and process operators in processing and manufacturing,1,0.01
train crew operating occupations,1,0.0
"contractors and supervisors, industrial, electrical and construction trades and related workers",1,0.06
"other installers, repairers and servicers",1,0.03
other transport equipment operators and related maintenance workers,1,0.02
"underground miners, oil and gas drillers and related occupations",1,0.02
logging machinery operators,1,0.0
"contractors and supervisors, mining, oil and gas",1,0.01
"supervisors, logging and forestry",1,0.0
"machining, metal forming, shaping and erecting trades",1,0.05
masonry and plastering trades,1,0.02
automotive service technicians,1,0.04
heavy equipment operators,1,0.03
electrical trades and electrical power line and telecommunications workers,1,0.04
machinery and transportation equipment mechanics,1,0.04
"plumbers, pipefitters and gas fitters",1,0.01
carpenters and cabinetmakers,1,0.02
other mechanics and related repairers,1,0.0
"crane operators, drillers and blasters",1,0.0
mine service workers and operators in oil and gas drilling,2,0.08
central control and process operators in processing and manufacturing,2,0.14
train crew operating occupations,2,0.06
"contractors and supervisors, industrial, electrical and construction trades and related workers",2,1.08
"other installers, repairers and servicers",2,0.49
other transport equipment operators and related maintenance workers,2,0.29
"underground miners, oil and gas drillers and related occupations",2,0.35
logging machinery operators,2,0.08
"contractors and supervisors, mining, oil and gas",2,0.19
"supervisors, logging and forestry",2,0.03
"machining, metal forming, shaping and erecting trades",2,1.31
masonry and plastering trades,2,0.57
automotive service technicians,2,1.06
heavy equipment operators,2,0.9
electrical trades and electrical power line and telecommunications workers,2,1.31
machinery and transportation equipment mechanics,2,1.49
"plumbers, pipefitters and gas fitters",2,0.62
carpenters and cabinetmakers,2,1.11
other mechanics and related repairers,2,0.21
"crane operators, drillers and blasters",2,0.14
mine service workers and operators in oil and gas drilling,3,0.08
central control and process operators in processing and manufacturing,3,0.13
train crew operating occupations,3,0.05
"contractors and supervisors, industrial, electrical and construction trades and related workers",3,1.01
"other installers, repairers and servicers",3,0.46
other transport equipment operators and related maintenance workers,3,0.28
"underground miners, oil and gas drillers and related occupations",3,0.33
logging machinery operators,3,0.08
"contractors and supervisors, mining, oil and gas",3,0.18
"supervisors, logging and forestry",3,0.03
"machining, metal forming, shaping and erecting trades",3,1.26
masonry and plastering trades,3,0.55
automotive service technicians,3,1.03
heavy equipment operators,3,0.87
electrical trades and electrical power line and telecommunications workers,3,1.27
machinery and transportation equipment mechanics,3,1.46
"plumbers, pipefitters and gas fitters",3,0.6
carpenters and cabinetmakers,3,1.09
other mechanics and related repairers,3,0.21
"crane operators, drillers and blasters",3,0.14
