team,season,division,season_instance,apps,goals
watford,2001-02,first division,1,0.0,0.0
watford,2001-02,first division,2,0.0,0.0
watford,2001-02,first division,3,0.0,0.0
watford,2002-03,first division,1,4.0,0.0
watford,2002-03,first division,2,0.0,0.0
watford,2002-03,first division,3,0.0,0.0
watford,2003-04,first division,1,0.0,0.0
watford,2003-04,first division,2,0.0,0.0
watford,2003-04,first division,3,0.0,0.0
watford,2004-05,championship,1,33.0,0.0
watford,2004-05,championship,2,5.0,0.0
watford,2004-05,championship,3,0.0,0.0
watford,2005-06,championship,1,0.0,0.0
watford,2005-06,championship,3,0.0,0.0
watford,2005-06,championship,4,0.0,0.0
watford,2006-07,premier league,1,10.0,0.0
watford,2006-07,premier league,2,2.0,0.0
watford,2006-07,premier league,3,2.0,0.0
watford,2007-08,championship,1,35.0,0.0
watford,2007-08,championship,2,2.0,0.0
watford,2007-08,championship,3,2.0,0.0
watford,2007-08,championship,4,2.0,0.0
watford,2008-09,championship,1,10.0,0.0
watford,2008-09,championship,2,1.0,0.0
watford,2008-09,championship,3,0.0,0.0
watford,2009-10,championship,1,0.0,0.0
watford,2009-10,championship,2,2.0,0.0
watford,2009-10,championship,3,0.0,0.0
blackburn rovers,2005-06,premier league,1,0.0,0.0
blackburn rovers,2005-06,premier league,2,0.0,0.0
blackburn rovers,2005-06,premier league,3,0.0,0.0
brentford,2010-11,league one,1,22.0,0.0
brentford,2010-11,league one,2,3.0,0.0
brentford,2010-11,league one,3,2.0,0.0
brentford,2010-11,league one,4,6.0,0.0
brentford,2011-12,league one,1,37.0,0.0
brentford,2011-12,league one,2,0.0,0.0
brentford,2011-12,league one,3,2.0,0.0
brentford,2011-12,league one,4,3.0,0.0
brentford,2012-13,league one,1,3.0,0.0
brentford,2012-13,league one,2,0.0,0.0
brentford,2012-13,league one,3,2.0,0.0
brentford,2012-13,league one,4,1.0,0.0
brentford,2013-14,league one,1,4.0,0.0
brentford,2013-14,league one,2,1.0,0.0
brentford,2013-14,league one,3,0.0,0.0
brentford,2013-14,league one,4,0.0,0.0
brentford,2014-15,championship,1,0.0,0.0
brentford,2014-15,championship,2,0.0,0.0
brentford,2014-15,championship,3,1.0,0.0
dunstable town,2017-18,southern league premier division,1,1.0,0.0
dunstable town,2017-18,southern league premier division,3,1.0,0.0
