population_base,family_structure,population_group,metric_type,value
total population aged 14 and under in private households,children of both parents,first nations children,thousand,194.6
total population aged 14 and under in private households,children of both parents,first nations children,percent,49.6
total population aged 14 and under in private households,children of both parents,inuit children,thousand,116.4
total population aged 14 and under in private households,children of both parents,inuit children,percent,45.0
total population aged 14 and under in private households,children of both parents,metis children,thousand,12.4
total population aged 14 and under in private households,children of both parents,metis children,percent,61.6
total population aged 14 and under in private households,children of both parents,total non-aboriginal children,thousand,60.6
total population aged 14 and under in private households,children of both parents,total non-aboriginal children,percent,58.0
total population aged 14 and under in private households,stepchildren,first nations children,thousand,33.4
total population aged 14 and under in private households,stepchildren,first nations children,percent,8.5
total population aged 14 and under in private households,stepchildren,inuit children,thousand,22.4
total population aged 14 and under in private households,stepchildren,inuit children,percent,8.7
total population aged 14 and under in private households,stepchildren,metis children,thousand,1.3
total population aged 14 and under in private households,stepchildren,metis children,percent,6.3
total population aged 14 and under in private households,stepchildren,total non-aboriginal children,thousand,8.9
total population aged 14 and under in private households,stepchildren,total non-aboriginal children,percent,8.6
total population aged 14 and under in private households,children of lone parents,first nations children,thousand,134.9
total population aged 14 and under in private households,children of lone parents,first nations children,percent,34.4
total population aged 14 and under in private households,children of lone parents,inuit children,thousand,96.0
total population aged 14 and under in private households,children of lone parents,inuit children,percent,37.1
total population aged 14 and under in private households,children of lone parents,metis children,thousand,5.2
total population aged 14 and under in private households,children of lone parents,metis children,percent,25.8
total population aged 14 and under in private households,children of lone parents,total non-aboriginal children,thousand,31.1
total population aged 14 and under in private households,children of lone parents,total non-aboriginal children,percent,29.8
total population aged 14 and under in private households,grandchildren in skip-generation family,first nations children,thousand,10.5
total population aged 14 and under in private households,grandchildren in skip-generation family,first nations children,percent,2.7
total population aged 14 and under in private households,grandchildren in skip-generation family,inuit children,thousand,8.5
total population aged 14 and under in private households,grandchildren in skip-generation family,inuit children,percent,3.3
total population aged 14 and under in private households,grandchildren in skip-generation family,metis children,thousand,0.5
total population aged 14 and under in private households,grandchildren in skip-generation family,metis children,percent,2.3
total population aged 14 and under in private households,grandchildren in skip-generation family,total non-aboriginal children,thousand,1.5
total population aged 14 and under in private households,grandchildren in skip-generation family,total non-aboriginal children,percent,1.4
total population aged 14 and under in private households,foster children,first nations children,thousand,14.2
total population aged 14 and under in private households,foster children,first nations children,percent,3.6
total population aged 14 and under in private households,foster children,inuit children,thousand,11.7
total population aged 14 and under in private households,foster children,inuit children,percent,4.5
total population aged 14 and under in private households,foster children,metis children,thousand,0.6
total population aged 14 and under in private households,foster children,metis children,percent,2.8
total population aged 14 and under in private households,foster children,total non-aboriginal children,thousand,1.8
total population aged 14 and under in private households,foster children,total non-aboriginal children,percent,1.7
total population aged 14 and under in private households,"children living with other relatives ,",first nations children,thousand,4.5
total population aged 14 and under in private households,"children living with other relatives ,",first nations children,percent,1.2
total population aged 14 and under in private households,"children living with other relatives ,",inuit children,thousand,3.7
total population aged 14 and under in private households,"children living with other relatives ,",inuit children,percent,1.4
total population aged 14 and under in private households,"children living with other relatives ,",metis children,thousand,0.2
total population aged 14 and under in private households,"children living with other relatives ,",metis children,percent,1.1
total population aged 14 and under in private households,"children living with other relatives ,",total non-aboriginal children,thousand,0.5
total population aged 14 and under in private households,"children living with other relatives ,",total non-aboriginal children,percent,0.5
