offence_category,offence_level,offence_aggravator,period,metric_type,value
homicide,,,2022,number,
homicide,,,2022,rate,
homicide,,,2023,number,658.0
homicide,,,2023,rate,1.78
other violations causing death,,,2022,number,
other violations causing death,,,2022,rate,
other violations causing death,,,2023,number,133.0
other violations causing death,,,2023,rate,0.0
attempted murder,,,2022,number,
attempted murder,,,2022,rate,
attempted murder,,,2023,number,821.0
attempted murder,,,2023,rate,2.22
sexual assault,level 3,aggravated,2022,number,
sexual assault,level 3,aggravated,2022,rate,
sexual assault,level 3,aggravated,2023,number,158.0
sexual assault,level 3,aggravated,2023,rate,0.0
sexual assault,level 2,weapon or bodily harm,2022,number,
sexual assault,level 2,weapon or bodily harm,2022,rate,
sexual assault,level 2,weapon or bodily harm,2023,number,490.0
sexual assault,level 2,weapon or bodily harm,2023,rate,1.0
sexual assault,level 1,,2022,number,
sexual assault,level 1,,2022,rate,
sexual assault,level 1,,2023,number,27909.0
sexual assault,level 1,,2023,rate,75.0
"sexual offence occurring prior to january 4, 1983",,,2022,number,
"sexual offence occurring prior to january 4, 1983",,,2022,rate,
"sexual offence occurring prior to january 4, 1983",,,2023,number,574.0
"sexual offence occurring prior to january 4, 1983",,,2023,rate,2.0
sexual violations against children,,,2022,number,
sexual violations against children,,,2022,rate,
sexual violations against children,,,2023,number,9075.0
sexual violations against children,,,2023,rate,24.0
assault,level 3,aggravated,2022,number,
assault,level 3,aggravated,2022,rate,
assault,level 3,aggravated,2023,number,3584.0
assault,level 3,aggravated,2023,rate,10.0
assault,level 2,weapon or bodily harm,2022,number,
assault,level 2,weapon or bodily harm,2022,rate,
assault,level 2,weapon or bodily harm,2023,number,54218.0
assault,level 2,weapon or bodily harm,2023,rate,146.0
assault,level 1,,2022,number,
assault,level 1,,2022,rate,
assault,level 1,,2023,number,170138.0
assault,level 1,,2023,rate,459.0
assault against a peace officer,,,2022,number,
assault against a peace officer,,,2022,rate,
assault against a peace officer,,,2023,number,11751.0
assault against a peace officer,,,2023,rate,32.0
other assaults,,,2022,number,
other assaults,,,2022,rate,
other assaults,,,2023,number,2124.0
other assaults,,,2023,rate,6.0
firearms,"use of, discharge, pointing",,2022,number,
firearms,"use of, discharge, pointing",,2022,rate,
firearms,"use of, discharge, pointing",,2023,number,2861.0
firearms,"use of, discharge, pointing",,2023,rate,8.0
robbery,,,2022,number,
robbery,,,2022,rate,
robbery,,,2023,number,22550.0
robbery,,,2023,rate,61.0
forcible confinement or kidnapping,,,2022,number,
forcible confinement or kidnapping,,,2022,rate,
forcible confinement or kidnapping,,,2023,number,3490.0
forcible confinement or kidnapping,,,2023,rate,9.0
trafficking in persons,,,2022,number,
trafficking in persons,,,2022,rate,
trafficking in persons,,,2023,number,238.0
trafficking in persons,,,2023,rate,1.0
extortion,,,2022,number,
extortion,,,2022,rate,
extortion,,,2023,number,4724.0
extortion,,,2023,rate,13.0
criminal harassment,,,2022,number,
criminal harassment,,,2022,rate,
criminal harassment,,,2023,number,19691.0
criminal harassment,,,2023,rate,53.0
uttering threats,,,2022,number,
uttering threats,,,2022,rate,
uttering threats,,,2023,number,66806.0
uttering threats,,,2023,rate,180.0
indecent or harassing communications,,,2022,number,
indecent or harassing communications,,,2022,rate,
indecent or harassing communications,,,2023,number,17772.0
indecent or harassing communications,,,2023,rate,48.0
non-consensual distribution of intimate images,,,2022,number,
non-consensual distribution of intimate images,,,2022,rate,
non-consensual distribution of intimate images,,,2023,number,1483.0
non-consensual distribution of intimate images,,,2023,rate,4.0
offences in relation to sexual services,,,2022,number,
offences in relation to sexual services,,,2022,rate,
offences in relation to sexual services,,,2023,number,1044.0
offences in relation to sexual services,,,2023,rate,3.0
other violent criminal code violations,,,2022,number,
