offense_category,offense_modifier,period,metric_type,value_type,value
total violent crime,,2019,reported,number,461899.0
total violent crime,,2019,unfounded,number,55273.0
total violent crime,,2019,unfounded,percent,12.0
total violent crime,,2020,reported,number,478598.0
total violent crime,,2020,unfounded,number,51759.0
total violent crime,,2020,unfounded,percent,11.0
total violent crime,,2021,reported,number,532973.0
total violent crime,,2021,unfounded,number,52969.0
total violent crime,,2021,unfounded,percent,10.0
homicide,,2019,reported,number,666.0
homicide,,2019,unfounded,number,0.0
homicide,,2019,unfounded,percent,0.0
homicide,,2020,reported,number,658.0
homicide,,2020,unfounded,number,0.0
homicide,,2020,unfounded,percent,0.0
homicide,,2021,reported,number,678.0
homicide,,2021,unfounded,number,0.0
homicide,,2021,unfounded,percent,0.0
other violations causing death,,2019,reported,number,121.0
other violations causing death,,2019,unfounded,number,21.0
other violations causing death,,2019,unfounded,percent,17.0
other violations causing death,,2020,reported,number,150.0
other violations causing death,,2020,unfounded,number,17.0
other violations causing death,,2020,unfounded,percent,11.0
other violations causing death,,2021,reported,number,118.0
other violations causing death,,2021,unfounded,number,10.0
other violations causing death,,2021,unfounded,percent,8.0
attempted murder,,2019,reported,number,830.0
attempted murder,,2019,unfounded,number,9.0
attempted murder,,2019,unfounded,percent,1.0
attempted murder,,2020,reported,number,827.0
attempted murder,,2020,unfounded,number,6.0
attempted murder,,2020,unfounded,percent,1.0
attempted murder,,2021,reported,number,870.0
attempted murder,,2021,unfounded,number,5.0
attempted murder,,2021,unfounded,percent,1.0
sexual assault,level 3 - aggravated,2019,reported,number,175.0
sexual assault,level 3 - aggravated,2019,unfounded,number,15.0
sexual assault,level 3 - aggravated,2019,unfounded,percent,9.0
sexual assault,level 3 - aggravated,2020,reported,number,172.0
sexual assault,level 3 - aggravated,2020,unfounded,number,14.0
sexual assault,level 3 - aggravated,2020,unfounded,percent,8.0
sexual assault,level 3 - aggravated,2021,reported,number,134.0
sexual assault,level 3 - aggravated,2021,unfounded,number,9.0
sexual assault,level 3 - aggravated,2021,unfounded,percent,7.0
sexual assault,level 2 - weapon or bodily harm,2019,reported,number,453.0
sexual assault,level 2 - weapon or bodily harm,2019,unfounded,number,30.0
sexual assault,level 2 - weapon or bodily harm,2019,unfounded,percent,7.0
sexual assault,level 2 - weapon or bodily harm,2020,reported,number,513.0
sexual assault,level 2 - weapon or bodily harm,2020,unfounded,number,23.0
sexual assault,level 2 - weapon or bodily harm,2020,unfounded,percent,4.0
sexual assault,level 2 - weapon or bodily harm,2021,reported,number,551.0
sexual assault,level 2 - weapon or bodily harm,2021,unfounded,number,26.0
sexual assault,level 2 - weapon or bodily harm,2021,unfounded,percent,5.0
sexual assault,level 1,2019,reported,number,28196.0
sexual assault,level 1,2019,unfounded,number,4039.0
sexual assault,level 1,2019,unfounded,percent,14.0
sexual assault,level 1,2020,reported,number,31633.0
sexual assault,level 1,2020,unfounded,number,3724.0
sexual assault,level 1,2020,unfounded,percent,12.0
sexual assault,level 1,2021,reported,number,33705.0
