party,votes,vote_share_pct,allocation_type,seat_count,net_change
alianza pais,45955995.0,52.3,pr,8,+41
creating opportunities,10032804.0,11.42,pr,2,new
social christian party,7901315.0,8.99,pr,1,-5
january 21 patriotic society party,4955320.0,5.64,pr,1,-14
plurinational unity of the lefts,4151000.0,4.72,pr,1,-4
ecuadorian roldosist party,3960188.0,4.51,pr,1,-2
suma,2829034.0,3.22,pr,1,new
institutional renewal party of national action,2640181.0,3.0,pr,0,-7
partido avanza,2568156.0,2.92,pr,0,new
ruptura 25,2179383.0,2.48,pr,0,new
socialist party - broad front of ecuador,698829.0,0.8,pr,0,-1
alianza pais,45955995.0,52.3,constituency,86,+41
creating opportunities,10032804.0,11.42,constituency,9,new
social christian party,7901315.0,8.99,constituency,5,-5
january 21 patriotic society party,4955320.0,5.64,constituency,4,-14
plurinational unity of the lefts,4151000.0,4.72,constituency,4,-4
ecuadorian roldosist party,3960188.0,4.51,constituency,0,-2
suma,2829034.0,3.22,constituency,0,new
institutional renewal party of national action,2640181.0,3.0,constituency,0,-7
partido avanza,2568156.0,2.92,constituency,5,new
ruptura 25,2179383.0,2.48,constituency,0,new
socialist party - broad front of ecuador,698829.0,0.8,constituency,0,-1
independents and regionalists,,,constituency,3,-
alianza pais,45955995.0,52.3,abroad,6,+41
creating opportunities,10032804.0,11.42,abroad,0,new
social christian party,7901315.0,8.99,abroad,0,-5
january 21 patriotic society party,4955320.0,5.64,abroad,0,-14
plurinational unity of the lefts,4151000.0,4.72,abroad,0,-4
ecuadorian roldosist party,3960188.0,4.51,abroad,0,-2
suma,2829034.0,3.22,abroad,0,new
institutional renewal party of national action,2640181.0,3.0,abroad,0,-7
partido avanza,2568156.0,2.92,abroad,0,new
ruptura 25,2179383.0,2.48,abroad,0,new
socialist party - broad front of ecuador,698829.0,0.8,abroad,0,-1
independents and regionalists,,,abroad,0,-
