section,category,cohort,number,percentage,percent_change
,stranger,cohort_a,2,3,-5.0
,stranger,cohort_b,20,9,-5.0
,known to the victim,cohort_a,59,97,7.0
,known to the victim,cohort_b,211,90,7.0
,intimate partner or spouse,cohort_a,23,38,5.0
,intimate partner or spouse,cohort_b,76,32,5.0
,family member,cohort_a,15,25,-12.0
,family member,cohort_b,86,37,-12.0
,casual acquaintance,cohort_a,16,26,16.0
,casual acquaintance,cohort_b,24,10,16.0
relationship by sex,"female victim, male accused",cohort_a,53,87,13.0
relationship by sex,"female victim, male accused",cohort_b,172,74,13.0
relationship by sex,"female victim, female accused",cohort_a,8,13,-13.0
relationship by sex,"female victim, female accused",cohort_b,62,27,-13.0
age of accused,12 to 24,cohort_a,38,62,23.0
age of accused,12 to 24,cohort_b,92,39,23.0
age of accused,12 to 17,cohort_a,12,20,12.0
age of accused,12 to 17,cohort_b,17,7,12.0
age of accused,18 to 24,cohort_a,26,43,11.0
age of accused,18 to 24,cohort_b,75,32,11.0
age of accused,25 to 89,cohort_a,23,38,-23.0
age of accused,25 to 89,cohort_b,142,61,-23.0
intoxicating substance used by accused,no intoxicating substance,cohort_a,8,14,-24.0
intoxicating substance used by accused,no intoxicating substance,cohort_b,60,38,-24.0
intoxicating substance used by accused,"alcohol, drugs or both",cohort_a,49,86,24.0
intoxicating substance used by accused,"alcohol, drugs or both",cohort_b,97,62,24.0
accused previous conviction,no previous conviction,cohort_a,27,44,-7.0
accused previous conviction,no previous conviction,cohort_b,121,52,-7.0
accused previous conviction,any previous conviction,cohort_a,34,56,8.0
accused previous conviction,any previous conviction,cohort_b,111,47,8.0
accused previous conviction,violent offence,cohort_a,23,38,4.0
accused previous conviction,violent offence,cohort_b,78,33,4.0
accused previous conviction,non-violent or other offence,cohort_a,11,18,4.0
accused previous conviction,non-violent or other offence,cohort_b,33,14,4.0
