asset_category,metric_type,age_context,statistic,value
all buildings,ratio,,mean,0.393
all buildings,ratio,,standard_error,0.293
all buildings,age,context_1,mean,15.4
all buildings,age,context_1,standard_error,10.1
all buildings,age,context_2,mean,13.8
all buildings,age,context_2,standard_error,9.3
plants for manufacturing,ratio,,mean,0.334
plants for manufacturing,ratio,,standard_error,0.281
plants for manufacturing,age,context_1,mean,19.4
plants for manufacturing,age,context_1,standard_error,13.4
plants for manufacturing,age,context_2,mean,21.0
plants for manufacturing,age,context_2,standard_error,10.6
"warehouses, refrigerated storage, freight terminals",ratio,,mean,0.293
"warehouses, refrigerated storage, freight terminals",ratio,,standard_error,0.297
"warehouses, refrigerated storage, freight terminals",age,context_1,mean,18.8
"warehouses, refrigerated storage, freight terminals",age,context_1,standard_error,9.9
"warehouses, refrigerated storage, freight terminals",age,context_2,mean,17.3
"warehouses, refrigerated storage, freight terminals",age,context_2,standard_error,10.7
"maintenance garages, workshops, equipment storage facilities",ratio,,mean,0.426
"maintenance garages, workshops, equipment storage facilities",ratio,,standard_error,0.24
"maintenance garages, workshops, equipment storage facilities",age,context_1,mean,17.5
"maintenance garages, workshops, equipment storage facilities",age,context_1,standard_error,8.4
"maintenance garages, workshops, equipment storage facilities",age,context_2,mean,20.5
"maintenance garages, workshops, equipment storage facilities",age,context_2,standard_error,10.5
office buildings,ratio,,mean,0.476
office buildings,ratio,,standard_error,0.288
office buildings,age,context_1,mean,15.7
office buildings,age,context_1,standard_error,9.7
office buildings,age,context_2,mean,11.3
office buildings,age,context_2,standard_error,7.4
"shopping centres, plazas, malls, stores",ratio,,mean,0.435
"shopping centres, plazas, malls, stores",ratio,,standard_error,0.288
"shopping centres, plazas, malls, stores",age,context_1,mean,8.0
"shopping centres, plazas, malls, stores",age,context_1,standard_error,6.3
"shopping centres, plazas, malls, stores",age,context_2,mean,9.3
"shopping centres, plazas, malls, stores",age,context_2,standard_error,4.9
other industrial and commercial,ratio,,mean,0.358
other industrial and commercial,ratio,,standard_error,0.279
other industrial and commercial,age,context_1,mean,13.9
other industrial and commercial,age,context_1,standard_error,7.7
other industrial and commercial,age,context_2,mean,13.3
other industrial and commercial,age,context_2,standard_error,9.2
"telephone and cablevision lines, underground and marine cables",ratio,,mean,0.132
"telephone and cablevision lines, underground and marine cables",ratio,,standard_error,0.054
"telephone and cablevision lines, underground and marine cables",age,context_1,mean,11.1
"telephone and cablevision lines, underground and marine cables",age,context_1,standard_error,1.9
"telephone and cablevision lines, underground and marine cables",age,context_2,mean,16.8
"telephone and cablevision lines, underground and marine cables",age,context_2,standard_error,0.6
"communication towers, antennae, earth stations",ratio,,mean,0.508
"communication towers, antennae, earth stations",ratio,,standard_error,0.435
"communication towers, antennae, earth stations",age,context_1,mean,12.5
"communication towers, antennae, earth stations",age,context_1,standard_error,2.9
