year,song_title,country,position
nan,the harder i try,uk,2.0
nan,he ain't no competition,uk,6.0
1989,be my twin,uk,14.0
nan,can you keep a secret?,uk,22.0
nan,drive on,uk,39.0
nan,when will i see you again,uk,43.0
1990,trust,uk,53.0
nan,the girl i used to know,uk,48.0
nan,just a heartbeat away,uk,-
nan,the harder i try,aus,78.0
nan,he ain't no competition,aus,53.0
1989,be my twin,aus,-
nan,can you keep a secret?,aus,157.0
nan,drive on,aus,-
nan,when will i see you again,aus,-
1990,trust,aus,-
nan,the girl i used to know,aus,-
nan,just a heartbeat away,aus,-
nan,the harder i try,bel,20.0
nan,he ain't no competition,bel,32.0
1989,be my twin,bel,-
nan,can you keep a secret?,bel,-
nan,drive on,bel,-
nan,when will i see you again,bel,-
1990,trust,bel,-
nan,the girl i used to know,bel,-
nan,just a heartbeat away,bel,-
nan,the harder i try,ger,32.0
nan,he ain't no competition,ger,39.0
1989,be my twin,ger,53.0
nan,can you keep a secret?,ger,-
nan,drive on,ger,-
nan,when will i see you again,ger,-
1990,trust,ger,-
nan,the girl i used to know,ger,-
nan,just a heartbeat away,ger,-
nan,the harder i try,ire,1.0
nan,he ain't no competition,ire,4.0
1989,be my twin,ire,13.0
nan,can you keep a secret?,ire,18.0
nan,drive on,ire,-
nan,when will i see you again,ire,-
1990,trust,ire,-
nan,the girl i used to know,ire,-
nan,just a heartbeat away,ire,-
nan,the harder i try,ned,20.0
nan,he ain't no competition,ned,-
1989,be my twin,ned,-
nan,can you keep a secret?,ned,-
nan,drive on,ned,74.0
nan,when will i see you again,ned,-
1990,trust,ned,-
nan,the girl i used to know,ned,-
nan,just a heartbeat away,ned,-
nan,the harder i try,nz,15.0
nan,he ain't no competition,nz,19.0
1989,be my twin,nz,-
nan,can you keep a secret?,nz,31.0
nan,drive on,nz,-
nan,when will i see you again,nz,-
1990,trust,nz,-
nan,the girl i used to know,nz,-
nan,just a heartbeat away,nz,-
nan,the harder i try,swi,13.0
nan,he ain't no competition,swi,-
1989,be my twin,swi,-
nan,can you keep a secret?,swi,-
nan,drive on,swi,-
nan,when will i see you again,swi,-
1990,trust,swi,-
nan,the girl i used to know,swi,-
nan,just a heartbeat away,swi,-
nan,the harder i try,us,-
nan,he ain't no competition,us,-
1989,be my twin,us,-
nan,can you keep a secret?,us,-
nan,drive on,us,-
nan,when will i see you again,us,-
1990,trust,us,-
nan,the girl i used to know,us,27.0
nan,just a heartbeat away,us,-
nan,the harder i try,us dance,-
nan,he ain't no competition,us dance,-
1989,be my twin,us dance,10.0
nan,can you keep a secret?,us dance,-
nan,drive on,us dance,-
nan,when will i see you again,us dance,-
1990,trust,us dance,-
nan,the girl i used to know,us dance,-
nan,just a heartbeat away,us dance,-
