category_type,subgroup,cohort,percentage
age group,0 to 24,cohort_1,22.5
age group,0 to 24,cohort_2,19.8
age group,25 to 44,cohort_1,41.7
age group,25 to 44,cohort_2,44.4
age group,45 to 64,cohort_1,29.0
age group,45 to 64,cohort_2,27.2
age group,65 or older,cohort_1,6.8
age group,65 or older,cohort_2,8.6
economic class,principal applicant,cohort_1,26.2
economic class,principal applicant,cohort_2,12.2
economic class,dependant,cohort_1,23.5
economic class,dependant,cohort_2,33.7
economic class,family class,cohort_1,28.9
economic class,family class,cohort_2,37.4
economic class,refugee class,cohort_1,16.4
economic class,refugee class,cohort_2,12.7
economic class,other,cohort_1,5.0
economic class,other,cohort_2,4.0
landing year,1980 to 1989,cohort_1,23.2
landing year,1980 to 1989,cohort_2,22.3
landing year,1990 to 1999,cohort_1,44.1
landing year,1990 to 1999,cohort_2,44.9
landing year,2000 to 2006,cohort_1,32.7
landing year,2000 to 2006,cohort_2,32.8
source world region,united states,cohort_1,2.1
source world region,united states,cohort_2,2.6
source world region,caribbean/central and south america,cohort_1,10.1
source world region,caribbean/central and south america,cohort_2,11.0
source world region,western europe,cohort_1,8.1
source world region,western europe,cohort_2,7.3
source world region,eastern europe,cohort_1,12.6
source world region,eastern europe,cohort_2,12.6
source world region,sub-saharan africa,cohort_1,4.8
source world region,sub-saharan africa,cohort_2,4.6
source world region,north africa/middle east/west asia,cohort_1,9.4
source world region,north africa/middle east/west asia,cohort_2,7.7
source world region,south asia,cohort_1,19.3
source world region,south asia,cohort_2,17.6
source world region,south east asia,cohort_1,11.9
source world region,south east asia,cohort_2,14.1
source world region,east asia,cohort_1,20.7
source world region,east asia,cohort_2,21.8
source world region,oceania,cohort_1,0.7
source world region,oceania,cohort_2,0.7
