club,year,division,apps,goals
parana,2007,serie a,29,2
parana,2008,serie b,17,2
parana,2008,serie b,4,0
flamengo,2008,serie a,10,0
flamengo,2009,,28,2
flamengo,2009,,2,0
flamengo,2009,,2,0
flamengo,2009,,9,2
tigres uanl,2009-10,liga mx,7,0
tigres uanl,2010-11,,8,2
botafogo,2011,serie a,17,0
botafogo,2011,serie a,2,0
botafogo,2011,serie a,1,0
botafogo,2011,serie a,11,1
suwon,2012,k-league,29,7
suwon,2012,k-league,0,0
suwon,2012,k-league,0,0
suwon,2012,k-league,0,0
atletico paranaense,2013,serie a,33,3
atletico paranaense,2013,serie a,11,1
flamengo,2014,serie a,28,4
flamengo,2014,serie a,6,1
flamengo,2014,serie a,6,3
flamengo,2014,serie a,9,2
flamengo,2015,,33,4
flamengo,2015,,4,0
flamengo,2015,,10,2
flamengo,2016,,30,3
flamengo,2016,,1,0
flamengo,2016,,1,1
flamengo,2016,,9,1
flamengo,2017,,27,4
flamengo,2017,,6,1
flamengo,2017,,11,1
flamengo,2017,,12,4
flamengo,2018,,0,0
flamengo,2018,,0,0
flamengo,2018,,2,1
flamengo,2018,,9,2
sao paulo,2018,serie a,7,2
sao paulo,2018,serie a,0,0
sao paulo,2018,serie a,0,0
career total,,,303,33
career total,,,36,3
career total,,,23,6
career total,,,68,14
