team,year,division,stint,apps,goals
stoke,1912-13,southern league division one,1,16,0
stoke,1912-13,southern league division one,2,0,0
stoke,1913-14,southern league division two,1,25,0
stoke,1913-14,southern league division two,2,3,0
stoke,1914-15,southern league division two,1,24,0
stoke,1914-15,southern league division two,2,4,0
stoke,1919-20,second division,1,30,0
stoke,1919-20,second division,2,1,0
stoke,1920-21,second division,1,42,0
stoke,1920-21,second division,2,1,0
stoke,1921-22,second division,1,41,0
stoke,1921-22,second division,2,5,0
stoke,1922-23,first division,1,36,0
stoke,1922-23,first division,2,2,0
stoke,1923-24,second division,1,0,0
stoke,1923-24,second division,2,0,0
stoke,1924-25,second division,1,18,0
stoke,1924-25,second division,2,1,0
stoke,1925-26,second division,1,25,0
stoke,1925-26,second division,2,2,0
doncaster rovers,1926-27,third division north,1,40,0
doncaster rovers,1926-27,third division north,2,2,0
doncaster rovers,1927-28,third division north,1,27,0
doncaster rovers,1927-28,third division north,2,1,0
doncaster rovers,1928-29,third division north,1,2,0
doncaster rovers,1928-29,third division north,2,0,0
doncaster rovers,1929-30,third division north,1,5,0
doncaster rovers,1929-30,third division north,2,0,0
