team,year,division,competition_phase,apps,goals
,,division,1,,
,,division,2,,
,,division,3,,
,,division,4,,
talleres,2004-05,primera b metropolitana,1,5.0,0.0
talleres,2004-05,primera b metropolitana,2,0.0,0.0
talleres,2004-05,primera b metropolitana,3,,
talleres,2004-05,primera b metropolitana,4,0.0,0.0
sarmiento,2011-12,torneo argentino b,1,22.0,0.0
sarmiento,2011-12,torneo argentino b,2,0.0,0.0
sarmiento,2011-12,torneo argentino b,3,,
sarmiento,2011-12,torneo argentino b,4,0.0,0.0
central cordoba,2012-13,torneo argentino a,1,4.0,0.0
central cordoba,2012-13,torneo argentino a,2,1.0,0.0
central cordoba,2012-13,torneo argentino a,3,,
central cordoba,2012-13,torneo argentino a,4,0.0,0.0
sportivo patria,2015,torneo federal a,1,16.0,1.0
sportivo patria,2015,torneo federal a,2,0.0,0.0
sportivo patria,2015,torneo federal a,3,,
sportivo patria,2015,torneo federal a,4,0.0,0.0
sportivo patria,2016,torneo federal a,1,10.0,0.0
sportivo patria,2016,torneo federal a,2,0.0,0.0
sportivo patria,2016,torneo federal a,3,,
sportivo patria,2016,torneo federal a,4,0.0,0.0
sportivo patria,2016-17,torneo federal a,1,12.0,0.0
sportivo patria,2016-17,torneo federal a,2,0.0,0.0
sportivo patria,2016-17,torneo federal a,3,,
sportivo patria,2016-17,torneo federal a,4,2.0,1.0
chaco for ever,2017-18,torneo federal a,1,21.0,1.0
chaco for ever,2017-18,torneo federal a,2,1.0,0.0
chaco for ever,2017-18,torneo federal a,3,,
chaco for ever,2017-18,torneo federal a,4,0.0,0.0
all boys,2018-19,primera b metropolitana,1,9.0,0.0
all boys,2018-19,primera b metropolitana,2,1.0,0.0
all boys,2018-19,primera b metropolitana,3,,
all boys,2018-19,primera b metropolitana,4,0.0,0.0
