team,season,division,season_period,apps,goals
jazz,2003,veikkausliiga,1,4,0
jazz,2003,veikkausliiga,2,0,0
jazz,2003,veikkausliiga,3,0,0
musa,2004,kakkonen,1,18,17
musa,2004,kakkonen,2,0,0
musa,2004,kakkonen,3,0,0
vg-62,2004,ykkonen,1,2,1
vg-62,2004,ykkonen,2,0,0
vg-62,2004,ykkonen,3,0,0
inter turku,2005,veikkausliiga,1,5,1
inter turku,2005,veikkausliiga,2,0,0
inter turku,2005,veikkausliiga,3,0,0
inter turku,2006,veikkausliiga,1,7,0
inter turku,2006,veikkausliiga,2,0,0
inter turku,2006,veikkausliiga,3,0,0
inter turku,2007,veikkausliiga,1,14,2
inter turku,2007,veikkausliiga,2,0,0
inter turku,2007,veikkausliiga,3,0,0
inter turku,2008,veikkausliiga,1,9,4
inter turku,2008,veikkausliiga,2,0,0
inter turku,2008,veikkausliiga,3,0,0
inter turku,2009,veikkausliiga,1,23,11
inter turku,2009,veikkausliiga,2,0,0
inter turku,2009,veikkausliiga,3,2,0
inter turku,2010,veikkausliiga,1,4,0
inter turku,2010,veikkausliiga,2,5,3
inter turku,2010,veikkausliiga,3,1,0
inter turku,2011,veikkausliiga,1,33,22
inter turku,2011,veikkausliiga,2,3,1
inter turku,2011,veikkausliiga,3,1,0
fortuna dusseldorf,2011-12,2. bundesliga,1,9,0
fortuna dusseldorf,2011-12,2. bundesliga,2,0,0
fortuna dusseldorf,2011-12,2. bundesliga,3,0,0
hallescher fc,2012-13,3. liga,1,16,8
hallescher fc,2012-13,3. liga,2,0,0
hallescher fc,2012-13,3. liga,3,0,0
hallescher fc,2013-14,3. liga,1,32,12
hallescher fc,2013-14,3. liga,2,0,0
hallescher fc,2013-14,3. liga,3,0,0
hallescher fc,2014-15,3. liga,1,35,12
hallescher fc,2014-15,3. liga,2,0,0
hallescher fc,2014-15,3. liga,3,0,0
hallescher fc,2015-16,3. liga,1,18,3
hallescher fc,2015-16,3. liga,2,1,0
hallescher fc,2015-16,3. liga,3,0,0
hallescher fc,2016-17,3. liga,1,2,0
hallescher fc,2016-17,3. liga,2,0,0
hallescher fc,2016-17,3. liga,3,0,0
inter turku,2017,veikkausliiga,1,4,2
inter turku,2017,veikkausliiga,2,7,5
inter turku,2017,veikkausliiga,3,0,0
career total,,veikkausliiga,1,235,95
career total,,veikkausliiga,2,16,9
career total,,veikkausliiga,3,4,0
