team,season,division,context_id,apps,goals
palermo,2007-08,serie a,1,0.0,0.0
palermo,2007-08,serie a,2,0.0,0.0
palermo,2008-09,serie a,1,1.0,0.0
palermo,2008-09,serie a,2,0.0,0.0
palermo,2012-13,serie a,1,19.0,0.0
palermo,2012-13,serie a,2,1.0,0.0
palermo,2013-14,serie b,1,11.0,0.0
palermo,2013-14,serie b,2,0.0,0.0
palermo,2014-15,serie a,1,3.0,0.0
palermo,2014-15,serie a,2,1.0,0.0
novara,2009-10,lega pro prima divisione,1,23.0,0.0
novara,2009-10,lega pro prima divisione,2,3.0,0.0
novara,2009-10,lega pro prima divisione,4,1.0,0.0
novara,2010-11,serie b,1,39.0,0.0
novara,2010-11,serie b,2,1.0,0.0
novara,2011-12,serie a,1,24.0,0.0
novara,2011-12,serie a,2,2.0,0.0
chievo,2012-13,serie a,1,0.0,0.0
chievo,2012-13,serie a,2,0.0,0.0
genoa,2015-16,serie a,1,0.0,0.0
genoa,2015-16,serie a,2,0.0,0.0
latina,2015-16,serie b,1,21.0,0.0
latina,2015-16,serie b,2,0.0,0.0
pisa,2016-17,serie b,1,35.0,0.0
pisa,2016-17,serie b,2,3.0,0.0
cremonese,2017-18,serie b,1,37.0,0.0
cremonese,2017-18,serie b,2,1.0,0.0
caykur rizespor,2018-19,super lig,1,0.0,0.0
caykur rizespor,2018-19,super lig,2,1.0,0.0
caykur rizespor,2018-19,super lig,4,0.0,0.0
